CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.772    % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    260.21      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    241121 300  203000-203500   00     277.67  889.8    262.08     0.72     0.26
CALGARY    241121 300  203500-204000   00     279.15  890.1    264.11     1.50     1.04
CALGARY    241121 300  204000-204500   00     279.41  890.1    264.39     1.61     1.14
CALGARY    241121 300  204500-205000   00     278.44  890.1    263.44     1.24     0.77
CALGARY    241121 300  205000-205500   00     277.20  890.0    262.21     0.77     0.29
CALGARY    241121 300  205500-210000   00     278.60  890.1    263.69     1.34     0.86
CALGARY    241121 300  210000-210500   00     277.56  890.2    262.83     1.01     0.52
CALGARY    241121 300  210500-211000   00     276.21  890.1    261.38     0.45    -0.04
CALGARY    241121 300  211000-211500   00     278.39  890.1    263.38     1.22     0.73
CALGARY    241121 300  211500-212000   00     277.83  890.0    262.70     0.96     0.47
CALGARY    241121 300  212000-212500   00     275.06  890.1    260.29     0.03    -0.46
CALGARY    241121 300  212500-213000   00     275.94  890.2    261.25     0.40    -0.09
CALGARY    241121 300  213000-213500   00     275.24  890.2    260.78     0.22    -0.28
CALGARY    241121 300  213500-214000   00     274.31  890.4    260.18    -0.01    -0.51
CALGARY    241121 300  214000-214500   00     276.36  890.5    262.28     0.79     0.29
CALGARY    241121 300  214500-215000   00     278.22  890.4    263.98     1.45     0.95
CALGARY    241121 300  215000-215500   00     278.24  890.3    263.77     1.37     0.87
CALGARY    241121 300  215500-220000   00     277.16  890.3    262.68     0.95     0.45
CALGARY    241121 300  220000-220500   00     277.44  890.4    263.09     1.11     0.61
CALGARY    241121 300  220500-221000   00     276.68  890.4    262.42     0.85     0.35
CALGARY    241121 300  221000-221500   00     277.43  890.4    263.14     1.13     0.63
CALGARY    241121 300  221500-222000   00     275.94  890.4    261.76     0.60     0.10
CALGARY    241121 300  222000-222500   00     274.52  890.4    260.47     0.10    -0.40
CALGARY    241121 300  222500-223000   00     276.31  890.5    262.23     0.78     0.28
CALGARY    241121 300  223000-223500   00     277.59  890.4    263.28     1.18     0.68
CALGARY    241121 300  223500-224000   00     275.91  890.4    261.81     0.61     0.12
CALGARY    241121 300  224000-224500   00     273.79  890.5    259.98    -0.09    -0.58
CALGARY    241121 300  224500-225000   00     276.84  890.7    263.14     1.12     0.64
CALGARY    241121 300  225000-225500   00     274.58  890.8    261.18     0.37    -0.11
CALGARY    241121 300  225500-230000   00     270.83  890.8    257.74    -0.95    -1.43
CALGARY    241121 300  230000-230500   00     274.14  890.9    260.96     0.29    -0.19
CALGARY    241121 300  230500-231000   00     273.93  890.9    260.91     0.27    -0.20
CALGARY    241121 300  231000-231500   00     274.44  890.9    261.24     0.40    -0.07
CALGARY    241121 300  231500-232000   00     273.50  890.8    260.31     0.04    -0.42
CALGARY    241121 300  232000-232500   00     273.80  890.9    260.76     0.21    -0.24
CALGARY    241121 300  232500-233000   00     275.69  891.0    262.73     0.97     0.52
CALGARY    241121 300  233000-233500   00     273.35  890.9    260.38     0.07    -0.38
CALGARY    241121 300  233500-234000   00     274.70  890.9    261.58     0.53     0.09
CALGARY    241121 300  234000-234500   00     275.88  890.9    262.68     0.95     0.51
CALGARY    241121 300  234500-235000   00     274.96  890.8    261.68     0.57     0.14
CALGARY    241121 300  235000-235500   00     276.22  890.8    262.78     0.99     0.57
CALGARY    241121 300  235500-240000   00     273.65  890.8    260.37     0.06    -0.35
CALGARY    241122 300  000000-000500   00     272.03  890.9    258.94    -0.49    -0.89
CALGARY    241122 300  000500-001000   00     275.53  890.9    262.39     0.84     0.44
CALGARY    241122 300  001000-001500   00     273.62  890.9    260.49     0.11    -0.28
CALGARY    241122 300  001500-002000   00     273.21  890.9    260.17    -0.01    -0.39
CALGARY    241122 300  002000-002500   00     272.38  890.9    259.43    -0.30    -0.67
CALGARY    241122 300  002500-003000   00     275.09  891.0    262.08     0.72     0.36
CALGARY    241122 300  003000-003500   00     273.65  891.0    260.81     0.23    -0.12
CALGARY    241122 300  003500-004000   00     275.07  891.0    262.24     0.78     0.44
CALGARY    241122 300  004000-004500   00     276.16  891.1    263.45     1.24     0.91
CALGARY    241122 300  004500-005000   00     275.64  891.2    263.07     1.10     0.78
CALGARY    241122 300  005000-005500   00     274.25  891.2    261.80     0.61     0.30
CALGARY    241122 300  005500-010000   00     271.89  891.3    259.76    -0.17    -0.47
CALGARY    241122 300  010000-010500   00     272.96  891.4    260.86     0.25    -0.04
CALGARY    241122 300  010500-011000   00     274.20  891.4    262.14     0.74     0.47
CALGARY    241122 300  011000-011500   00     273.05  891.4    260.96     0.29     0.02
CALGARY    241122 300  011500-012000   00     272.98  891.4    260.95     0.29     0.03
CALGARY    241122 300  012000-012500   00     274.39  891.4    262.30     0.80     0.56
CALGARY    241122 300  012500-013000   00     271.62  891.4    259.71    -0.19    -0.42
CALGARY    241122 300  013000-013500   00     273.70  891.5    261.77     0.60     0.38
CALGARY    241122 300  013500-014000   00     273.35  891.5    261.54     0.51     0.31
CALGARY    241122 300  014000-014500   00     272.24  891.5    260.35     0.05    -0.14
CALGARY    241122 300  014500-015000   00     272.61  891.5    260.70     0.19     0.01
CALGARY    241122 300  015000-015500   00     272.12  891.5    260.25     0.01    -0.15
CALGARY    241122 300  015500-020000   00     271.57  891.5    259.85    -0.14    -0.28
CALGARY    241122 3600 020000-030000   00     272.25  891.5    260.41     0.08    -9999
CALGARY    241122 3600 030000-040000   00     272.54  891.4    260.43     0.09    -9999
CALGARY    241122 3600 040000-050000   00     272.45  891.4    260.54     0.13    -9999
CALGARY    241122 3600 050000-060000   00     271.51  891.5    259.83    -0.15    -9999
CALGARY    241122 3600 060000-070000   00     270.11  891.8    259.05    -0.44    -9999
CALGARY    241122 3600 070000-080000   00     269.07  892.0    258.33    -0.72    -9999
CALGARY    241122 3600 080000-090000   00     268.24  892.0    257.61    -1.00    -9999
CALGARY    241122 3600 090000-100000   00     268.60  892.0    258.03    -0.84    -9999
CALGARY    241122 3600 100000-110000   00     268.14  892.4    258.23    -0.76    -9999
CALGARY    241122 3600 110000-120000   00     267.45  892.5    257.88    -0.90    -9999
CALGARY    241122 3600 120000-130000   00     267.87  892.5    258.34    -0.72    -9999
CALGARY    241122 3600 130000-140000   00     267.26  892.6    257.80    -0.93    -9999
CALGARY    241122 3600 140000-150000   00     267.81  892.5    258.18    -0.78    -9999
CALGARY    241122 3600 150000-160000   00     268.31  892.1    257.92    -0.88    -9999
CALGARY    241122 3600 160000-170000   00     270.59  892.2    260.19    -0.01    -9999
CALGARY    241122 3600 170000-180000   00     270.88  891.9    260.01    -0.07    -9999
CALGARY    241122 3600 180000-190000   00     273.45  891.5    261.52     0.50    -9999
CALGARY    241122 3600 190000-200000   00     276.31  890.6    262.58     0.91    -9999
CALGARY    241122 3600 200000-210000   00     277.17  890.0    262.05     0.71    -9999
CALGARY    241122 3600 210000-220000   00     279.04  889.8    263.40     1.23    -9999
CALGARY    241122 3600 220000-230000   00     278.11  890.0    262.94     1.05    -9999
CALGARY    241122 3600 230000-240000   00     278.98  889.9    263.68     1.33    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 01.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076CALG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
