CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     68.88      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      241121 300  215500-220000   00      70.59  932.2     68.35    -0.76    -0.23
CALMA      241121 300  220000-220500   00      72.11  932.2     69.81     1.35     1.90
CALMA      241121 300  220500-221000   00      69.59  932.2     67.36    -2.20    -1.65
CALMA      241121 300  221000-221500   00      69.42  932.2     67.20    -2.44    -1.88
CALMA      241121 300  221500-222000   00      69.26  932.2     67.04    -2.67    -2.11
CALMA      241121 300  222000-222500   00      69.09  932.1     66.84    -2.96    -2.39
CALMA      241121 300  222500-223000   00      68.69  932.1     66.44    -3.54    -2.96
CALMA      241121 300  223000-223500   00      70.15  932.0     67.80    -1.56    -0.98
CALMA      241121 300  223500-224000   00      70.99  932.0     68.61    -0.39     0.20
CALMA      241121 300  224000-224500   00      70.99  932.0     68.62    -0.37     0.23
CALMA      241121 300  224500-225000   00      72.71  932.0     70.30     2.07     2.67
CALMA      241121 300  225000-225500   00      70.57  932.0     68.19    -1.00    -0.39
CALMA      241121 300  225500-230000   00      70.75  931.9     68.36    -0.75    -0.14
CALMA      241121 300  230000-230500   00      71.04  931.9     68.61    -0.39     0.24
CALMA      241121 300  230500-231000   00      72.13  931.9     69.68     1.17     1.80
CALMA      241121 300  231000-231500   00      69.90  931.8     67.48    -2.03    -1.39
CALMA      241121 300  231500-232000   00      69.39  931.7     66.94    -2.81    -2.16
CALMA      241121 300  232000-232500   00      71.53  931.8     69.06     0.27     0.92
CALMA      241121 300  232500-233000   00      70.16  931.9     67.76    -1.62    -0.96
CALMA      241121 300  233000-233500   00      71.94  931.8     69.46     0.85     1.51
CALMA      241121 300  233500-234000   00      72.96  931.8     70.43     2.26     2.93
CALMA      241121 300  234000-234500   00      72.04  931.7     69.51     0.92     1.60
CALMA      241121 300  234500-235000   00      72.43  931.7     69.84     1.40     2.09
CALMA      241121 300  235000-235500   00      71.31  931.6     68.75    -0.18     0.51
CALMA      241121 300  235500-240000   00      69.68  931.7     67.21    -2.42    -1.73
CALMA      241122 300  000000-000500   00      70.37  931.6     67.85    -1.49    -0.78
CALMA      241122 300  000500-001000   00      72.12  931.5     69.49     0.89     1.60
CALMA      241122 300  001000-001500   00      72.37  931.6     69.77     1.29     2.01
CALMA      241122 300  001500-002000   00      72.13  931.7     69.55     0.98     1.70
CALMA      241122 300  002000-002500   00      71.08  931.6     68.51    -0.53     0.20
CALMA      241122 300  002500-003000   00      69.72  931.6     67.21    -2.41    -1.68
CALMA      241122 300  003000-003500   00      71.47  931.5     68.84    -0.06     0.69
CALMA      241122 300  003500-004000   00      68.70  931.4     66.15    -3.96    -3.21
CALMA      241122 300  004000-004500   00      72.33  931.4     69.64     1.11     1.87
CALMA      241122 300  004500-005000   00      69.70  931.4     67.09    -2.59    -1.83
CALMA      241122 300  005000-005500   00      72.12  931.4     69.43     0.80     1.57
CALMA      241122 300  005500-010000   00      71.77  931.3     69.07     0.29     1.06
CALMA      241122 300  010000-010500   00      72.28  931.4     69.58     1.02     1.80
CALMA      241122 300  010500-011000   00      70.07  931.4     67.46    -2.05    -1.26
CALMA      241122 300  011000-011500   00      71.00  931.4     68.37    -0.73     0.06
CALMA      241122 300  011500-012000   00      72.63  931.5     69.97     1.59     2.39
CALMA      241122 300  012000-012500   00      72.29  931.5     69.65     1.12     1.93
CALMA      241122 300  012500-013000   00      70.25  931.5     67.69    -1.73    -0.91
CALMA      241122 300  013000-013500   00      72.21  931.5     69.57     1.01     1.83
CALMA      241122 300  013500-014000   00      72.29  931.6     69.66     1.14     1.97
CALMA      241122 300  014000-014500   00      71.28  931.6     68.69    -0.27     0.57
CALMA      241122 300  014500-015000   00      71.04  931.5     68.44    -0.64     0.20
CALMA      241122 300  015000-015500   00      71.51  931.5     68.88     0.01     0.86
CALMA      241122 300  015500-020000   00      70.69  931.5     68.09    -1.14    -0.28
CALMA      241122 3600 020000-030000   00      70.76  931.6     68.22    -0.96    -9999
CALMA      241122 3600 030000-040000   00      70.45  931.6     67.92    -1.39    -9999
CALMA      241122 3600 040000-050000   00      70.63  931.7     68.16    -1.04    -9999
CALMA      241122 3600 050000-060000   00      70.73  932.6     68.62    -0.37    -9999
CALMA      241122 3600 060000-070000   00      69.91  933.2     68.14    -1.07    -9999
CALMA      241122 3600 070000-080000   00      69.49  934.1     68.13    -1.08    -9999
CALMA      241122 3600 080000-090000   00      69.26  935.1     68.34    -0.78    -9999
CALMA      241122 3600 090000-100000   00      69.53  936.1     69.09     0.31    -9999
CALMA      241122 3600 100000-110000   00      68.54  937.0     68.51    -0.54    -9999
CALMA      241122 3600 110000-120000   00      68.40  937.0     68.38    -0.72    -9999
CALMA      241122 3600 120000-130000   00      69.19  936.7     69.03     0.22    -9999
CALMA      241122 3600 130000-140000   00      69.07  936.8     68.94     0.09    -9999
CALMA      241122 3600 140000-150000   00      69.11  936.8     68.96     0.12    -9999
CALMA      241122 3600 150000-160000   00      69.67  937.2     69.72     1.22    -9999
CALMA      241122 3600 160000-170000   00      69.58  937.5     69.79     1.32    -9999
CALMA      241122 3600 170000-180000   00      68.85  938.1     69.31     0.62    -9999
CALMA      241122 3600 180000-190000   00      68.77  938.8     69.56     1.00    -9999
CALMA      241122 3600 190000-200000   00      68.79  939.3     69.83     1.39    -9999
CALMA      241122 3600 200000-210000   00      67.89  939.9     69.20     0.46    -9999
CALMA      241122 3600 210000-220000   00      67.29  940.6     68.88     0.01    -9999
CALMA      241122 3600 220000-230000   00      67.15  940.8     68.87    -0.01    -9999
CALMA      241122 3600 230000-240000   00      68.14  940.9     69.91     1.51    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076CALM_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
