OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     95.08      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       241122 3600 100000-110000   00     111.67  977.6     94.82    -0.28    -9999
OULU       241122 3600 110000-120000   00     111.38  977.5     94.48    -0.63    -9999
OULU       241122 3600 120000-130000   00     112.05  977.4     95.00    -0.09    -9999
OULU       241122 3600 130000-140000   00     112.40  977.3     95.18     0.11    -9999
OULU       241122 3600 140000-150000   00     112.53  977.3     95.30     0.23    -9999
OULU       241122 3600 150000-160000   00     112.82  977.4     95.63     0.58    -9999
OULU       241122 3600 160000-170000   00     112.68  977.6     95.67     0.61    -9999
OULU       241122 3600 170000-180000   00     112.80  977.8     95.92     0.88    -9999
OULU       241122 3600 180000-190000   00     112.37  978.2     95.82     0.77    -9999
OULU       241122 3600 190000-200000   00     111.55  978.8     95.50     0.44    -9999
OULU       241122 3600 200000-210000   00     110.67  979.4     95.17     0.09    -9999
OULU       241122 3600 210000-220000   00     110.63  980.0     95.60     0.54    -9999
OULU       241122 3600 220000-230000   00     109.82  980.8     95.42     0.35    -9999
OULU       241122 3600 230000-240000   00     109.72  981.3     95.72     0.67    -9999
*
COMMENT DATA SOURCE: COSMICRAYS.OULU.FI | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076OULU_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
