ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,217.52      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 241121 300  200500-201000   00    1142.88  679.5   1214.92    -0.21    -0.18
ALMA-ATA-B 241121 300  201000-201500   00    1142.30  679.4   1214.10    -0.28    -0.25
ALMA-ATA-B 241121 300  201500-202000   00    1139.58  679.4   1211.10    -0.53    -0.50
ALMA-ATA-B 241121 300  202000-202500   00    1140.86  679.5   1212.90    -0.38    -0.36
ALMA-ATA-B 241121 300  202500-203000   00    1131.18  679.5   1202.68    -1.22    -1.20
ALMA-ATA-B 241121 300  203000-203500   00    1141.96  679.5   1214.08    -0.28    -0.27
ALMA-ATA-B 241121 300  203500-204000   00    1145.84  679.5   1218.22     0.06     0.07
ALMA-ATA-B 241121 300  204000-204500   00    1148.48  679.4   1220.86     0.27     0.28
ALMA-ATA-B 241121 300  204500-205000   00    1140.66  679.4   1212.38    -0.42    -0.43
ALMA-ATA-B 241121 300  205000-205500   00    1137.66  679.4   1208.96    -0.70    -0.71
ALMA-ATA-B 241121 300  205500-210000   00    1146.68  679.3   1218.00     0.04     0.02
ALMA-ATA-B 241121 300  210000-210500   00    1151.58  679.3   1223.06     0.46     0.43
ALMA-ATA-B 241121 300  210500-211000   00    1137.68  679.4   1208.60    -0.73    -0.76
ALMA-ATA-B 241121 300  211000-211500   00    1136.30  679.3   1206.96    -0.87    -0.90
ALMA-ATA-B 241121 300  211500-212000   00    1136.44  679.3   1207.10    -0.86    -0.90
ALMA-ATA-B 241121 300  212000-212500   00    1149.64  679.4   1221.46     0.32     0.27
ALMA-ATA-B 241121 300  212500-213000   00    1141.55  679.4   1213.05    -0.37    -0.43
ALMA-ATA-B 241121 300  213000-213500   00    1151.70  679.3   1223.17     0.46     0.39
ALMA-ATA-B 241121 300  213500-214000   00    1150.96  679.3   1221.94     0.36     0.29
ALMA-ATA-B 241121 300  214000-214500   00    1147.96  679.2   1218.60     0.09     0.00
ALMA-ATA-B 241121 300  214500-215000   00    1151.62  679.2   1222.24     0.39     0.29
ALMA-ATA-B 241121 300  215000-215500   00    1148.96  679.2   1219.08     0.13     0.02
ALMA-ATA-B 241121 300  215500-220000   00    1142.50  679.1   1211.78    -0.47    -0.59
ALMA-ATA-B 241121 300  220000-220500   00    1152.66  679.1   1222.40     0.40     0.28
ALMA-ATA-B 241121 300  220500-221000   00    1141.78  679.0   1210.36    -0.59    -0.72
ALMA-ATA-B 241121 300  221000-221500   00    1151.36  679.0   1219.96     0.20     0.06
ALMA-ATA-B 241121 300  221500-222000   00    1147.78  679.0   1215.98    -0.13    -0.28
ALMA-ATA-B 241121 300  222000-222500   00    1155.82  679.0   1224.40     0.57     0.40
ALMA-ATA-B 241121 300  222500-223000   00    1148.80  678.9   1216.76    -0.06    -0.24
ALMA-ATA-B 241121 300  223000-223500   00    1152.96  679.0   1221.40     0.32     0.13
ALMA-ATA-B 241121 300  223500-224000   00    1145.28  678.9   1213.06    -0.37    -0.56
ALMA-ATA-B 241121 300  224000-224500   00    1156.46  678.9   1224.84     0.60     0.39
ALMA-ATA-B 241121 300  224500-225000   00    1148.14  678.9   1215.76    -0.14    -0.37
ALMA-ATA-B 241121 300  225000-225500   00    1160.22  678.9   1228.54     0.91     0.67
ALMA-ATA-B 241121 300  225500-230000   00    1154.32  678.9   1222.44     0.40     0.16
ALMA-ATA-B 241121 300  230000-230500   00    1158.36  678.8   1226.20     0.71     0.45
ALMA-ATA-B 241121 300  230500-231000   00    1153.72  678.8   1220.62     0.25    -0.02
ALMA-ATA-B 241121 300  231000-231500   00    1153.74  678.7   1220.26     0.23    -0.06
ALMA-ATA-B 241121 300  231500-232000   00    1156.98  678.7   1223.70     0.51     0.21
ALMA-ATA-B 241121 300  232000-232500   00    1148.72  678.7   1215.02    -0.21    -0.52
ALMA-ATA-B 241121 300  232500-233000   00    1147.90  678.8   1214.28    -0.27    -0.59
ALMA-ATA-B 241121 300  233000-233500   00    1159.12  678.8   1226.36     0.73     0.39
ALMA-ATA-B 241121 300  233500-234000   00    1159.86  678.8   1226.84     0.77     0.41
ALMA-ATA-B 241121 300  234000-234500   00    1158.82  678.7   1225.64     0.67     0.30
ALMA-ATA-B 241121 300  234500-235000   00    1153.12  678.7   1219.58     0.17    -0.21
ALMA-ATA-B 241121 300  235000-235500   00    1160.44  678.8   1227.54     0.82     0.42
ALMA-ATA-B 241121 300  235500-240000   00    1152.24  678.8   1219.26     0.14    -0.27
ALMA-ATA-B 241122 300  000000-000500   00    1155.12  678.8   1222.38     0.40    -0.03
ALMA-ATA-B 241122 300  000500-001000   00    1150.28  678.8   1216.90    -0.05    -0.50
ALMA-ATA-B 241122 300  001000-001500   00    1164.08  678.7   1231.14     1.12     0.66
ALMA-ATA-B 241122 300  001500-002000   00    1161.44  678.7   1228.44     0.90     0.42
ALMA-ATA-B 241122 300  002000-002500   00    1155.72  678.7   1222.40     0.40    -0.09
ALMA-ATA-B 241122 300  002500-003000   00    1155.74  678.7   1222.26     0.39    -0.12
ALMA-ATA-B 241122 300  003000-003500   00    1149.62  678.7   1215.80    -0.14    -0.67
ALMA-ATA-B 241122 300  003500-004000   00    1170.64  678.7   1238.22     1.70     1.15
ALMA-ATA-B 241122 300  004000-004500   00    1151.42  678.8   1217.98     0.04    -0.53
ALMA-ATA-B 241122 300  004500-005000   00    1158.70  678.7   1225.58     0.66     0.08
ALMA-ATA-B 241122 300  005000-005500   00    1147.12  678.7   1213.22    -0.35    -0.95
ALMA-ATA-B 241122 300  005500-010000   00    1165.20  678.7   1232.36     1.22     0.60
ALMA-ATA-B 241122 300  010000-010500   00    1165.12  678.7   1232.20     1.21     0.57
ALMA-ATA-B 241122 300  010500-011000   00    1156.02  678.7   1222.30     0.39    -0.26
ALMA-ATA-B 241122 300  011000-011500   00    1158.32  678.7   1224.32     0.56    -0.12
ALMA-ATA-B 241122 300  011500-012000   00    1162.46  678.6   1228.42     0.90     0.20
ALMA-ATA-B 241122 300  012000-012500   00    1155.12  678.6   1220.78     0.27    -0.45
ALMA-ATA-B 241122 300  012500-013000   00    1166.56  678.7   1233.04     1.27     0.54
ALMA-ATA-B 241122 300  013000-013500   00    1151.02  678.7   1216.74    -0.06    -0.82
ALMA-ATA-B 241122 300  013500-014000   00    1168.80  678.7   1235.50     1.48     0.70
ALMA-ATA-B 241122 300  014000-014500   00    1150.62  678.7   1216.46    -0.09    -0.88
ALMA-ATA-B 241122 300  014500-015000   00    1162.80  678.7   1229.38     0.97     0.16
ALMA-ATA-B 241122 300  015000-015500   00    1162.42  678.7   1229.18     0.96     0.12
ALMA-ATA-B 241122 300  015500-020000   00    1159.98  678.7   1226.68     0.75    -0.10
ALMA-ATA-B 241122 3600 020000-030000   00    1157.50  678.8   1224.81     0.60    -9999
ALMA-ATA-B 241122 3600 030000-040000   00    1154.18  679.1   1223.72     0.51    -9999
ALMA-ATA-B 241122 3600 040000-050000   00    1155.66  679.3   1227.61     0.83    -9999
ALMA-ATA-B 241122 3600 050000-060000   00    1153.51  679.8   1229.51     0.98    -9999
ALMA-ATA-B 241122 3600 060000-070000   00    1153.54  679.8   1229.60     0.99    -9999
ALMA-ATA-B 241122 3600 070000-080000   00    1155.24  679.8   1231.39     1.14    -9999
ALMA-ATA-B 241122 3600 080000-090000   00    1153.70  679.9   1230.43     1.06    -9999
ALMA-ATA-B 241122 3600 090000-100000   00    1155.45  680.5   1237.19     1.62    -9999
ALMA-ATA-B 241122 3600 100000-110000   00    1143.70  680.7   1227.06     0.78    -9999
ALMA-ATA-B 241122 3600 110000-120000   00    1141.78  681.2   1228.87     0.93    -9999
ALMA-ATA-B 241122 3600 120000-130000   00    1137.26  681.7   1228.06     0.87    -9999
ALMA-ATA-B 241122 3600 130000-140000   00    1140.37  681.9   1233.56     1.32    -9999
ALMA-ATA-B 241122 3600 140000-150000   00    1136.72  681.9   1229.53     0.99    -9999
ALMA-ATA-B 241122 3600 150000-160000   00    1136.86  682.0   1230.49     1.07    -9999
ALMA-ATA-B 241122 3600 160000-170000   00    1134.57  682.2   1229.56     0.99    -9999
