DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       241121 300  195000-195500   00      17.27  643.3     15.85     0.23     0.35
DOMC       241121 300  195500-200000   00      17.03  643.3     15.65    -1.03    -0.91
DOMC       241121 300  200000-200500   00      17.03  643.4     15.67    -0.93    -0.80
DOMC       241121 300  200500-201000   00      16.93  643.4     15.57    -1.56    -1.43
DOMC       241121 300  201000-201500   00      17.42  643.5     16.02     1.29     1.42
DOMC       241121 300  201500-202000   00      16.78  643.5     15.43    -2.40    -2.27
DOMC       241121 300  202000-202500   00      17.60  643.5     16.20     2.45     2.58
DOMC       241121 300  202500-203000   00      17.37  643.6     15.98     1.08     1.22
DOMC       241121 300  203000-203500   00      16.77  643.6     15.45    -2.30    -2.15
DOMC       241121 300  203500-204000   00      17.63  643.7     16.23     2.66     2.80
DOMC       241121 300  204000-204500   00      17.88  643.7     16.48     4.24     4.39
DOMC       241121 300  204500-205000   00      17.60  643.8     16.23     2.66     2.81
DOMC       241121 300  205000-205500   00      17.45  643.9     16.10     1.81     1.97
DOMC       241121 300  205500-210000   00      17.33  643.9     16.00     1.18     1.34
DOMC       241121 300  210000-210500   00      17.27  643.9     15.95     0.87     1.03
DOMC       241121 300  210500-211000   00      17.08  644.0     15.77    -0.29    -0.13
DOMC       241121 300  211000-211500   00      17.15  644.0     15.83     0.13     0.29
DOMC       241121 300  211500-212000   00      16.95  644.0     15.67    -0.93    -0.76
DOMC       241121 300  212000-212500   00      16.62  644.0     15.35    -2.93    -2.76
DOMC       241121 300  212500-213000   00      17.17  644.1     15.87     0.34     0.51
DOMC       241121 300  213000-213500   00      17.05  644.2     15.77    -0.29    -0.11
DOMC       241121 300  213500-214000   00      17.23  644.2     15.93     0.76     0.94
DOMC       241121 300  214000-214500   00      17.02  644.2     15.75    -0.40    -0.21
DOMC       241121 300  214500-215000   00      16.98  644.2     15.72    -0.61    -0.42
DOMC       241121 300  215000-215500   00      16.93  644.3     15.67    -0.93    -0.73
DOMC       241121 300  215500-220000   00      16.90  644.3     15.63    -1.14    -0.94
DOMC       241121 300  220000-220500   00      16.77  644.4     15.52    -1.88    -1.68
DOMC       241121 300  220500-221000   00      16.98  644.5     15.73    -0.51    -0.30
DOMC       241121 300  221000-221500   00      16.87  644.5     15.63    -1.14    -0.93
DOMC       241121 300  221500-222000   00      16.92  644.5     15.68    -0.82    -0.61
DOMC       241121 300  222000-222500   00      17.27  644.5     16.00     1.18     1.39
DOMC       241121 300  222500-223000   00      16.80  644.5     15.57    -1.56    -1.35
DOMC       241121 300  223000-223500   00      16.98  644.5     15.75    -0.40    -0.18
DOMC       241121 300  223500-224000   00      17.40  644.6     16.15     2.13     2.35
DOMC       241121 300  224000-224500   00      16.98  644.6     15.75    -0.40    -0.18
DOMC       241121 300  224500-225000   00      17.00  644.6     15.78    -0.19     0.04
DOMC       241121 300  225000-225500   00      17.13  644.7     15.90     0.55     0.78
DOMC       241121 300  225500-230000   00      17.15  644.8     15.93     0.76     0.99
DOMC       241121 300  230000-230500   00      16.90  644.8     15.70    -0.72    -0.48
DOMC       241121 300  230500-231000   00      16.95  644.8     15.75    -0.40    -0.16
DOMC       241121 300  231000-231500   00      16.85  644.8     15.67    -0.93    -0.69
DOMC       241121 300  231500-232000   00      17.68  644.8     16.43     3.92     4.17
DOMC       241121 300  232000-232500   00      16.75  644.9     15.58    -1.45    -1.21
DOMC       241121 300  232500-233000   00      16.82  645.0     15.63    -1.14    -0.89
DOMC       241121 300  233000-233500   00      16.83  645.0     15.67    -0.93    -0.67
DOMC       241121 300  233500-234000   00      16.97  645.0     15.80    -0.08     0.17
DOMC       241121 300  234000-234500   00      17.17  645.0     15.97     0.97     1.23
DOMC       241121 300  234500-235000   00      17.08  645.1     15.90     0.55     0.81
DOMC       241121 300  235000-235500   00      17.25  645.2     16.07     1.60     1.87
DOMC       241121 300  235500-240000   00      16.67  645.3     15.55    -1.66    -1.40
DOMC       241122 300  000000-000500   00      16.95  645.3     15.82     0.02     0.29
DOMC       241122 300  000500-001000   00      16.78  645.4     15.65    -1.03    -0.76
DOMC       241122 300  001000-001500   00      16.77  645.4     15.65    -1.03    -0.75
DOMC       241122 300  001500-002000   00      16.65  645.4     15.53    -1.77    -1.49
DOMC       241122 300  002000-002500   00      16.68  645.5     15.58    -1.45    -1.17
DOMC       241122 300  002500-003000   00      16.77  645.5     15.67    -0.93    -0.64
DOMC       241122 300  003000-003500   00      16.90  645.5     15.78    -0.19     0.10
DOMC       241122 300  003500-004000   00      16.88  645.5     15.78    -0.19     0.10
DOMC       241122 300  004000-004500   00      17.02  645.6     15.90     0.55     0.85
DOMC       241122 300  004500-005000   00      16.78  645.6     15.70    -0.72    -0.42
DOMC       241122 300  005000-005500   00      16.75  645.6     15.67    -0.93    -0.62
DOMC       241122 300  005500-010000   00      17.42  645.6     16.30     3.08     3.38
DOMC       241122 300  010000-010500   00      16.92  645.7     15.82     0.02     0.33
DOMC       241122 300  010500-011000   00      17.18  645.6     16.08     1.71     2.02
DOMC       241122 300  011000-011500   00      17.27  645.6     16.15     2.13     2.44
DOMC       241122 300  011500-012000   00      16.52  645.7     15.45    -2.30    -1.98
DOMC       241122 300  012000-012500   00      17.17  645.8     16.08     1.71     2.03
DOMC       241122 300  012500-013000   00      16.97  645.8     15.88     0.44     0.77
DOMC       241122 300  013000-013500   00      17.05  645.8     15.97     0.97     1.30
DOMC       241122 300  013500-014000   00      16.78  645.9     15.72    -0.61    -0.28
DOMC       241122 300  014000-014500   00      16.27  645.9     15.23    -3.67    -3.33
DOMC       241122 300  014500-015000   00      16.78  646.0     15.73    -0.51    -0.17
DOMC       241122 300  015000-015500   00      17.15  646.1     16.08     1.71     2.05
DOMC       241122 300  015500-020000   00      16.70  646.2     15.68    -0.82    -0.48
DOMC       241122 3600 020000-030000   00      16.58  646.5     15.60    -1.35    -9999
DOMC       241122 3600 030000-040000   00      16.62  647.0     15.70    -0.72    -9999
DOMC       241122 3600 040000-050000   00      16.52  647.5     15.67    -0.93    -9999
DOMC       241122 3600 050000-060000   00      16.42  648.0     15.63    -1.14    -9999
DOMC       241122 3600 060000-070000   00      16.37  648.5     15.63    -1.14    -9999
DOMC       241122 3600 070000-080000   00      16.30  648.7     15.60    -1.35    -9999
DOMC       241122 3600 080000-090000   00      16.30  649.1     15.65    -1.03    -9999
DOMC       241122 3600 090000-100000   00      16.28  649.5     15.68    -0.82    -9999
DOMC       241122 3600 100000-110000   00      16.23  649.9     15.68    -0.82    -9999
DOMC       241122 3600 110000-120000   00      16.20  650.2     15.68    -0.82    -9999
DOMC       241122 3600 120000-130000   00      16.23  650.6     15.77    -0.29    -9999
DOMC       241122 3600 130000-140000   00      16.23  650.9     15.80    -0.08    -9999
DOMC       241122 3600 140000-150000   00      16.20  651.0     15.78    -0.19    -9999
DOMC       241122 3600 150000-160000   00      16.05  651.1     15.65    -1.03    -9999
DOMC       241122 3600 160000-170000   00      16.37  651.2     15.97     0.97    -9999
DOMC       241122 3600 170000-180000   00      16.28  651.4     15.90     0.55    -9999
DOMC       241122 3600 180000-190000   00      16.22  651.8     15.90     0.55    -9999
DOMC       241122 3600 190000-200000   00      16.37  651.9     16.05     1.50    -9999
DOMC       241122 3600 200000-210000   00      16.38  652.0     16.08     1.71    -9999
DOMC       241122 3600 210000-220000   00      16.27  652.2     16.00     1.18    -9999
DOMC       241122 3600 220000-230000   00      16.37  652.3     16.10     1.81    -9999
DOMC       241122 3600 230000-240000   00      16.20  652.2     15.93     0.76    -9999
*
COMMENT DATA SOURCE: COSMICRAYS.OULU.FI | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076DOMC_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
