JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    143.59      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   241121 300  200000-200500   00     183.15  630.5    144.84     0.87     1.34
JUNGFRAU   241121 300  200500-201000   00     183.62  630.4    145.19     1.12     1.59
JUNGFRAU   241121 300  201000-201500   00     183.65  630.2    145.03     1.01     1.48
JUNGFRAU   241121 300  201500-202000   00     180.76  630.4    142.95    -0.44     0.04
JUNGFRAU   241121 300  202000-202500   00     181.69  630.5    143.82     0.16     0.65
JUNGFRAU   241121 300  202500-203000   00     179.75  630.5    142.16    -1.00    -0.51
JUNGFRAU   241121 300  203000-203500   00     181.79  630.1    143.41    -0.12     0.37
JUNGFRAU   241121 300  203500-204000   00     182.28  630.1    143.67     0.06     0.55
JUNGFRAU   241121 300  204000-204500   00     181.95  629.9    143.33    -0.18     0.32
JUNGFRAU   241121 300  204500-205000   00     182.27  629.8    143.44    -0.10     0.40
JUNGFRAU   241121 300  205000-205500   00     180.71  629.8    142.12    -1.02    -0.52
JUNGFRAU   241121 300  205500-210000   00     182.40  630.0    143.74     0.10     0.61
JUNGFRAU   241121 300  210000-210500   00     182.64  629.7    143.71     0.08     0.59
JUNGFRAU   241121 300  210500-211000   00     181.06  629.3    142.06    -1.06    -0.55
JUNGFRAU   241121 300  211000-211500   00     183.93  629.7    144.71     0.78     1.29
JUNGFRAU   241121 300  211500-212000   00     182.11  630.0    143.45    -0.10     0.41
JUNGFRAU   241121 300  212000-212500   00     182.09  630.1    143.63     0.03     0.53
JUNGFRAU   241121 300  212500-213000   00     180.74  630.2    142.59    -0.69    -0.19
JUNGFRAU   241121 300  213000-213500   00     181.67  630.1    143.37    -0.15     0.35
JUNGFRAU   241121 300  213500-214000   00     182.05  629.8    143.30    -0.20     0.30
JUNGFRAU   241121 300  214000-214500   00     181.68  629.8    143.02    -0.39     0.11
JUNGFRAU   241121 300  214500-215000   00     179.78  629.7    141.49    -1.46    -0.96
JUNGFRAU   241121 300  215000-215500   00     182.60  629.8    143.80     0.15     0.64
JUNGFRAU   241121 300  215500-220000   00     181.01  630.1    142.78    -0.56    -0.07
JUNGFRAU   241121 300  220000-220500   00     181.45  629.9    142.97    -0.43     0.06
JUNGFRAU   241121 300  220500-221000   00     183.13  630.0    144.34     0.52     1.01
JUNGFRAU   241121 300  221000-221500   00     182.04  630.1    143.51    -0.05     0.43
JUNGFRAU   241121 300  221500-222000   00     180.26  630.3    142.37    -0.85    -0.37
JUNGFRAU   241121 300  222000-222500   00     182.04  630.2    143.72     0.09     0.57
JUNGFRAU   241121 300  222500-223000   00     183.69  630.4    145.15     1.09     1.55
JUNGFRAU   241121 300  223000-223500   00     178.72  630.4    141.33    -1.57    -1.11
JUNGFRAU   241121 300  223500-224000   00     181.20  630.7    143.63     0.03     0.49
JUNGFRAU   241121 300  224000-224500   00     182.04  630.3    143.69     0.07     0.52
JUNGFRAU   241121 300  224500-225000   00     178.59  630.4    141.10    -1.73    -1.29
JUNGFRAU   241121 300  225000-225500   00     177.75  630.4    140.57    -2.10    -1.66
JUNGFRAU   241121 300  225500-230000   00     181.15  630.1    142.92    -0.47    -0.04
JUNGFRAU   241121 300  230000-230500   00     181.09  630.1    142.84    -0.52    -0.10
JUNGFRAU   241121 300  230500-231000   00     181.14  631.1    143.95     0.25     0.67
JUNGFRAU   241121 300  231000-231500   00     184.28  630.7    146.03     1.70     2.11
JUNGFRAU   241121 300  231500-232000   00     181.45  631.1    144.14     0.39     0.78
JUNGFRAU   241121 300  232000-232500   00     182.38  630.9    144.67     0.75     1.14
JUNGFRAU   241121 300  232500-233000   00     180.10  630.7    142.60    -0.69    -0.31
JUNGFRAU   241121 300  233000-233500   00     177.90  630.6    140.89    -1.88    -1.51
JUNGFRAU   241121 300  233500-234000   00     180.30  630.6    142.78    -0.56    -0.20
JUNGFRAU   241121 300  234000-234500   00     180.31  630.8    142.91    -0.47    -0.12
JUNGFRAU   241121 300  234500-235000   00     177.02  630.8    140.44    -2.19    -1.86
JUNGFRAU   241121 300  235000-235500   00     181.29  630.8    143.69     0.07     0.40
JUNGFRAU   241121 300  235500-240000   00     181.22  630.7    143.63     0.03     0.34
JUNGFRAU   241122 300  000000-000500   00     180.96  630.9    143.53    -0.04     0.26
