JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978     MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    237.53      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  241121 300  230500-231000   00     248.32  972.2    236.85    -0.29    -0.29
JANG-BOGO  241121 300  231000-231500   00     249.07  972.2    237.57     0.02     0.02
JANG-BOGO  241121 300  231500-232000   00     251.70  972.2    240.05     1.06     1.06
JANG-BOGO  241121 300  232000-232500   00     250.40  972.2    238.80     0.53     0.53
JANG-BOGO  241121 300  232500-233000   00     253.60  972.2    241.90     1.84     1.84
JANG-BOGO  241121 300  233000-233500   00     246.10  972.2    234.70    -1.19    -1.19
JANG-BOGO  241121 300  233500-234000   00     249.00  972.2    237.43    -0.04    -0.04
JANG-BOGO  241121 300  234000-234500   00     248.80  972.2    237.25    -0.12    -0.12
JANG-BOGO  241121 300  234500-235000   00     248.43  972.0    236.80    -0.31    -0.31
JANG-BOGO  241121 300  235000-235500   00     244.50  972.0    233.00    -1.91    -1.91
JANG-BOGO  241121 300  235500-240000   00     250.63  972.0    238.80     0.53     0.53
JANG-BOGO  241122 300  000000-000500   00     253.50  972.0    241.60     1.71     1.71
JANG-BOGO  241122 300  000500-001000   00     246.10  972.0    234.50    -1.28    -1.28
JANG-BOGO  241122 300  001000-001500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241122 300  001500-002000   00     241.80  972.0    230.40    -3.00    -3.00
JANG-BOGO  241122 300  002000-002500   00     249.83  972.0    238.03     0.21     0.21
JANG-BOGO  241122 300  002500-003000   00     247.70  972.0    235.97    -0.65    -0.65
JANG-BOGO  241122 300  003000-003500   00     246.33  972.0    234.70    -1.19    -1.19
JANG-BOGO  241122 300  003500-004000   00     247.57  972.0    235.93    -0.67    -0.67
JANG-BOGO  241122 300  004000-004500   00     248.35  972.0    236.60    -0.39    -0.39
