ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     MB     COEFFICIENT   -0.7      % / MB
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     50.95      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ATHENS     241121 300  203000-203500   00      53.28  977.0     52.14     2.33     2.46
ATHENS     241121 300  203500-204000   00      51.37  977.1     50.55    -0.79    -0.65
ATHENS     241121 300  204000-204500   00      51.78  977.0     51.00     0.09     0.23
ATHENS     241121 300  204500-205000   00      51.45  976.9     48.00    -5.80    -5.65
ATHENS     241121 300  205000-205500   00      53.25  977.0     53.68     5.35     5.51
ATHENS     241121 300  205500-210000   00      51.62  977.0     50.09    -1.70    -1.54
ATHENS     241121 300  210000-210500   00      52.27  977.1     50.46    -0.97    -0.80
ATHENS     241121 300  210500-211000   00      52.95  977.1     51.51     1.10     1.27
ATHENS     241121 300  211000-211500   00      52.83  977.2     52.32     2.69     2.86
ATHENS     241121 300  211500-212000   00      53.85  977.2     52.83     3.68     3.85
ATHENS     241121 300  212000-212500   00      52.76  977.1     52.90     3.82     4.01
ATHENS     241121 300  212500-213000   00      51.43  977.2     50.41    -1.07    -0.88
ATHENS     241121 300  213000-213500   00      50.97  977.2     49.16    -3.51    -3.32
ATHENS     241121 300  213500-214000   00      52.57  977.2     51.91     1.88     2.08
ATHENS     241121 300  214000-214500   00      52.65  977.2     51.67     1.40     1.61
ATHENS     241121 300  214500-215000   00      50.48  977.3     49.64    -2.59    -2.38
ATHENS     241121 300  215000-215500   00      52.03  977.3     50.44    -1.00    -0.79
ATHENS     241121 300  215500-220000   00      52.67  977.1     52.14     2.33     2.55
ATHENS     241121 300  220000-220500   00      51.53  977.2     49.49    -2.88    -2.65
ATHENS     241121 300  220500-221000   00      50.44  977.4     49.46    -2.93    -2.70
ATHENS     241121 300  221000-221500   00      51.48  977.4     50.26    -1.37    -1.14
ATHENS     241121 300  221500-222000   00      51.92  977.3     51.02     0.12     0.36
ATHENS     241121 300  222000-222500   00      51.51  977.4     51.23     0.55     0.79
ATHENS     241121 300  222500-223000   00      52.56  977.4     49.90    -2.06    -1.81
ATHENS     241121 300  223000-223500   00      51.96  977.4     51.40     0.88     1.14
ATHENS     241121 300  223500-224000   00      51.33  977.4     50.92    -0.06     0.19
ATHENS     241121 300  224000-224500   00      51.30  977.3     49.12    -3.60    -3.33
ATHENS     241121 300  224500-225000   00      52.25  977.4     50.93    -0.05     0.22
ATHENS     241121 300  225000-225500   00      51.23  977.3     49.29    -3.27    -3.00
ATHENS     241121 300  225500-230000   00      51.64  977.3     49.51    -2.84    -2.56
ATHENS     241121 300  230000-230500   00      51.63  977.3     50.38    -1.14    -0.85
ATHENS     241121 300  230500-231000   00      51.34  977.3     50.38    -1.12    -0.83
ATHENS     241121 300  231000-231500   00      52.05  977.3     50.52    -0.84    -0.55
ATHENS     241121 300  231500-232000   00      51.42  977.4     50.50    -0.89    -0.59
ATHENS     241121 300  232000-232500   00      51.46  977.4     51.78     1.63     1.93
ATHENS     241121 300  232500-233000   00      51.22  977.3     50.09    -1.69    -1.38
ATHENS     241121 300  233000-233500   00      52.80  977.2     50.45    -0.99    -0.68
ATHENS     241121 300  233500-234000   00      52.86  977.3     52.24     2.53     2.84
ATHENS     241121 300  234000-234500   00      51.42  977.3     49.71    -2.44    -2.12
ATHENS     241121 300  234500-235000   00      50.97  977.2     50.39    -1.10    -0.77
ATHENS     241121 300  235000-235500   00      52.37  977.2     50.87    -0.16     0.17
ATHENS     241121 300  235500-240000   00      51.77  977.1     51.01     0.10     0.44
ATHENS     241122 300  000000-000500   00      52.87  977.1     50.11    -1.65    -1.31
ATHENS     241122 300  000500-001000   00      51.61  977.1     51.15     0.38     0.72
ATHENS     241122 300  001000-001500   00      52.69  977.1     50.84    -0.23     0.12
ATHENS     241122 300  001500-002000   00      52.23  977.0     50.67    -0.56    -0.21
ATHENS     241122 300  002000-002500   00      53.46  977.1     52.13     2.32     2.68
ATHENS     241122 300  002500-003000   00      52.24  977.2     50.23    -1.43    -1.06
ATHENS     241122 300  003000-003500   00      52.66  977.2     51.07     0.23     0.60
ATHENS     241122 300  003500-004000   00      51.93  977.2     50.06    -1.75    -1.37
ATHENS     241122 300  004000-004500   00      52.25  977.1     50.64    -0.62    -0.24
ATHENS     241122 300  004500-005000   00      51.28  977.1     50.21    -1.47    -1.08
ATHENS     241122 300  005000-005500   00      52.76  977.1     50.02    -1.82    -1.43
ATHENS     241122 300  005500-010000   00      52.46  977.2     51.05     0.20     0.59
ATHENS     241122 300  010000-010500   00      51.26  977.2     50.24    -1.41    -1.01
ATHENS     241122 300  010500-011000   00      51.60  977.2     49.73    -2.40    -1.99
ATHENS     241122 300  011000-011500   00      52.61  977.2     51.38     0.83     1.25
ATHENS     241122 300  011500-012000   00      52.67  977.2     50.53    -0.83    -0.42
ATHENS     241122 300  012000-012500   00      50.99  977.3     49.24    -3.37    -2.95
ATHENS     241122 300  012500-013000   00      52.49  977.3     51.72     1.50     1.93
ATHENS     241122 300  013000-013500   00      50.77  977.3     49.22    -3.41    -2.98
ATHENS     241122 300  013500-014000   00      52.51  977.3     51.16     0.40     0.84
ATHENS     241122 300  014000-014500   00      52.42  977.3     50.49    -0.91    -0.47
ATHENS     241122 300  014500-015000   00      52.47  977.3     51.58     1.24     1.68
ATHENS     241122 300  015000-015500   00      52.46  977.3     51.94     1.93     2.38
ATHENS     241122 300  015500-020000   00      50.99  977.3     48.77    -4.28    -3.83
ATHENS     241122 3600 020000-030000   00      51.76  977.2     50.82    -0.27    -9999
ATHENS     241122 3600 030000-040000   00      51.52  977.5     50.09    -1.69    -9999
