NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.91      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       241121 300  201000-201500   00     169.22 1030.9    194.58     1.39     1.39
NAIN       241121 300  201500-202000   00     168.94 1030.9    194.24     1.21     1.21
NAIN       241121 300  202000-202500   00     167.36 1030.9    192.41     0.26     0.26
NAIN       241121 300  202500-203000   00     167.63 1030.9    192.77     0.45     0.45
NAIN       241121 300  203000-203500   00     168.30 1030.9    193.55     0.85     0.85
NAIN       241121 300  203500-204000   00     166.69 1030.9    191.70    -0.11    -0.11
NAIN       241121 300  204000-204500   00     167.42 1030.9    192.60     0.36     0.36
NAIN       241121 300  204500-205000   00     167.64 1030.9    192.84     0.48     0.48
NAIN       241121 300  205000-205500   00     167.27 1030.9    192.45     0.28     0.28
NAIN       241121 300  205500-210000   00     169.16 1031.0    194.68     1.44     1.44
NAIN       241121 300  210000-210500   00     164.61 1031.0    189.39    -1.32    -1.32
NAIN       241121 300  210500-211000   00     167.63 1030.9    192.73     0.42     0.42
NAIN       241121 300  211000-211500   00     167.64 1030.8    192.66     0.39     0.39
NAIN       241121 300  211500-212000   00     167.98 1030.8    193.05     0.59     0.59
NAIN       241121 300  212000-212500   00     165.77 1030.8    190.55    -0.71    -0.71
NAIN       241121 300  212500-213000   00     167.19 1030.8    192.19     0.14     0.14
NAIN       241121 300  213000-213500   00     166.29 1030.9    191.20    -0.37    -0.37
NAIN       241121 300  213500-214000   00     164.46 1030.9    189.12    -1.46    -1.46
NAIN       241121 300  214000-214500   00     166.13 1030.9    191.06    -0.45    -0.45
NAIN       241121 300  214500-215000   00     166.85 1030.9    191.92     0.00     0.00
NAIN       241121 300  215000-215500   00     166.99 1030.9    192.07     0.08     0.08
NAIN       241121 300  215500-220000   00     165.43 1030.8    190.18    -0.90    -0.90
NAIN       241121 300  220000-220500   00     167.01 1030.8    191.96     0.02     0.02
NAIN       241121 300  220500-221000   00     166.75 1030.8    191.67    -0.13    -0.13
NAIN       241121 300  221000-221500   00     166.86 1030.9    191.86    -0.03    -0.03
NAIN       241121 300  221500-222000   00     166.14 1030.9    191.04    -0.45    -0.45
NAIN       241121 300  222000-222500   00     167.22 1030.8    192.24     0.17     0.17
NAIN       241121 300  222500-223000   00     166.79 1030.7    191.61    -0.16    -0.16
NAIN       241121 300  223000-223500   00     167.37 1030.7    192.27     0.18     0.18
NAIN       241121 300  223500-224000   00     167.99 1030.7    192.94     0.53     0.53
NAIN       241121 300  224000-224500   00     167.93 1030.7    192.86     0.49     0.49
NAIN       241121 300  224500-225000   00     165.92 1030.7    190.50    -0.74    -0.74
NAIN       241121 300  225000-225500   00     168.43 1030.7    193.37     0.76     0.76
NAIN       241121 300  225500-230000   00     165.57 1030.7    190.08    -0.96    -0.96
NAIN       241121 300  230000-230500   00     166.15 1030.6    190.69    -0.64    -0.64
NAIN       241121 300  230500-231000   00     169.71 1030.6    194.75     1.48     1.48
NAIN       241121 300  231000-231500   00     166.01 1030.6    190.49    -0.74    -0.74
NAIN       241121 300  231500-232000   00     167.41 1030.6    192.06     0.08     0.08
NAIN       241121 300  232000-232500   00     167.36 1030.5    191.93     0.01     0.01
NAIN       241121 300  232500-233000   00     166.60 1030.5    191.11    -0.42    -0.42
NAIN       241121 300  233000-233500   00     166.58 1030.5    191.01    -0.47    -0.47
NAIN       241121 300  233500-234000   00     167.72 1030.5    192.30     0.20     0.20
NAIN       241121 300  234000-234500   00     167.84 1030.4    192.38     0.24     0.24
NAIN       241121 300  234500-235000   00     167.20 1030.4    191.64    -0.14    -0.14
NAIN       241121 300  235000-235500   00     169.32 1030.4    194.05     1.11     1.11
NAIN       241121 300  235500-240000   00     166.36 1030.5    190.69    -0.64    -0.64
NAIN       241122 300  000000-000500   00     166.31 1030.4    190.59    -0.69    -0.69
NAIN       241122 300  000500-001000   00     166.44 1030.4    190.71    -0.63    -0.63
NAIN       241122 300  001000-001500   00     167.33 1030.4    191.67    -0.13    -0.13
NAIN       241122 300  001500-002000   00     168.38 1030.3    192.79     0.45     0.45
NAIN       241122 300  002000-002500   00     167.48 1030.3    191.71    -0.10    -0.10
