ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,410.05      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 170910 300  195000-195500   00    1306.14  681.7   1410.96     0.06    -9999
ALMA-ATA-B 170910 300  195500-200000   00    1310.78  681.8   1416.70     0.47    -9999
ALMA-ATA-B 170910 300  200000-200500   00    1308.80  681.8   1414.64     0.33    -9999
ALMA-ATA-B 170910 300  200500-201000   00    1313.16  681.8   1419.88     0.70    -9999
ALMA-ATA-B 170910 300  201000-201500   00    1309.76  681.9   1416.72     0.47    -9999
ALMA-ATA-B 170910 300  201500-202000   00    1310.80  681.9   1418.16     0.58    -9999
ALMA-ATA-B 170910 300  202000-202500   00    1319.86  681.9   1427.96     1.27    -9999
ALMA-ATA-B 170910 300  202500-203000   00    1305.12  681.9   1411.78     0.12    -9999
ALMA-ATA-B 170910 300  203000-203500   00    1312.68  681.9   1419.66     0.68    -9999
ALMA-ATA-B 170910 300  203500-204000   00    1310.06  681.8   1416.56     0.46    -9999
ALMA-ATA-B 170910 300  204000-204500   00    1311.88  681.8   1418.42     0.59    -9999
ALMA-ATA-B 170910 300  204500-205000   00    1307.06  681.8   1412.46     0.17    -9999
ALMA-ATA-B 170910 300  205000-205500   00    1313.42  681.8   1419.38     0.66    -9999
ALMA-ATA-B 170910 300  205500-210000   00    1316.60  681.7   1422.32     0.87    -9999
ALMA-ATA-B 170910 300  210000-210500   00    1311.50  681.7   1416.56     0.46    -9999
ALMA-ATA-B 170910 300  210500-211000   00    1320.04  681.7   1425.42     1.09    -9999
ALMA-ATA-B 170910 300  211000-211500   00    1314.12  681.6   1418.62     0.61    -9999
ALMA-ATA-B 170910 300  211500-212000   00    1319.36  681.5   1423.64     0.96    -9999
ALMA-ATA-B 170910 300  212000-212500   00    1305.36  681.6   1408.82    -0.09    -9999
ALMA-ATA-B 170910 300  212500-213000   00    1319.52  681.6   1424.26     1.01    -9999
ALMA-ATA-B 170910 300  213000-213500   00    1311.14  681.5   1414.48     0.31    -9999
ALMA-ATA-B 170910 300  213500-214000   00    1318.26  681.5   1421.56     0.82    -9999
ALMA-ATA-B 170910 300  214000-214500   00    1315.02  681.4   1417.60     0.54    -9999
ALMA-ATA-B 170910 300  214500-215000   00    1316.82  681.4   1419.14     0.64    -9999
ALMA-ATA-B 170910 300  215000-215500   00    1318.48  681.3   1419.98     0.70    -9999
ALMA-ATA-B 170910 300  215500-220000   00    1311.84  681.2   1412.12     0.15    -9999
ALMA-ATA-B 170910 300  220000-220500   00    1327.92  681.2   1429.10     1.35    -9999
ALMA-ATA-B 170910 300  220500-221000   00    1317.68  681.3   1418.86     0.63    -9999
ALMA-ATA-B 170910 300  221000-221500   00    1313.70  681.3   1415.56     0.39    -9999
ALMA-ATA-B 170910 300  221500-222000   00    1319.54  681.4   1422.72     0.90    -9999
ALMA-ATA-B 170910 300  222000-222500   00    1319.22  681.5   1422.68     0.90    -9999
ALMA-ATA-B 170910 300  222500-223000   00    1320.34  681.5   1424.22     1.01    -9999
ALMA-ATA-B 170910 300  223000-223500   00    1316.90  681.5   1420.06     0.71    -9999
ALMA-ATA-B 170910 300  223500-224000   00    1322.80  681.4   1425.62     1.10    -9999
ALMA-ATA-B 170910 300  224000-224500   00    1313.82  681.3   1415.30     0.37    -9999
ALMA-ATA-B 170910 300  224500-225000   00    1319.50  681.2   1419.98     0.70    -9999
ALMA-ATA-B 170910 300  225000-225500   00    1326.14  681.1   1426.52     1.17    -9999
ALMA-ATA-B 170910 300  225500-230000   00    1318.96  681.0   1418.26     0.58    -9999
ALMA-ATA-B 170910 300  230000-230500   00    1330.12  681.2   1431.12     1.49    -9999
ALMA-ATA-B 170910 300  230500-231000   00    1323.14  681.2   1423.70     0.97    -9999
ALMA-ATA-B 170910 300  231000-231500   00    1324.88  681.2   1426.20     1.15    -9999
ALMA-ATA-B 170910 300  231500-232000   00    1323.38  681.3   1425.24     1.08    -9999
ALMA-ATA-B 170910 300  232000-232500   00    1325.90  681.3   1428.18     1.29    -9999
ALMA-ATA-B 170910 300  232500-233000   00    1319.04  681.3   1420.58     0.75    -9999
ALMA-ATA-B 170910 300  233000-233500   00    1315.20  681.3   1416.28     0.44    -9999
ALMA-ATA-B 170910 300  233500-234000   00    1327.28  681.2   1428.56     1.31    -9999
ALMA-ATA-B 170910 300  234000-234500   00    1322.60  681.2   1423.46     0.95    -9999
ALMA-ATA-B 170910 300  234500-235000   00    1308.00  681.1   1407.30    -0.19    -9999
ALMA-ATA-B 170910 300  235000-235500   00    1319.88  681.2   1420.22     0.72    -9999
ALMA-ATA-B 170910 300  235500-240000   00    1315.48  681.2   1415.50     0.39    -9999
ALMA-ATA-B 170911 300  000000-000500   00    1320.66  681.2   1421.10     0.78    -9999
ALMA-ATA-B 170911 300  000500-001000   00    1312.04  681.2   1411.80     0.12    -9999
ALMA-ATA-B 170911 300  001000-001500   00    1320.96  681.3   1422.20     0.86    -9999
ALMA-ATA-B 170911 300  001500-002000   00    1316.88  681.2   1417.82     0.55    -9999
ALMA-ATA-B 170911 300  002000-002500   00    1316.12  681.3   1417.46     0.53    -9999
ALMA-ATA-B 170911 300  002500-003000   00    1315.12  681.4   1417.02     0.49    -9999
ALMA-ATA-B 170911 300  003000-003500   00    1307.20  681.4   1408.66    -0.10    -9999
ALMA-ATA-B 170911 300  003500-004000   00    1313.86  681.4   1416.30     0.44    -9999
ALMA-ATA-B 170911 300  004000-004500   00    1314.68  681.4   1416.90     0.49    -9999
ALMA-ATA-B 170911 300  004500-005000   00    1316.90  681.4   1419.26     0.65    -9999
ALMA-ATA-B 170911 300  005000-005500   00    1319.30  681.4   1421.74     0.83    -9999
ALMA-ATA-B 170911 300  005500-010000   00    1322.40  681.4   1425.22     1.08    -9999
ALMA-ATA-B 170911 300  010000-010500   00    1315.96  681.3   1417.90     0.56    -9999
ALMA-ATA-B 170911 300  010500-011000   00    1320.34  681.3   1422.10     0.85    -9999
ALMA-ATA-B 170911 300  011000-011500   00    1315.06  681.3   1416.34     0.45    -9999
ALMA-ATA-B 170911 300  011500-012000   00    1320.62  681.3   1422.48     0.88    -9999
ALMA-ATA-B 170911 300  012000-012500   00    1309.92  681.3   1410.92     0.06    -9999
ALMA-ATA-B 170911 300  012500-013000   00    1323.00  681.3   1424.84     1.05    -9999
ALMA-ATA-B 170911 300  013000-013500   00    1312.68  681.3   1413.44     0.24    -9999
ALMA-ATA-B 170911 300  013500-014000   00    1312.46  681.3   1413.30     0.23    -9999
ALMA-ATA-B 170911 300  014000-014500   00    1319.90  681.3   1421.32     0.80    -9999
ALMA-ATA-B 170911 300  014500-015000   00    1320.56  681.3   1422.06     0.85    -9999
ALMA-ATA-B 170911 300  015000-015500   00    1325.44  681.3   1427.20     1.22    -9999
ALMA-ATA-B 170911 300  015500-020000   00    1310.90  681.3   1411.82     0.13    -9999
ALMA-ATA-B 170911 300  020000-020500   00    1316.20  681.3   1417.58     0.53    -9999
ALMA-ATA-B 170911 300  020500-021000   00    1318.96  681.3   1420.80     0.76    -9999
ALMA-ATA-B 170911 300  021000-021500   00    1310.76  681.3   1412.18     0.15    -9999
ALMA-ATA-B 170911 300  021500-022000   00    1312.16  681.4   1414.06     0.28    -9999
ALMA-ATA-B 170911 300  022000-022500   00    1315.82  681.3   1417.70     0.54    -9999
ALMA-ATA-B 170911 300  022500-023000   00    1320.04  681.3   1421.86     0.84    -9999
ALMA-ATA-B 170911 300  023000-023500   00    1321.90  681.3   1423.88     0.98    -9999
ALMA-ATA-B 170911 300  023500-024000   00    1311.54  681.3   1412.94     0.21    -9999
ALMA-ATA-B 170911 300  024000-024500   00    1315.64  681.3   1417.26     0.51    -9999
ALMA-ATA-B 170911 300  024500-025000   00    1317.92  681.3   1419.86     0.70    -9999
ALMA-ATA-B 170911 300  025000-025500   00    1323.06  681.4   1426.04     1.13    -9999
ALMA-ATA-B 170911 300  025500-030000   00    1311.12  681.4   1412.74     0.19    -9999
ALMA-ATA-B 170911 300  030000-030500   00    1312.80  681.4   1415.00     0.35    -9999
ALMA-ATA-B 170911 300  030500-031000   00    1316.92  681.5   1420.10     0.71    -9999
ALMA-ATA-B 170911 300  031000-031500   00    1316.54  681.5   1419.56     0.67    -9999
ALMA-ATA-B 170911 300  031500-032000   00    1315.48  681.5   1419.20     0.65    -9999
ALMA-ATA-B 170911 300  032000-032500   00    1315.26  681.6   1419.48     0.67    -9999
ALMA-ATA-B 170911 300  032500-033000   00    1315.84  681.6   1420.18     0.72    -9999
ALMA-ATA-B 170911 300  033000-033500   00    1315.98  681.6   1420.50     0.74    -9999
ALMA-ATA-B 170911 300  033500-034000   00    1319.30  681.6   1424.46     1.02    -9999
ALMA-ATA-B 170911 300  034000-034500   00    1310.70  681.7   1415.42     0.38    -9999
ALMA-ATA-B 170911 300  034500-035000   00    1312.78  681.8   1418.56     0.60    -9999
ALMA-ATA-B 170911 300  035000-035500   00    1318.66  681.8   1424.88     1.05    -9999
ALMA-ATA-B 170911 300  035500-040000   00    1304.86  681.7   1409.86    -0.01    -9999
ALMA-ATA-B 170911 300  040000-040500   00    1319.38  681.7   1425.62     1.10    -9999
ALMA-ATA-B 170911 300  040500-041000   00    1310.34  681.7   1415.56     0.39    -9999
ALMA-ATA-B 170911 300  041000-041500   00    1307.06  681.8   1412.70     0.19    -9999
ALMA-ATA-B 170911 300  041500-042000   00    1316.20  681.8   1422.34     0.87    -9999
ALMA-ATA-B 170911 300  042000-042500   00    1312.56  681.8   1418.78     0.62    -9999
ALMA-ATA-B 170911 300  042500-043000   00    1304.92  681.8   1410.64     0.04    -9999
ALMA-ATA-B 170911 300  043000-043500   00    1312.54  681.8   1419.02     0.64    -9999
ALMA-ATA-B 170911 300  043500-044000   00    1322.36  681.8   1429.42     1.37    -9999
