JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    161.21      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   170911 300  015500-020000   00     178.55  651.3    163.43     1.37    -9999
JUNGFRAU   170911 300  020000-020500   00     179.85  651.2    164.47     2.02    -9999
JUNGFRAU   170911 300  020500-021000   00     179.24  651.3    163.99     1.72    -9999
JUNGFRAU   170911 300  021000-021500   00     179.33  651.3    164.15     1.82    -9999
JUNGFRAU   170911 300  021500-022000   00     178.78  651.3    163.51     1.42    -9999
JUNGFRAU   170911 300  022000-022500   00     178.01  651.3    162.88     1.03    -9999
JUNGFRAU   170911 300  022500-023000   00     179.73  651.2    164.33     1.93    -9999
JUNGFRAU   170911 300  023000-023500   00     177.80  651.3    162.62     0.87    -9999
JUNGFRAU   170911 300  023500-024000   00     178.89  651.3    163.71     1.55    -9999
JUNGFRAU   170911 300  024000-024500   00     176.81  651.3    161.80     0.36    -9999
JUNGFRAU   170911 300  024500-025000   00     178.21  651.2    162.91     1.05    -9999
JUNGFRAU   170911 300  025000-025500   00     175.53  651.3    160.64    -0.36    -9999
JUNGFRAU   170911 300  025500-030000   00     177.66  651.3    162.68     0.91    -9999
JUNGFRAU   170911 300  030000-030500   00     179.61  651.3    164.24     1.88    -9999
JUNGFRAU   170911 300  030500-031000   00     177.72  651.2    162.42     0.75    -9999
JUNGFRAU   170911 300  031000-031500   00     177.73  651.2    162.54     0.82    -9999
JUNGFRAU   170911 300  031500-032000   00     176.76  651.2    161.65     0.27    -9999
JUNGFRAU   170911 300  032000-032500   00     178.60  651.3    163.37     1.33    -9999
JUNGFRAU   170911 300  032500-033000   00     177.65  651.3    162.61     0.87    -9999
JUNGFRAU   170911 300  033000-033500   00     177.52  651.3    162.45     0.77    -9999
JUNGFRAU   170911 300  033500-034000   00     178.20  651.3    163.11     1.17    -9999
JUNGFRAU   170911 300  034000-034500   00     179.95  651.3    164.29     1.91    -9999
JUNGFRAU   170911 300  034500-035000   00     177.22  651.2    162.08     0.54    -9999
JUNGFRAU   170911 300  035000-035500   00     177.37  651.2    162.21     0.62    -9999
JUNGFRAU   170911 300  035500-040000   00     178.02  651.2    162.74     0.95    -9999
JUNGFRAU   170911 300  040000-040500   00     178.63  651.1    163.24     1.26    -9999
JUNGFRAU   170911 300  040500-041000   00     177.18  651.1    161.91     0.43    -9999
JUNGFRAU   170911 300  041000-041500   00     177.96  651.1    161.82     0.37    -9999
JUNGFRAU   170911 300  041500-042000   00     177.94  651.0    162.51     0.80    -9999
JUNGFRAU   170911 300  042000-042500   00     177.90  651.0    162.46     0.77    -9999
JUNGFRAU   170911 300  042500-043000   00     178.62  651.0    163.08     1.16    -9999
JUNGFRAU   170911 300  043000-043500   00     178.14  650.9    162.48     0.79    -9999
JUNGFRAU   170911 300  043500-044000   00     181.65  651.0    165.91     2.91    -9999
JUNGFRAU   170911 300  044000-044500   00     178.81  651.0    163.30     1.29    -9999
JUNGFRAU   170911 300  044500-045000   00     180.20  651.0    164.54     2.06    -9999
JUNGFRAU   170911 300  045000-045500   00     179.25  650.9    163.45     1.38    -9999
JUNGFRAU   170911 300  045500-050000   00     180.31  650.9    164.55     2.07    -9999
JUNGFRAU   170911 300  050000-050500   00     178.88  650.9    163.20     1.23    -9999
JUNGFRAU   170911 300  050500-051000   00     177.89  650.9    162.23     0.63    -9999
JUNGFRAU   170911 300  051000-051500   00     180.63  650.8    164.06     1.77    -9999
JUNGFRAU   170911 300  051500-052000   00     178.89  650.9    163.18     1.22    -9999
JUNGFRAU   170911 300  052000-052500   00     178.55  650.8    162.88     1.04    -9999
JUNGFRAU   170911 300  052500-053000   00     178.35  650.8    162.60     0.86    -9999
JUNGFRAU   170911 300  053000-053500   00     179.06  650.9    163.38     1.34    -9999
JUNGFRAU   170911 300  053500-054000   00     179.70  650.9    163.90     1.67    -9999
JUNGFRAU   170911 300  054000-054500   00     178.67  650.9    163.13     1.19    -9999
JUNGFRAU   170911 300  054500-055000   00     176.58  651.0    160.64    -0.36    -9999
JUNGFRAU   170911 300  055000-055500   00     176.39  651.0    161.03    -0.11    -9999
JUNGFRAU   170911 300  055500-060000   00     177.14  651.0    161.73     0.32    -9999
JUNGFRAU   170911 300  060000-060500   00     176.72  651.0    161.45     0.15    -9999
JUNGFRAU   170911 300  060500-061000   00     178.72  651.0    163.23     1.25    -9999
JUNGFRAU   170911 300  061000-061500   00     178.04  651.0    162.53     0.82    -9999
JUNGFRAU   170911 300  061500-062000   00     178.58  650.9    163.07     1.15    -9999
JUNGFRAU   170911 300  062000-062500   00     178.67  650.9    162.98     1.09    -9999
JUNGFRAU   170911 300  062500-063000   00     177.16  650.9    161.57     0.22    -9999
JUNGFRAU   170911 300  063000-063500   00     178.73  650.8    163.03     1.12    -9999
JUNGFRAU   170911 300  063500-064000   00     180.05  650.8    164.18     1.84    -9999
JUNGFRAU   170911 300  064000-064500   00     178.58  650.7    162.76     0.96    -9999
JUNGFRAU   170911 300  064500-065000   00     180.08  650.8    164.20     1.85    -9999
JUNGFRAU   170911 300  065000-065500   00     179.77  650.8    163.90     1.66    -9999
JUNGFRAU   170911 300  065500-070000   00     180.49  650.8    164.53     2.06    -9999
JUNGFRAU   170911 300  070000-070500   00     179.39  650.7    163.49     1.41    -9999
JUNGFRAU   170911 300  070500-071000   00     179.91  650.8    163.96     1.71    -9999
JUNGFRAU   170911 300  071000-071500   00     181.52  650.8    165.50     2.66    -9999
JUNGFRAU   170911 300  071500-072000   00     179.52  650.9    163.76     1.58    -9999
JUNGFRAU   170911 300  072000-072500   00     178.34  650.9    162.63     0.88    -9999
JUNGFRAU   170911 300  072500-073000   00     181.26  650.9    165.41     2.60    -9999
JUNGFRAU   170911 300  073000-073500   00     180.25  650.8    164.43     1.99    -9999
JUNGFRAU   170911 300  073500-074000   00     179.39  650.8    163.56     1.45    -9999
JUNGFRAU   170911 300  074000-074500   00     181.02  650.9    165.10     2.41    -9999
JUNGFRAU   170911 300  074500-075000   00     180.54  650.9    164.72     2.18    -9999
JUNGFRAU   170911 300  075000-075500   00     180.04  650.7    164.04     1.75    -9999
JUNGFRAU   170911 300  075500-080000   00     179.58  650.7    163.70     1.54    -9999
JUNGFRAU   170911 300  080000-080500   00     181.93  650.6    165.60     2.72    -9999
JUNGFRAU   170911 300  080500-081000   00     176.57  650.5    160.68    -0.33    -9999
JUNGFRAU   170911 300  081000-081500   00     179.44  650.7    163.42     1.37    -9999
JUNGFRAU   170911 300  081500-082000   00     180.40  650.7    164.33     1.93    -9999
JUNGFRAU   170911 300  082000-082500   00     181.33  650.6    165.11     2.41    -9999
JUNGFRAU   170911 300  082500-083000   00     180.01  650.7    163.97     1.71    -9999
JUNGFRAU   170911 300  083000-083500   00     179.27  650.7    163.38     1.35    -9999
JUNGFRAU   170911 300  083500-084000   00     180.59  650.6    163.93     1.69    -9999
JUNGFRAU   170911 300  084000-084500   00     181.17  650.6    164.93     2.31    -9999
JUNGFRAU   170911 300  084500-085000   00     178.72  650.6    163.32     1.31    -9999
JUNGFRAU   170911 300  085000-085500   00     179.08  650.7    163.00     1.10    -9999
JUNGFRAU   170911 300  085500-090000   00     178.83  650.7    162.18     0.60    -9999
JUNGFRAU   170911 300  090000-090500   00     180.79  650.8    164.78     2.21    -9999
JUNGFRAU   170911 300  090500-091000   00     181.03  650.7    164.99     2.34    -9999
JUNGFRAU   170911 300  091000-091500   00     180.38  650.7    164.40     1.98    -9999
JUNGFRAU   170911 300  091500-092000   00     178.42  650.7    162.59     0.85    -9999
JUNGFRAU   170911 300  092000-092500   00     179.59  650.8    163.75     1.57    -9999
JUNGFRAU   170911 300  092500-093000   00     180.59  650.6    164.45     2.01    -9999
JUNGFRAU   170911 300  093000-093500   00     179.68  650.7    163.75     1.57    -9999
JUNGFRAU   170911 300  093500-094000   00     180.60  650.7    164.49     2.03    -9999
JUNGFRAU   170911 300  094000-094500   00     179.81  650.8    163.85     1.63    -9999
JUNGFRAU   170911 300  094500-095000   00     180.65  650.7    164.60     2.10    -9999
JUNGFRAU   170911 300  095000-095500   00     179.38  650.7    163.43     1.37    -9999
JUNGFRAU   170911 300  095500-100000   00     181.24  650.7    165.04     2.37    -9999
JUNGFRAU   170911 300  100000-100500   00     182.23  650.7    165.98     2.96    -9999
JUNGFRAU   170911 300  100500-101000   00     180.76  650.8    164.75     2.19    -9999
JUNGFRAU   170911 300  101000-101500   00     180.23  650.6    164.08     1.78    -9999
JUNGFRAU   170911 300  101500-102000   00     179.93  650.5    163.66     1.52    -9999
JUNGFRAU   170911 300  102000-102500   00     182.08  650.6    165.74     2.81    -9999
