MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    164.96      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     170910 300  193000-193500   00     176.67  992.3    167.13     1.32     0.70
MOSCOW     170910 300  193500-194000   00     174.80  992.3    165.37     0.25    -0.38
MOSCOW     170910 300  194000-194500   00     177.37  992.3    167.78     1.71     1.06
MOSCOW     170910 300  194500-195000   00     176.65  992.3    167.12     1.31     0.65
MOSCOW     170910 300  195000-195500   00     176.27  992.3    166.77     1.10     0.43
MOSCOW     170910 300  195500-200000   00     175.87  992.3    166.37     0.85     0.17
MOSCOW     170910 300  200000-200500   00     176.70  992.4    167.28     1.41     0.72
MOSCOW     170910 300  200500-201000   00     173.10  992.3    163.78    -0.72    -1.42
MOSCOW     170910 300  201000-201500   00     176.58  992.3    167.07     1.28     0.57
MOSCOW     170910 300  201500-202000   00     176.95  992.3    167.40     1.48     0.76
MOSCOW     170910 300  202000-202500   00     176.55  992.3    167.08     1.29     0.56
MOSCOW     170910 300  202500-203000   00     176.52  992.4    167.12     1.31     0.57
MOSCOW     170910 300  203000-203500   00     175.38  992.4    166.05     0.66    -0.09
MOSCOW     170910 300  203500-204000   00     176.23  992.4    166.85     1.15     0.38
MOSCOW     170910 300  204000-204500   00     174.93  992.4    165.62     0.40    -0.38
MOSCOW     170910 300  204500-205000   00     176.12  992.5    166.80     1.12     0.33
MOSCOW     170910 300  205000-205500   00     173.60  992.5    164.48    -0.29    -1.09
MOSCOW     170910 300  205500-210000   00     177.95  992.5    168.60     2.21     1.40
MOSCOW     170910 300  210000-210500   00     174.25  992.5    165.08     0.07    -0.75
MOSCOW     170910 300  210500-211000   00     176.28  992.5    167.03     1.25     0.42
MOSCOW     170910 300  211000-211500   00     175.88  992.5    166.70     1.05     0.21
MOSCOW     170910 300  211500-212000   00     176.87  992.6    167.70     1.66     0.81
MOSCOW     170910 300  212000-212500   00     175.10  992.6    166.02     0.64    -0.22
MOSCOW     170910 300  212500-213000   00     176.40  992.6    167.25     1.39     0.52
MOSCOW     170910 300  213000-213500   00     174.77  992.6    165.63     0.41    -0.48
MOSCOW     170910 300  213500-214000   00     175.43  992.6    166.33     0.83    -0.07
MOSCOW     170910 300  214000-214500   00     174.47  992.6    165.42     0.28    -0.63
MOSCOW     170910 300  214500-215000   00     177.63  992.6    168.42     2.10     1.18
MOSCOW     170910 300  215000-215500   00     175.27  992.6    166.17     0.73    -0.20
MOSCOW     170910 300  215500-220000   00     176.25  992.6    167.10     1.30     0.36
MOSCOW     170910 300  220000-220500   00     175.85  992.5    166.65     1.02     0.07
MOSCOW     170910 300  220500-221000   00     175.60  992.5    166.37     0.85    -0.11
MOSCOW     170910 300  221000-221500   00     175.75  992.5    166.52     0.95    -0.02
MOSCOW     170910 300  221500-222000   00     177.25  992.5    167.95     1.81     0.83
MOSCOW     170910 300  222000-222500   00     176.63  992.5    167.35     1.45     0.46
MOSCOW     170910 300  222500-223000   00     176.78  992.6    167.58     1.59     0.58
MOSCOW     170910 300  223000-223500   00     176.57  992.6    167.40     1.48     0.46
MOSCOW     170910 300  223500-224000   00     173.63  992.5    164.55    -0.25    -1.28
MOSCOW     170910 300  224000-224500   00     178.12  992.5    168.75     2.30     1.26
