SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   mb     COEFFICIENT   -0.75     % / mb
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    151.03      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOPO-6NM64 170910 300  194000-194500   00     172.20  669.4    159.08     5.33     4.40
SOPO-6NM64 170910 300  194500-195000   00     174.55  669.4    161.32     6.81     5.86
SOPO-6NM64 170910 300  195000-195500   00     174.28  669.4    161.05     6.63     5.67
SOPO-6NM64 170910 300  195500-200000   00     173.55  669.4    160.41     6.21     5.23
SOPO-6NM64 170910 300  200000-200500   00     172.95  669.5    159.91     5.88     4.89
SOPO-6NM64 170910 300  200500-201000   00     173.02  669.5    159.94     5.90     4.90
SOPO-6NM64 170910 300  201000-201500   00     173.81  669.5    160.68     6.39     5.37
SOPO-6NM64 170910 300  201500-202000   00     173.27  669.5    160.27     6.11     5.08
SOPO-6NM64 170910 300  202000-202500   00     174.66  669.5    161.54     6.95     5.91
SOPO-6NM64 170910 300  202500-203000   00     172.82  669.5    159.77     5.79     4.73
SOPO-6NM64 170910 300  203000-203500   00     174.48  669.4    161.27     6.78     5.71
SOPO-6NM64 170910 300  203500-204000   00     175.47  669.5    162.19     7.39     6.31
SOPO-6NM64 170910 300  204000-204500   00     174.29  669.5    161.14     6.69     5.59
SOPO-6NM64 170910 300  204500-205000   00     175.46  669.5    162.23     7.42     6.31
SOPO-6NM64 170910 300  205000-205500   00     174.72  669.6    161.67     7.04     5.92
SOPO-6NM64 170910 300  205500-210000   00     175.60  669.6    162.46     7.57     6.44
SOPO-6NM64 170910 300  210000-210500   00     174.56  669.5    161.44     6.89     5.74
SOPO-6NM64 170910 300  210500-211000   00     174.07  669.5    160.91     6.54     5.38
SOPO-6NM64 170910 300  211000-211500   00     175.28  669.4    161.99     7.25     6.08
SOPO-6NM64 170910 300  211500-212000   00     174.73  669.4    161.44     6.89     5.71
SOPO-6NM64 170910 300  212000-212500   00     174.09  669.4    160.91     6.54     5.34
SOPO-6NM64 170910 300  212500-213000   00     173.71  669.6    160.70     6.40     5.19
SOPO-6NM64 170910 300  213000-213500   00     173.16  669.7    160.32     6.15     4.93
SOPO-6NM64 170910 300  213500-214000   00     172.88  669.7    160.08     5.99     4.76
SOPO-6NM64 170910 300  214000-214500   00     174.13  669.6    161.19     6.72     5.48
SOPO-6NM64 170910 300  214500-215000   00     173.06  669.7    160.20     6.07     4.81
SOPO-6NM64 170910 300  215000-215500   00     173.30  669.6    160.40     6.20     4.93
