IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    789.2   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    365.45      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   170911 300  003000-003500   00     367.74  800.3    368.43     0.82    -9999
IRKUTSK2   170911 300  003500-004000   00     371.68  800.3    372.52     1.93    -9999
IRKUTSK2   170911 300  004000-004500   00     369.76  800.4    370.72     1.44    -9999
IRKUTSK2   170911 300  004500-005000   00     373.49  800.3    374.29     2.42    -9999
IRKUTSK2   170911 300  005000-005500   00     372.84  800.3    373.65     2.24    -9999
IRKUTSK2   170911 300  005500-010000   00     373.16  800.3    374.10     2.37    -9999
IRKUTSK2   170911 300  010000-010500   00     371.67  800.4    372.73     1.99    -9999
IRKUTSK2   170911 300  010500-011000   00     374.42  800.4    375.45     2.74    -9999
IRKUTSK2   170911 300  011000-011500   00     372.79  800.4    373.90     2.31    -9999
IRKUTSK2   170911 300  011500-012000   00     373.03  800.5    374.41     2.45    -9999
IRKUTSK2   170911 300  012000-012500   00     370.51  800.6    371.97     1.78    -9999
IRKUTSK2   170911 300  012500-013000   00     371.81  800.6    373.29     2.15    -9999
IRKUTSK2   170911 300  013000-013500   00     371.47  800.6    373.08     2.09    -9999
IRKUTSK2   170911 300  013500-014000   00     374.35  800.7    376.21     2.94    -9999
IRKUTSK2   170911 300  014000-014500   00     370.94  800.8    372.94     2.05    -9999
IRKUTSK2   170911 300  014500-015000   00     370.98  800.8    373.21     2.12    -9999
IRKUTSK2   170911 300  015000-015500   00     369.85  800.8    372.10     1.82    -9999
IRKUTSK2   170911 300  015500-020000   00     370.29  800.8    372.49     1.93    -9999
IRKUTSK2   170911 300  020000-020500   00     369.32  800.9    371.56     1.67    -9999
IRKUTSK2   170911 300  020500-021000   00     370.35  800.9    372.59     1.95    -9999
IRKUTSK2   170911 300  021000-021500   00     370.56  800.9    372.94     2.05    -9999
IRKUTSK2   170911 300  021500-022000   00     370.44  800.8    372.65     1.97    -9999
IRKUTSK2   170911 300  022000-022500   00     371.27  800.8    373.41     2.18    -9999
IRKUTSK2   170911 300  022500-023000   00     369.98  800.8    371.96     1.78    -9999
IRKUTSK2   170911 300  023000-023500   00     365.71  800.7    367.64     0.60    -9999
IRKUTSK2   170911 300  023500-024000   00     372.27  800.8    374.28     2.42    -9999
IRKUTSK2   170911 300  024000-024500   00     370.70  800.7    372.65     1.97    -9999
IRKUTSK2   170911 300  024500-025000   00     367.82  800.7    369.73     1.17    -9999
IRKUTSK2   170911 300  025000-025500   00     368.72  800.7    370.59     1.40    -9999
IRKUTSK2   170911 300  025500-030000   00     367.56  800.7    369.38     1.08    -9999
IRKUTSK2   170911 300  030000-030500   00     370.49  800.7    372.26     1.86    -9999
IRKUTSK2   170911 300  030500-031000   00     366.69  800.6    368.23     0.76    -9999
IRKUTSK2   170911 300  031000-031500   00     368.43  800.6    369.94     1.23    -9999
IRKUTSK2   170911 300  031500-032000   00     366.55  800.6    368.08     0.72    -9999
IRKUTSK2   170911 300  032000-032500   00     366.28  800.6    367.93     0.68    -9999
IRKUTSK2   170911 300  032500-033000   00     369.23  800.7    371.03     1.53    -9999
IRKUTSK2   170911 300  033000-033500   00     366.36  800.7    368.11     0.73    -9999
IRKUTSK2   170911 300  033500-034000   00     369.30  800.7    371.06     1.53    -9999
IRKUTSK2   170911 300  034000-034500   00     370.01  800.7    371.88     1.76    -9999
IRKUTSK2   170911 300  034500-035000   00     369.24  800.7    371.07     1.54    -9999
IRKUTSK2   170911 300  035000-035500   00     371.63  800.7    373.57     2.22    -9999
IRKUTSK2   170911 300  035500-040000   00     369.09  800.7    370.85     1.48    -9999
IRKUTSK2   170911 300  040000-040500   00     368.28  800.7    370.09     1.27    -9999
IRKUTSK2   170911 300  040500-041000   00     368.22  800.7    369.97     1.24    -9999
IRKUTSK2   170911 300  041000-041500   00     370.63  800.7    372.35     1.89    -9999
IRKUTSK2   170911 300  041500-042000   00     370.44  800.6    372.10     1.82    -9999
IRKUTSK2   170911 300  042000-042500   00     368.99  800.6    370.62     1.41    -9999
IRKUTSK2   170911 300  042500-043000   00     371.00  800.6    372.55     1.94    -9999
IRKUTSK2   170911 300  043000-043500   00     371.27  800.5    372.70     1.98    -9999
IRKUTSK2   170911 300  043500-044000   00     372.00  800.5    373.43     2.18    -9999
IRKUTSK2   170911 300  044000-044500   00     366.87  800.5    368.21     0.75    -9999
IRKUTSK2   170911 300  044500-045000   00     371.77  800.5    373.06     2.08    -9999
IRKUTSK2   170911 300  045000-045500   00     371.35  800.5    372.77     2.00    -9999
IRKUTSK2   170911 300  045500-050000   00     368.82  800.5    370.22     1.31    -9999
IRKUTSK2   170911 300  050000-050500   00     370.67  800.5    371.99     1.79    -9999
IRKUTSK2   170911 300  050500-051000   00     369.14  800.5    370.40     1.35    -9999
IRKUTSK2   170911 300  051000-051500   00     368.07  800.5    369.32     1.06    -9999
IRKUTSK2   170911 300  051500-052000   00     368.49  800.5    369.79     1.19    -9999
IRKUTSK2   170911 300  052000-052500   00     371.54  800.5    372.93     2.05    -9999
IRKUTSK2   170911 300  052500-053000   00     370.83  800.5    372.13     1.83    -9999
IRKUTSK2   170911 300  053000-053500   00     366.76  800.5    368.00     0.70    -9999
IRKUTSK2   170911 300  053500-054000   00     366.62  800.5    367.93     0.68    -9999
IRKUTSK2   170911 300  054000-054500   00     368.82  800.5    370.14     1.28    -9999
IRKUTSK2   170911 300  054500-055000   00     369.39  800.5    370.59     1.41    -9999
IRKUTSK2   170911 300  055000-055500   00     369.66  800.4    370.74     1.45    -9999
IRKUTSK2   170911 300  055500-060000   00     369.17  800.4    370.16     1.29    -9999
IRKUTSK2   170911 300  060000-060500   00     372.71  800.4    373.67     2.25    -9999
IRKUTSK2   170911 300  060500-061000   00     373.06  800.4    374.06     2.35    -9999
IRKUTSK2   170911 300  061000-061500   00     372.98  800.4    373.93     2.32    -9999
IRKUTSK2   170911 300  061500-062000   00     368.13  800.4    369.09     1.00    -9999
