YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    218.05      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    170910 300  195500-200000   00     221.31 1005.2    224.77     3.08     0.98
YAKUTSK    170910 300  200000-200500   00     218.59 1005.3    222.08     1.85    -0.28
YAKUTSK    170910 300  200500-201000   00     217.84 1005.3    221.41     1.54    -0.61
YAKUTSK    170910 300  201000-201500   00     221.23 1005.3    224.93     3.16     0.98
YAKUTSK    170910 300  201500-202000   00     218.61 1005.4    222.35     1.97    -0.23
YAKUTSK    170910 300  202000-202500   00     221.76 1005.4    225.52     3.42     1.20
YAKUTSK    170910 300  202500-203000   00     220.53 1005.4    224.35     2.89     0.64
YAKUTSK    170910 300  203000-203500   00     219.47 1005.5    223.33     2.42     0.15
YAKUTSK    170910 300  203500-204000   00     220.40 1005.5    224.35     2.89     0.60
YAKUTSK    170910 300  204000-204500   00     222.48 1005.5    226.51     3.88     1.56
YAKUTSK    170910 300  204500-205000   00     221.63 1005.6    225.71     3.51     1.17
YAKUTSK    170910 300  205000-205500   00     218.64 1005.6    222.72     2.14    -0.22
YAKUTSK    170910 300  205500-210000   00     217.81 1005.6    221.87     1.75    -0.63
YAKUTSK    170910 300  210000-210500   00     220.53 1005.6    224.59     3.00     0.60
YAKUTSK    170910 300  210500-211000   00     221.15 1005.6    225.23     3.29     0.87
YAKUTSK    170910 300  211000-211500   00     220.59 1005.6    224.69     3.05     0.61
