IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    956.5   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    178.29      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    170910 300  165000-165500   00     143.60  960.6    180.00     0.96    -9999
IRKUTSK    170910 300  165500-170000   00     144.60  960.6    181.60     1.86    -9999
IRKUTSK    170910 300  170000-170500   00     143.80  960.5    180.60     1.29    -9999
IRKUTSK    170910 300  170500-171000   00     145.00  960.5    181.80     1.97    -9999
IRKUTSK    170910 300  171000-171500   00     144.40  960.5    180.80     1.41    -9999
IRKUTSK    170910 300  171500-172000   00     144.80  960.5    181.80     1.97    -9999
IRKUTSK    170910 300  172000-172500   00     145.40  960.4    182.40     2.30    -9999
IRKUTSK    170910 300  172500-173000   00     145.40  960.3    182.00     2.08    -9999
IRKUTSK    170910 300  173000-173500   00     143.80  960.3    180.20     1.07    -9999
IRKUTSK    170910 300  173500-174000   00     146.20  960.2    182.80     2.53    -9999
IRKUTSK    170910 300  174000-174500   00     144.60  960.2    181.00     1.52    -9999
IRKUTSK    170910 300  174500-175000   00     144.20  960.2    180.40     1.18    -9999
IRKUTSK    170910 300  175000-175500   00     144.60  960.2    180.80     1.41    -9999
IRKUTSK    170910 300  175500-180000   00     144.80  960.2    181.60     1.86    -9999
IRKUTSK    170910 300  180000-180500   00     142.80  960.2    179.00     0.40    -9999
IRKUTSK    170910 300  180500-181000   00     146.20  960.2    183.00     2.64    -9999
IRKUTSK    170910 300  181000-181500   00     145.60  960.2    182.20     2.19    -9999
IRKUTSK    170910 300  181500-182000   00     144.20  960.2    180.60     1.29    -9999
IRKUTSK    170910 300  182000-182500   00     145.40  960.1    182.20     2.19    -9999
IRKUTSK    170910 300  182500-183000   00     145.20  960.1    181.80     1.97    -9999
IRKUTSK    170910 300  183000-183500   00     146.20  960.1    182.60     2.42    -9999
IRKUTSK    170910 300  183500-184000   00     145.00  960.0    181.20     1.63    -9999
IRKUTSK    170910 300  184000-184500   00     146.40  960.0    183.00     2.64    -9999
IRKUTSK    170910 300  184500-185000   00     145.60  960.0    182.00     2.08    -9999
IRKUTSK    170910 300  185000-185500   00     144.20  960.0    180.60     1.29    -9999
IRKUTSK    170910 300  185500-190000   00     143.20  960.0    179.20     0.51    -9999
IRKUTSK    170910 300  190000-190500   00     147.00  960.0    183.80     3.09    -9999
IRKUTSK    170910 300  190500-191000   00     145.00  960.0    181.20     1.63    -9999
IRKUTSK    170910 300  191000-191500   00     144.60  960.1    181.00     1.52    -9999
IRKUTSK    170910 300  191500-192000   00     146.20  960.1    183.00     2.64    -9999
IRKUTSK    170910 300  192000-192500   00     145.00  960.1    181.40     1.74    -9999
IRKUTSK    170910 300  192500-193000   00     143.60  960.1    179.80     0.85    -9999
IRKUTSK    170910 300  193000-193500   00     143.20  960.1    178.80     0.29    -9999
IRKUTSK    170910 300  193500-194000   00     144.80  960.1    181.20     1.63    -9999
IRKUTSK    170910 300  194000-194500   00     144.80  960.1    181.20     1.63    -9999
IRKUTSK    170910 300  194500-195000   00     145.20  960.1    181.40     1.74    -9999
IRKUTSK    170910 300  195000-195500   00     146.20  960.1    182.60     2.42    -9999
IRKUTSK    170910 300  195500-200000   00     144.00  960.1    180.20     1.07    -9999
IRKUTSK    170910 300  200000-200500   00     145.00  960.2    181.20     1.63    -9999
IRKUTSK    170910 300  200500-201000   00     144.40  960.2    180.40     1.18    -9999
IRKUTSK    170910 300  201000-201500   00     144.20  960.3    181.00     1.52    -9999
IRKUTSK    170910 300  201500-202000   00     142.80  960.2    179.00     0.40    -9999
IRKUTSK    170910 300  202000-202500   00     144.80  960.2    181.20     1.63    -9999
IRKUTSK    170910 300  202500-203000   00     144.80  960.2    180.80     1.41    -9999
IRKUTSK    170910 300  203000-203500   00     145.40  960.2    182.20     2.19    -9999
IRKUTSK    170910 300  203500-204000   00     145.80  960.2    183.00     2.64    -9999
IRKUTSK    170910 300  204000-204500   00     144.00  960.3    180.40     1.18    -9999
IRKUTSK    170910 300  204500-205000   00     144.00  960.3    180.20     1.07    -9999
IRKUTSK    170910 300  205000-205500   00     145.60  960.3    182.20     2.19    -9999
IRKUTSK    170910 300  205500-210000   00     142.00  960.3    178.20    -0.05    -9999
IRKUTSK    170910 300  210000-210500   00     144.00  960.3    180.20     1.07    -9999
IRKUTSK    170910 300  210500-211000   00     144.00  960.3    180.20     1.07    -9999
IRKUTSK    170910 300  211000-211500   00     144.40  960.3    180.40     1.18    -9999
IRKUTSK    170910 300  211500-212000   00     146.60  960.3    183.60     2.98    -9999
IRKUTSK    170910 300  212000-212500   00     145.20  960.3    182.00     2.08    -9999
IRKUTSK    170910 300  212500-213000   00     145.20  960.3    182.00     2.08    -9999
IRKUTSK    170910 300  213000-213500   00     145.00  960.2    181.40     1.74    -9999
IRKUTSK    170910 300  213500-214000   00     145.40  960.2    182.00     2.08    -9999
IRKUTSK    170910 300  214000-214500   00     146.20  960.3    183.60     2.98    -9999
IRKUTSK    170910 300  214500-215000   00     144.60  960.3    181.40     1.74    -9999
IRKUTSK    170910 300  215000-215500   00     145.00  960.3    181.40     1.74    -9999
IRKUTSK    170910 300  215500-220000   00     145.00  960.3    181.60     1.86    -9999
IRKUTSK    170910 300  220000-220500   00     144.20  960.3    180.40     1.18    -9999
IRKUTSK    170910 300  220500-221000   00     144.00  960.3    180.80     1.41    -9999
IRKUTSK    170910 300  221000-221500   00     145.40  960.3    182.20     2.19    -9999
IRKUTSK    170910 300  221500-222000   00     146.60  960.4    183.60     2.98    -9999
IRKUTSK    170910 300  222000-222500   00     143.00  960.4    179.60     0.73    -9999
IRKUTSK    170910 300  222500-223000   00     146.20  960.4    183.40     2.87    -9999
IRKUTSK    170910 300  223000-223500   00     144.00  960.4    180.40     1.18    -9999
IRKUTSK    170910 300  223500-224000   00     145.00  960.4    181.80     1.97    -9999
IRKUTSK    170910 300  224000-224500   00     145.40  960.4    182.40     2.30    -9999
IRKUTSK    170910 300  224500-225000   00     145.60  960.5    183.00     2.64    -9999
IRKUTSK    170910 300  225000-225500   00     144.80  960.5    181.40     1.74    -9999
IRKUTSK    170910 300  225500-230000   00     143.60  960.6    180.20     1.07    -9999
IRKUTSK    170910 300  230000-230500   00     143.00  960.5    179.40     0.62    -9999
IRKUTSK    170910 300  230500-231000   00     145.40  960.5    182.40     2.30    -9999
IRKUTSK    170910 300  231000-231500   00     143.00  960.6    179.40     0.62    -9999
IRKUTSK    170910 300  231500-232000   00     144.80  960.6    181.60     1.86    -9999
IRKUTSK    170910 300  232000-232500   00     145.80  960.6    182.80     2.53    -9999
IRKUTSK    170910 300  232500-233000   00     144.20  960.6    180.80     1.41    -9999
IRKUTSK    170910 300  233000-233500   00     143.20  960.7    180.00     0.96    -9999
IRKUTSK    170910 300  233500-234000   00     143.00  960.7    179.60     0.73    -9999
IRKUTSK    170910 300  234000-234500   00     146.40  960.7    184.00     3.20    -9999
IRKUTSK    170910 300  234500-235000   00     145.40  960.7    182.80     2.53    -9999
IRKUTSK    170910 300  235000-235500   00     143.80  960.7    180.60     1.29    -9999
IRKUTSK    170910 300  235500-240000   00     145.20  960.7    182.60     2.42    -9999
IRKUTSK    170911 300  000000-000500   00     144.00  960.7    181.00     1.52    -9999
IRKUTSK    170911 300  000500-001000   00     143.80  960.7    180.80     1.41    -9999
IRKUTSK    170911 300  001000-001500   00     145.60  960.7    183.00     2.64    -9999
IRKUTSK    170911 300  001500-002000   00     146.40  960.7    184.00     3.20    -9999
IRKUTSK    170911 300  002000-002500   00     145.00  960.7    182.20     2.19    -9999
IRKUTSK    170911 300  002500-003000   00     144.20  960.8    181.20     1.63    -9999
IRKUTSK    170911 300  003000-003500   00     144.00  960.8    181.00     1.52    -9999
IRKUTSK    170911 300  003500-004000   00     143.60  960.8    181.00     1.52    -9999
IRKUTSK    170911 300  004000-004500   00     144.20  960.8    181.40     1.74    -9999
IRKUTSK    170911 300  004500-005000   00     144.20  960.9    181.20     1.63    -9999
IRKUTSK    170911 300  005000-005500   00     146.40  960.8    184.00     3.20    -9999
IRKUTSK    170911 300  005500-010000   00     144.00  960.8    181.00     1.52    -9999
IRKUTSK    170911 300  010000-010500   00     144.40  960.8    181.40     1.74    -9999
IRKUTSK    170911 300  010500-011000   00     144.00  960.8    180.80     1.41    -9999
IRKUTSK    170911 300  011000-011500   00     146.00  960.7    183.60     2.98    -9999
IRKUTSK    170911 300  011500-012000   00     144.00  960.7    181.00     1.52    -9999
