Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    216.78      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort-SMITH 170910 300  154500-155000   00     290.24  975.5    218.64     0.86    -9999
Fort-SMITH 170910 300  155000-155500   00     289.29  975.5    217.92     0.52    -9999
Fort-SMITH 170910 300  155500-160000   00     289.05  975.4    217.64     0.39    -9999
Fort-SMITH 170910 300  160000-160500   00     288.39  975.4    217.12     0.16     0.18
Fort-SMITH 170910 300  160500-161000   00     290.20  975.4    218.53     0.80     0.81
Fort-SMITH 170910 300  161000-161500   00     295.55  975.4    222.50     2.63     2.64
Fort-SMITH 170910 300  161500-162000   00     299.27  975.4    225.28     3.92     3.92
Fort-SMITH 170910 300  162000-162500   00     300.93  975.4    226.63     4.54     4.54
Fort-SMITH 170910 300  162500-163000   00     300.00  975.5    226.06     4.28     4.27
Fort-SMITH 170910 300  163000-163500   00     302.42  975.5    227.85     5.10     5.09
Fort-SMITH 170910 300  163500-164000   00     302.99  975.5    228.19     5.26     5.24
Fort-SMITH 170910 300  164000-164500   00     304.19  975.4    229.04     5.66     5.64
Fort-SMITH 170910 300  164500-165000   00     304.48  975.3    229.10     5.68     5.65
Fort-SMITH 170910 300  165000-165500   00     305.59  975.3    229.87     6.03     6.00
Fort-SMITH 170910 300  165500-170000   00     304.00  975.3    228.66     5.48     5.44
Fort-SMITH 170910 300  170000-170500   00     304.75  975.3    229.20     5.73     5.69
Fort-SMITH 170910 300  170500-171000   00     304.75  975.3    229.21     5.73     5.68
Fort-SMITH 170910 300  171000-171500   00     302.88  975.3    227.76     5.06     5.01
Fort-SMITH 170910 300  171500-172000   00     302.41  975.2    227.40     4.90     4.84
Fort-SMITH 170910 300  172000-172500   00     303.94  975.2    228.55     5.43     5.37
Fort-SMITH 170910 300  172500-173000   00     302.79  975.3    227.78     5.07     5.00
Fort-SMITH 170910 300  173000-173500   00     304.43  975.3    229.00     5.64     5.57
Fort-SMITH 170910 300  173500-174000   00     299.49  975.3    225.22     3.89     3.81
Fort-SMITH 170910 300  174000-174500   00     302.72  975.2    227.61     5.00     4.92
Fort-SMITH 170910 300  174500-175000   00     301.35  975.2    226.49     4.48     4.39
Fort-SMITH 170910 300  175000-175500   00     303.24  975.2    227.87     5.11     5.02
Fort-SMITH 170910 300  175500-180000   00     300.96  975.1    226.11     4.30     4.20
Fort-SMITH 170910 300  180000-180500   00     303.65  975.1    228.16     5.25     5.15
Fort-SMITH 170910 300  180500-181000   00     303.85  975.2    228.45     5.38     5.27
