SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    309.56      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH-POLE 170910 300  155500-160000   00     337.28  669.4    312.03     0.80    -9999
SOUTH-POLE 170910 300  160000-160500   00     334.19  669.5    309.26    -0.10    -0.31
SOUTH-POLE 170910 300  160500-161000   00     334.68  669.5    309.88     0.10    -0.13
SOUTH-POLE 170910 300  161000-161500   00     336.90  669.5    311.79     0.72     0.47
SOUTH-POLE 170910 300  161500-162000   00     335.66  669.4    310.51     0.31     0.04
SOUTH-POLE 170910 300  162000-162500   00     337.34  669.5    312.21     0.86     0.58
SOUTH-POLE 170910 300  162500-163000   00     336.64  669.5    311.57     0.65     0.35
SOUTH-POLE 170910 300  163000-163500   00     338.54  669.4    313.14     1.16     0.84
SOUTH-POLE 170910 300  163500-164000   00     339.31  669.5    314.02     1.44     1.11
SOUTH-POLE 170910 300  164000-164500   00     341.43  669.5    316.00     2.08     1.73
SOUTH-POLE 170910 300  164500-165000   00     341.05  669.5    315.66     1.97     1.60
SOUTH-POLE 170910 300  165000-165500   00     343.63  669.5    318.06     2.75     2.37
SOUTH-POLE 170910 300  165500-170000   00     346.99  669.5    321.09     3.72     3.32
SOUTH-POLE 170910 300  170000-170500   00     348.09  669.4    322.04     4.03     3.62
SOUTH-POLE 170910 300  170500-171000   00     346.79  669.4    320.79     3.62     3.19
SOUTH-POLE 170910 300  171000-171500   00     350.69  669.4    324.39     4.79     4.34
SOUTH-POLE 170910 300  171500-172000   00     348.07  669.4    321.87     3.98     3.52
SOUTH-POLE 170910 300  172000-172500   00     351.41  669.4    324.94     4.97     4.49
SOUTH-POLE 170910 300  172500-173000   00     351.33  669.4    325.00     4.99     4.50
SOUTH-POLE 170910 300  173000-173500   00     350.16  669.4    323.92     4.64     4.13
SOUTH-POLE 170910 300  173500-174000   00     349.90  669.4    323.66     4.55     4.03
SOUTH-POLE 170910 300  174000-174500   00     349.65  669.5    323.54     4.51     3.97
SOUTH-POLE 170910 300  174500-175000   00     351.88  669.5    325.76     5.23     4.68
SOUTH-POLE 170910 300  175000-175500   00     352.16  669.5    325.93     5.29     4.72
SOUTH-POLE 170910 300  175500-180000   00     352.81  669.4    326.30     5.41     4.83
SOUTH-POLE 170910 300  180000-180500   00     350.64  669.3    324.17     4.72     4.12
SOUTH-POLE 170910 300  180500-181000   00     353.38  669.2    326.47     5.46     4.85
SOUTH-POLE 170910 300  181000-181500   00     353.12  669.2    326.24     5.39     4.76
SOUTH-POLE 170910 300  181500-182000   00     352.48  669.3    325.84     5.26     4.62
SOUTH-POLE 170910 300  182000-182500   00     350.85  669.4    324.42     4.80     4.14
SOUTH-POLE 170910 300  182500-183000   00     352.69  669.4    326.08     5.34     4.67
SOUTH-POLE 170910 300  183000-183500   00     353.21  669.3    326.48     5.46     4.78
SOUTH-POLE 170910 300  183500-184000   00     354.25  669.3    327.34     5.74     5.04
SOUTH-POLE 170910 300  184000-184500   00     351.55  669.2    324.68     4.88     4.17
SOUTH-POLE 170910 300  184500-185000   00     351.64  669.2    324.84     4.93     4.20
SOUTH-POLE 170910 300  185000-185500   00     352.31  669.2    325.45     5.13     4.39
SOUTH-POLE 170910 300  185500-190000   00     353.21  669.2    326.11     5.34     4.59
SOUTH-POLE 170910 300  190000-190500   00     352.69  669.1    325.55     5.16     4.39
SOUTH-POLE 170910 300  190500-191000   00     350.44  669.2    323.70     4.56     3.78
SOUTH-POLE 170910 300  191000-191500   00     349.23  669.2    322.58     4.21     3.42
SOUTH-POLE 170910 300  191500-192000   00     351.52  669.2    324.73     4.90     4.09
SOUTH-POLE 170910 300  192000-192500   00     349.44  669.3    322.92     4.31     3.49
SOUTH-POLE 170910 300  192500-193000   00     348.09  669.3    321.82     3.96     3.13
SOUTH-POLE 170910 300  193000-193500   00     351.69  669.4    325.17     5.04     4.20
SOUTH-POLE 170910 300  193500-194000   00     352.34  669.3    325.75     5.23     4.37
SOUTH-POLE 170910 300  194000-194500   00     350.36  669.4    324.01     4.67     3.80
SOUTH-POLE 170910 300  194500-195000   00     349.85  669.4    323.66     4.55     3.67
SOUTH-POLE 170910 300  195000-195500   00     350.39  669.4    324.11     4.70     3.81
SOUTH-POLE 170910 300  195500-200000   00     349.99  669.4    323.83     4.61     3.70
SOUTH-POLE 170910 300  200000-200500   00     350.58  669.5    324.49     4.82     3.90
SOUTH-POLE 170910 300  200500-201000   00     347.51  669.5    321.58     3.88     2.95
SOUTH-POLE 170910 300  201000-201500   00     351.25  669.5    325.06     5.00     4.06
SOUTH-POLE 170910 300  201500-202000   00     347.21  669.5    321.47     3.85     2.90
SOUTH-POLE 170910 300  202000-202500   00     348.68  669.5    322.81     4.28     3.32
SOUTH-POLE 170910 300  202500-203000   00     348.16  669.5    322.20     4.08     3.10
SOUTH-POLE 170910 300  203000-203500   00     351.65  669.4    325.36     5.10     4.11
SOUTH-POLE 170910 300  203500-204000   00     349.35  669.5    323.25     4.42     3.42
