JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    376.01      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  170910 300  222000-222500   00     333.75  660.6    378.92     0.77    -9999
JUNGFRAU1  170910 300  222500-223000   00     333.66  660.6    378.85     0.76    -9999
JUNGFRAU1  170910 300  223000-223500   00     331.94  660.6    376.86     0.23    -9999
JUNGFRAU1  170910 300  223500-224000   00     332.57  660.7    377.76     0.46    -9999
JUNGFRAU1  170910 300  224000-224500   00     333.12  660.6    378.25     0.60    -9999
JUNGFRAU1  170910 300  224500-225000   00     331.44  660.6    376.32     0.08    -9999
JUNGFRAU1  170910 300  225000-225500   00     334.57  660.6    379.89     1.03    -9999
JUNGFRAU1  170910 300  225500-230000   00     333.50  660.6    378.68     0.71    -9999
JUNGFRAU1  170910 300  230000-230500   00     334.06  660.6    379.32     0.88    -9999
JUNGFRAU1  170910 300  230500-231000   00     335.22  660.5    380.41     1.17    -9999
JUNGFRAU1  170910 300  231000-231500   00     333.63  660.5    378.56     0.68    -9999
JUNGFRAU1  170910 300  231500-232000   00     332.06  660.5    376.77     0.20    -9999
JUNGFRAU1  170910 300  232000-232500   00     333.14  660.5    378.01     0.53    -9999
JUNGFRAU1  170910 300  232500-233000   00     335.24  660.4    380.16     1.10    -9999
JUNGFRAU1  170910 300  233000-233500   00     334.27  660.3    378.83     0.75    -9999
JUNGFRAU1  170910 300  233500-234000   00     333.34  660.3    377.66     0.44    -9999
JUNGFRAU1  170910 300  234000-234500   00     334.67  660.3    379.11     0.82    -9999
JUNGFRAU1  170910 300  234500-235000   00     333.57  660.2    377.59     0.42    -9999
JUNGFRAU1  170910 300  235000-235500   00     332.15  660.1    375.82    -0.05    -9999
JUNGFRAU1  170910 300  235500-240000   00     333.92  660.1    377.81     0.48    -9999
JUNGFRAU1  170911 300  000000-000500   00     333.16  660.1    376.90     0.24    -9999
JUNGFRAU1  170911 300  000500-001000   00     335.54  660.2    379.87     1.03    -9999
JUNGFRAU1  170911 300  001000-001500   00     334.33  660.2    378.52     0.67    -9999
JUNGFRAU1  170911 300  001500-002000   00     333.10  660.1    376.96     0.25    -9999
JUNGFRAU1  170911 300  002000-002500   00     334.17  660.0    377.82     0.48    -9999
JUNGFRAU1  170911 300  002500-003000   00     336.17  660.0    380.11     1.09    -9999
JUNGFRAU1  170911 300  003000-003500   00     335.37  660.0    379.15     0.83    -9999
JUNGFRAU1  170911 300  003500-004000   00     333.33  660.0    376.84     0.22    -9999
JUNGFRAU1  170911 300  004000-004500   00     336.53  660.0    380.37     1.16    -9999
JUNGFRAU1  170911 300  004500-005000   00     336.00  660.0    379.67     0.97    -9999
JUNGFRAU1  170911 300  005000-005500   00     334.67  660.0    378.35     0.62    -9999
JUNGFRAU1  170911 300  005500-010000   00     336.61  660.0    380.53     1.20    -9999
JUNGFRAU1  170911 300  010000-010500   00     335.14  660.0    379.03     0.80    -9999
JUNGFRAU1  170911 300  010500-011000   00     335.21  660.1    379.21     0.85    -9999
JUNGFRAU1  170911 300  011000-011500   00     334.33  660.1    378.24     0.59    -9999
JUNGFRAU1  170911 300  011500-012000   00     333.59  660.2    377.67     0.44    -9999
JUNGFRAU1  170911 300  012000-012500   00     335.62  660.2    380.01     1.06    -9999
JUNGFRAU1  170911 300  012500-013000   00     336.07  660.2    380.46     1.18    -9999
JUNGFRAU1  170911 300  013000-013500   00     333.55  660.2    377.62     0.43    -9999
JUNGFRAU1  170911 300  013500-014000   00     334.36  660.2    378.45     0.65    -9999
JUNGFRAU1  170911 300  014000-014500   00     335.15  660.1    379.20     0.85    -9999
JUNGFRAU1  170911 300  014500-015000   00     335.51  660.2    379.76     1.00    -9999
JUNGFRAU1  170911 300  015000-015500   00     333.51  660.1    377.33     0.35    -9999
JUNGFRAU1  170911 300  015500-020000   00     335.58  660.0    379.44     0.91    -9999
JUNGFRAU1  170911 300  020000-020500   00     334.70  660.0    378.29     0.61    -9999
JUNGFRAU1  170911 300  020500-021000   00     343.10  659.9    381.03     1.33    -9999
JUNGFRAU1  170911 300  021000-021500   00     336.90  659.9    380.64     1.23    -9999
JUNGFRAU1  170911 300  021500-022000   00     338.17  659.9    382.07     1.61    -9999
JUNGFRAU1  170911 300  022000-022500   00     335.95  659.9    379.46     0.92    -9999
JUNGFRAU1  170911 300  022500-023000   00     336.69  659.9    380.25     1.13    -9999
JUNGFRAU1  170911 300  023000-023500   00     336.91  659.9    380.55     1.21    -9999
JUNGFRAU1  170911 300  023500-024000   00     334.17  659.9    377.39     0.37    -9999
JUNGFRAU1  170911 300  024000-024500   00     334.92  659.8    378.08     0.55    -9999
JUNGFRAU1  170911 300  024500-025000   00     334.82  659.8    377.97     0.52    -9999
JUNGFRAU1  170911 300  025000-025500   00     340.38  659.9    384.44     2.24    -9999
JUNGFRAU1  170911 300  025500-030000   00     333.31  659.9    376.56     0.15    -9999
JUNGFRAU1  170911 300  030000-030500   00     337.77  659.8    381.41     1.44    -9999
JUNGFRAU1  170911 300  030500-031000   00     333.24  659.8    376.22     0.05    -9999
JUNGFRAU1  170911 300  031000-031500   00     336.45  659.8    379.81     1.01    -9999
JUNGFRAU1  170911 300  031500-032000   00     335.65  659.8    378.88     0.76    -9999
JUNGFRAU1  170911 300  032000-032500   00     336.15  659.8    379.47     0.92    -9999
JUNGFRAU1  170911 300  032500-033000   00     337.52  659.9    381.26     1.39    -9999
JUNGFRAU1  170911 300  033000-033500   00     333.20  659.9    376.39     0.10    -9999
JUNGFRAU1  170911 300  033500-034000   00     337.28  659.9    381.06     1.34    -9999
JUNGFRAU1  170911 300  034000-034500   00     333.56  659.9    376.69     0.18    -9999
JUNGFRAU1  170911 300  034500-035000   00     335.65  659.8    378.88     0.76    -9999
JUNGFRAU1  170911 300  035000-035500   00     336.38  659.8    379.72     0.99    -9999
JUNGFRAU1  170911 300  035500-040000   00     336.87  659.8    380.31     1.14    -9999
JUNGFRAU1  170911 300  040000-040500   00     336.93  659.7    380.14     1.10    -9999
JUNGFRAU1  170911 300  040500-041000   00     339.88  659.7    383.38     1.96    -9999
JUNGFRAU1  170911 300  041000-041500   00     337.30  659.7    380.38     1.16    -9999
JUNGFRAU1  170911 300  041500-042000   00     338.40  659.6    381.48     1.46    -9999
JUNGFRAU1  170911 300  042000-042500   00     335.52  659.6    378.17     0.57    -9999
