ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     55.78      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     170910 300  200500-201000   00      55.69  979.8     55.63    -0.27    -9999
ATHENS     170910 300  201000-201500   00      55.80  980.0     55.88     0.18    -9999
ATHENS     170910 300  201500-202000   00      55.53  980.0     55.51    -0.48    -9999
ATHENS     170910 300  202000-202500   00      55.08  979.9     55.06    -1.29    -9999
ATHENS     170910 300  202500-203000   00      56.04  980.0     56.06     0.50    -9999
ATHENS     170910 300  203000-203500   00      55.08  979.9     55.03    -1.35    -9999
ATHENS     170910 300  203500-204000   00      55.90  980.0     55.89     0.20    -9999
ATHENS     170910 300  204000-204500   00      56.47  979.9     56.69     1.63    -9999
ATHENS     170910 300  204500-205000   00      55.76  980.1     55.79     0.01    -9999
ATHENS     170910 300  205000-205500   00      56.22  980.1     56.24     0.83    -9999
ATHENS     170910 300  205500-210000   00      56.14  979.9     56.12     0.61    -9999
ATHENS     170910 300  210000-210500   00      56.44  979.8     56.37     1.05    -9999
ATHENS     170910 300  210500-211000   00      56.86  979.8     56.80     1.83    -9999
ATHENS     170910 300  211000-211500   00      55.44  979.8     55.37    -0.73    -9999
ATHENS     170910 300  211500-212000   00      56.20  979.9     56.15     0.65    -9999
ATHENS     170910 300  212000-212500   00      56.62  979.8     56.55     1.39    -9999
ATHENS     170910 300  212500-213000   00      56.45  979.7     56.32     0.97    -9999
ATHENS     170910 300  213000-213500   00      56.38  979.7     56.26     0.86    -9999
ATHENS     170910 300  213500-214000   00      56.86  979.9     56.81     1.84    -9999
ATHENS     170910 300  214000-214500   00      54.73  979.9     54.67    -1.99    -9999
ATHENS     170910 300  214500-215000   00      55.39  979.8     55.40    -0.68    -9999
ATHENS     170910 300  215000-215500   00      56.15  979.8     56.06     0.51    -9999
ATHENS     170910 300  215500-220000   00      55.99  979.7     55.86     0.14    -9999
ATHENS     170910 300  220000-220500   00      54.82  979.8     54.75    -1.85    -9999
ATHENS     170910 300  220500-221000   00      56.75  979.7     56.64     1.54    -9999
ATHENS     170910 300  221000-221500   00      54.83  979.6     54.45    -2.39    -9999
ATHENS     170910 300  221500-222000   00      56.87  979.6     56.71     1.66    -9999
ATHENS     170910 300  222000-222500   00      56.80  979.7     56.61     1.48    -9999
ATHENS     170910 300  222500-223000   00      56.32  979.6     56.15     0.67    -9999
ATHENS     170910 300  223000-223500   00      56.34  979.5     56.31     0.95    -9999
ATHENS     170910 300  223500-224000   00      56.40  979.4     56.16     0.68    -9999
ATHENS     170910 300  224000-224500   00      56.30  979.5     56.11     0.59    -9999
ATHENS     170910 300  224500-225000   00      55.76  979.4     55.52    -0.46    -9999
