KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.76     % / mb
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    225.25      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KERGUELEN  170911 300  002500-003000   00     258.80  984.6    230.42     2.29     0.56
KERGUELEN  170911 300  003000-003500   00     257.60  984.5    229.17     1.74     0.00
KERGUELEN  170911 300  003500-004000   00     260.13  984.4    231.23     2.66     0.91
KERGUELEN  170911 300  004000-004500   00     258.40  984.1    229.23     1.77     0.01
KERGUELEN  170911 300  004500-005000   00     260.13  984.0    230.53     2.35     0.57
KERGUELEN  170911 300  005000-005500   00     261.33  983.7    231.08     2.59     0.80
KERGUELEN  170911 300  005500-010000   00     261.47  983.5    230.83     2.48     0.68
KERGUELEN  170911 300  010000-010500   00     260.13  983.4    229.51     1.89     0.08
KERGUELEN  170911 300  010500-011000   00     262.13  983.1    230.76     2.45     0.62
KERGUELEN  170911 300  011000-011500   00     260.00  982.9    228.56     1.47    -0.37
KERGUELEN  170911 300  011500-012000   00     261.47  983.0    230.08     2.14     0.29
KERGUELEN  170911 300  012000-012500   00     261.73  982.6    229.48     1.88     0.01
KERGUELEN  170911 300  012500-013000   00     263.60  982.5    231.03     2.56     0.68
KERGUELEN  170911 300  013000-013500   00     261.87  982.4    229.28     1.79    -0.10
KERGUELEN  170911 300  013500-014000   00     263.73  982.0    230.21     2.20     0.30
KERGUELEN  170911 300  014000-014500   00     262.80  981.7    228.93     1.63    -0.29
KERGUELEN  170911 300  014500-015000   00     263.87  981.5    229.49     1.88    -0.05
KERGUELEN  170911 300  015000-015500   00     264.93  981.2    229.91     2.07     0.13
KERGUELEN  170911 300  015500-020000   00     264.80  981.1    229.61     1.93    -0.02
KERGUELEN  170911 300  020000-020500   00     267.47  980.5    230.89     2.50     0.53
KERGUELEN  170911 300  020500-021000   00     264.40  980.3    227.97     1.20    -0.78
KERGUELEN  170911 300  021000-021500   00     264.80  980.2    227.99     1.22    -0.77
KERGUELEN  170911 300  021500-022000   00     267.87  980.1    230.44     2.30     0.30
KERGUELEN  170911 300  022000-022500   00     269.47  980.0    231.77     2.90     0.89
KERGUELEN  170911 300  022500-023000   00     268.13  979.8    230.16     2.18     0.15
KERGUELEN  170911 300  023000-023500   00     266.53  979.8    228.79     1.57    -0.47
KERGUELEN  170911 300  023500-024000   00     266.27  979.7    228.42     1.41    -0.64
KERGUELEN  170911 300  024000-024500   00     267.60  979.8    229.84     2.04    -0.02
KERGUELEN  170911 300  024500-025000   00     265.47  980.2    228.65     1.51    -0.57
KERGUELEN  170911 300  025000-025500   00     266.40  980.5    229.97     2.09     0.00
KERGUELEN  170911 300  025500-030000   00     265.47  980.3    228.89     1.61    -0.49
KERGUELEN  170911 300  030000-030500   00     268.53  980.0    230.88     2.50     0.39
KERGUELEN  170911 300  030500-031000   00     266.27  979.8    228.70     1.53    -0.60
KERGUELEN  170911 300  031000-031500   00     269.60  979.8    231.51     2.78     0.64
KERGUELEN  170911 300  031500-032000   00     267.33  979.7    229.38     1.83    -0.32
KERGUELEN  170911 300  032000-032500   00     267.07  979.8    229.34     1.81    -0.35
KERGUELEN  170911 300  032500-033000   00     270.00  979.9    231.95     2.97     0.79
KERGUELEN  170911 300  033000-033500   00     268.13  979.9    230.44     2.30     0.11
KERGUELEN  170911 300  033500-034000   00     270.27  979.7    231.80     2.91     0.71
KERGUELEN  170911 300  034000-034500   00     270.53  979.2    231.24     2.66     0.45
KERGUELEN  170911 300  034500-035000   00     269.73  979.0    230.27     2.23     0.01
KERGUELEN  170911 300  035000-035500   00     272.13  978.6    231.57     2.81     0.57
KERGUELEN  170911 300  035500-040000   00     270.00  978.4    229.34     1.82    -0.43
KERGUELEN  170911 300  040000-040500   00     270.93  978.3    230.04     2.13    -0.13
KERGUELEN  170911 300  040500-041000   00     271.20  978.3    230.22     2.21    -9999
KERGUELEN  170911 300  041000-041500   00     272.53  978.2    231.12     2.60    -9999
KERGUELEN  170911 300  041500-042000   00     273.87  978.1    232.16     3.06    -9999
KERGUELEN  170911 300  042000-042500   00     270.67  978.1    229.40     1.84    -9999
KERGUELEN  170911 300  042500-043000   00     270.93  978.3    229.99     2.11    -9999
KERGUELEN  170911 300  043000-043500   00     270.80  978.8    230.76     2.45    -9999
KERGUELEN  170911 300  043500-044000   00     268.67  978.8    228.99     1.66    -9999
KERGUELEN  170911 300  044000-044500   00     271.87  978.7    231.58     2.81    -9999
KERGUELEN  170911 300  044500-045000   00     271.87  978.8    231.72     2.87    -9999
KERGUELEN  170911 300  045000-045500   00     270.93  978.9    231.11     2.60    -9999
KERGUELEN  170911 300  045500-050000   00     268.27  979.3    229.39     1.84    -9999
KERGUELEN  170911 300  050000-050500   00     265.73  979.4    227.41     0.96    -9999
KERGUELEN  170911 300  050500-051000   00     272.00  979.3    232.58     3.26    -9999
KERGUELEN  170911 300  051000-051500   00     269.33  979.4    230.54     2.35    -9999
KERGUELEN  170911 300  051500-052000   00     270.67  979.3    231.49     2.77    -9999
KERGUELEN  170911 300  052000-052500   00     269.07  979.2    230.03     2.12    -9999
KERGUELEN  170911 300  052500-053000   00     268.67  979.2    229.69     1.97    -9999
KERGUELEN  170911 300  053000-053500   00     271.33  979.4    232.20     3.09    -9999
KERGUELEN  170911 300  053500-054000   00     273.07  979.3    233.54     3.68    -9999
KERGUELEN  170911 300  054000-054500   00     271.07  979.3    231.93     2.96    -9999
KERGUELEN  170911 300  054500-055000   00     269.87  979.4    231.04     2.57    -9999
