THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.56     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    126.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      170911 300  010000-010500   00     146.97  985.6    127.04     0.15    -0.47
THULE      170911 300  010500-011000   00     150.67  985.7    130.29     2.71     2.08
THULE      170911 300  011000-011500   00     148.77  985.7    128.69     1.45     0.82
THULE      170911 300  011500-012000   00     147.41  985.8    127.57     0.57    -0.07
THULE      170911 300  012000-012500   00     147.85  985.8    127.99     0.90     0.26
THULE      170911 300  012500-013000   00     150.49  985.8    130.26     2.69     2.04
THULE      170911 300  013000-013500   00     149.47  985.8    129.38     1.99     1.34
THULE      170911 300  013500-014000   00     146.67  985.9    127.00     0.12    -0.54
THULE      170911 300  014000-014500   00     148.40  985.9    128.52     1.32     0.66
THULE      170911 300  014500-015000   00     148.79  985.9    128.89     1.61     0.94
THULE      170911 300  015000-015500   00     147.88  985.9    128.08     0.97     0.30
THULE      170911 300  015500-020000   00     150.25  985.9    130.11     2.57     1.89
THULE      170911 300  020000-020500   00     149.93  985.9    129.86     2.38     1.69
THULE      170911 300  020500-021000   00     149.69  985.9    129.68     2.23     1.54
THULE      170911 300  021000-021500   00     147.33  985.9    127.59     0.59    -0.11
THULE      170911 300  021500-022000   00     146.37  985.8    126.71    -0.11    -0.81
THULE      170911 300  022000-022500   00     145.95  985.9    126.42    -0.34    -1.05
THULE      170911 300  022500-023000   00     148.10  985.9    128.29     1.14     0.43
THULE      170911 300  023000-023500   00     148.18  985.9    128.38     1.20     0.48
THULE      170911 300  023500-024000   00     149.33  985.9    129.38     1.99     1.27
THULE      170911 300  024000-024500   00     147.45  986.0    127.81     0.76     0.03
THULE      170911 300  024500-025000   00     146.42  986.1    126.98     0.11    -0.62
THULE      170911 300  025000-025500   00     148.00  986.1    128.39     1.22     0.48
THULE      170911 300  025500-030000   00     148.63  986.2    128.99     1.69     0.94
THULE      170911 300  030000-030500   00     147.90  986.2    128.34     1.17     0.42
THULE      170911 300  030500-031000   00     146.64  986.1    127.25     0.32    -0.44
THULE      170911 300  031000-031500   00     145.35  986.2    126.17    -0.54    -1.30
THULE      170911 300  031500-032000   00     149.38  986.2    129.64     2.20     1.43
THULE      170911 300  032000-032500   00     147.39  986.1    127.87     0.81     0.04
THULE      170911 300  032500-033000   00     151.11  986.2    131.15     3.39     2.61
THULE      170911 300  033000-033500   00     149.25  986.2    129.56     2.14     1.36
THULE      170911 300  033500-034000   00     145.76  986.2    126.53    -0.25    -1.04
THULE      170911 300  034000-034500   00     149.24  986.2    129.56     2.14     1.35
THULE      170911 300  034500-035000   00     144.52  986.3    125.53    -1.04    -1.84
THULE      170911 300  035000-035500   00     148.28  986.4    128.89     1.61     0.80
THULE      170911 300  035500-040000   00     148.04  986.5    128.76     1.51     0.70
THULE      170911 300  040000-040500   00     147.59  986.5    128.40     1.22     0.40
THULE      170911 300  040500-041000   00     146.14  986.6    127.20     0.28    -0.54
THULE      170911 300  041000-041500   00     149.28  986.7    130.03     2.51     1.68
THULE      170911 300  041500-042000   00     147.70  986.7    128.71     1.46     0.63
THULE      170911 300  042000-042500   00     146.05  986.8    127.31     0.36    -0.48
THULE      170911 300  042500-043000   00     146.46  986.8    127.72     0.68    -0.16
THULE      170911 300  043000-043500   00     146.92  986.9    128.19     1.05     0.20
THULE      170911 300  043500-044000   00     145.76  987.0    127.28     0.34    -0.51
THULE      170911 300  044000-044500   00     146.55  987.0    128.00     0.91     0.05
THULE      170911 300  044500-045000   00     144.25  987.1    126.06    -0.62    -1.49
THULE      170911 300  045000-045500   00     145.29  987.2    127.03     0.14    -0.73
THULE      170911 300  045500-050000   00     145.60  987.2    127.32     0.37    -0.51
THULE      170911 300  050000-050500   00     145.86  987.2    127.58     0.58    -0.30
THULE      170911 300  050500-051000   00     142.75  987.2    124.83    -1.59    -2.48
THULE      170911 300  051000-051500   00     149.49  987.2    130.77     3.09     2.20
THULE      170911 300  051500-052000   00     145.09  987.4    127.03     0.14    -0.76
THULE      170911 300  052000-052500   00     144.66  987.5    126.77    -0.06    -0.96
THULE      170911 300  052500-053000   00     144.10  987.6    126.41    -0.34    -1.25
THULE      170911 300  053000-053500   00     144.13  987.7    126.48    -0.29    -1.21
THULE      170911 300  053500-054000   00     146.63  987.7    128.75     1.50     0.58
THULE      170911 300  054000-054500   00     144.99  987.8    127.35     0.40    -0.53
THULE      170911 300  054500-055000   00     147.39  987.9    129.54     2.12     1.19
THULE      170911 300  055000-055500   00     145.48  988.0    127.98     0.89    -0.05
THULE      170911 300  055500-060000   00     145.96  988.1    128.51     1.31     0.37
