IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    417.89      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   170910 300  205500-210000   00     404.00  722.1    425.20     1.75    -0.03
IRKUTSK3   170910 300  210000-210500   00     402.60  722.3    424.60     1.61    -0.18
IRKUTSK3   170910 300  210500-211000   00     405.00  722.3    426.80     2.13     0.32
IRKUTSK3   170910 300  211000-211500   00     404.00  722.3    426.00     1.94     0.12
IRKUTSK3   170910 300  211500-212000   00     401.80  722.3    423.80     1.41    -0.43
IRKUTSK3   170910 300  212000-212500   00     405.60  722.3    427.80     2.37     0.52
IRKUTSK3   170910 300  212500-213000   00     402.40  722.4    424.20     1.51    -0.36
IRKUTSK3   170910 300  213000-213500   00     405.20  722.3    427.00     2.18     0.30
IRKUTSK3   170910 300  213500-214000   00     401.20  722.4    423.00     1.22    -0.67
IRKUTSK3   170910 300  214000-214500   00     406.00  722.4    428.20     2.47     0.56
IRKUTSK3   170910 300  214500-215000   00     404.00  722.4    426.00     1.94     0.02
IRKUTSK3   170910 300  215000-215500   00     403.40  722.4    425.40     1.80    -0.13
IRKUTSK3   170910 300  215500-220000   00     403.00  722.4    425.20     1.75    -0.19
IRKUTSK3   170910 300  220000-220500   00     404.20  722.5    426.60     2.08     0.12
IRKUTSK3   170910 300  220500-221000   00     403.60  722.5    425.80     1.89    -9999
IRKUTSK3   170910 300  221000-221500   00     406.40  722.5    428.80     2.61    -9999
IRKUTSK3   170910 300  221500-222000   00     402.40  722.5    424.60     1.61    -9999
IRKUTSK3   170910 300  222000-222500   00     403.80  722.5    426.20     1.99    -9999
IRKUTSK3   170910 300  222500-223000   00     407.00  722.6    429.80     2.85    -9999
IRKUTSK3   170910 300  223000-223500   00     403.60  722.6    426.40     2.04    -9999
IRKUTSK3   170910 300  223500-224000   00     404.00  722.6    426.80     2.13    -9999
IRKUTSK3   170910 300  224000-224500   00     400.00  722.6    422.60     1.13    -9999
IRKUTSK3   170910 300  224500-225000   00     404.80  722.6    427.40     2.28    -9999
IRKUTSK3   170910 300  225000-225500   00     401.40  722.6    424.00     1.46    -9999
IRKUTSK3   170910 300  225500-230000   00     403.60  722.7    426.60     2.08    -9999
IRKUTSK3   170910 300  230000-230500   00     402.40  722.7    425.40     1.80    -9999
IRKUTSK3   170910 300  230500-231000   00     402.00  722.7    424.80     1.65    -9999
IRKUTSK3   170910 300  231000-231500   00     404.00  722.7    427.00     2.18    -9999
