MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982     mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    179.16      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    170911 300  010000-010500   00     173.97  989.1    185.76     3.69    -9999
MAGADAN    170911 300  010500-011000   00     171.21  989.1    182.81     2.04    -9999
MAGADAN    170911 300  011000-011500   00     171.33  989.1    182.90     2.09    -9999
MAGADAN    170911 300  011500-012000   00     173.47  989.1    185.17     3.36    -9999
MAGADAN    170911 300  012000-012500   00     169.73  989.1    181.16     1.12    -9999
MAGADAN    170911 300  012500-013000   00     173.41  989.1    185.10     3.32    -9999
MAGADAN    170911 300  013000-013500   00     171.66  989.1    183.21     2.26    -9999
MAGADAN    170911 300  013500-014000   00     172.53  989.0    184.09     2.75    -9999
MAGADAN    170911 300  014000-014500   00     171.34  989.0    182.77     2.01    -9999
MAGADAN    170911 300  014500-015000   00     172.84  988.9    184.28     2.86    -9999
MAGADAN    170911 300  015000-015500   00     173.38  988.9    184.81     3.15    -9999
MAGADAN    170911 300  015500-020000   00     172.30  988.8    183.63     2.50    -9999
MAGADAN    170911 300  020000-020500   00     171.26  988.8    182.49     1.86    -9999
MAGADAN    170911 300  020500-021000   00     173.38  988.8    184.69     3.09    -9999
MAGADAN    170911 300  021000-021500   00     169.04  988.8    180.06     0.51    -9999
MAGADAN    170911 300  021500-022000   00     171.02  988.7    182.11     1.65    -9999
MAGADAN    170911 300  022000-022500   00     175.49  988.6    186.76     4.24    -9999
MAGADAN    170911 300  022500-023000   00     169.54  988.6    180.43     0.71    -9999
MAGADAN    170911 300  023000-023500   00     172.44  988.6    183.51     2.43    -9999
MAGADAN    170911 300  023500-024000   00     172.85  988.6    183.91     2.65    -9999
MAGADAN    170911 300  024000-024500   00     170.99  988.6    181.88     1.52    -9999
MAGADAN    170911 300  024500-025000   00     171.38  988.5    182.20     1.70    -9999
MAGADAN    170911 300  025000-025500   00     172.54  988.4    183.35     2.34    -9999
MAGADAN    170911 300  025500-030000   00     172.61  988.4    183.36     2.34    -9999
MAGADAN    170911 300  030000-030500   00     170.94  988.3    181.50     1.31    -9999
MAGADAN    170911 300  030500-031000   00     172.57  988.3    183.18     2.24    -9999
MAGADAN    170911 300  031000-031500   00     173.12  988.2    183.63     2.50    -9999
MAGADAN    170911 300  031500-032000   00     174.68  988.1    185.10     3.32    -9999
MAGADAN    170911 300  032000-032500   00     173.16  988.0    183.38     2.36    -9999
MAGADAN    170911 300  032500-033000   00     169.94  987.9    179.92     0.43    -9999
MAGADAN    170911 300  033000-033500   00     174.68  987.9    184.94     3.23    -9999
MAGADAN    170911 300  033500-034000   00     171.39  987.9    181.39     1.24    -9999
MAGADAN    170911 300  034000-034500   00     172.89  987.8    182.85     2.06    -9999
MAGADAN    170911 300  034500-035000   00     173.12  987.7    182.99     2.14    -9999
MAGADAN    170911 300  035000-035500   00     176.07  987.6    186.03     3.84    -9999
MAGADAN    170911 300  035500-040000   00     175.54  987.5    185.33     3.45    -9999
MAGADAN    170911 300  040000-040500   00     174.39  987.5    184.02     2.71    -9999
MAGADAN    170911 300  040500-041000   00     170.64  987.5    180.15     0.55    -9999
MAGADAN    170911 300  041000-041500   00     172.58  987.5    182.13     1.66    -9999
MAGADAN    170911 300  041500-042000   00     172.52  987.4    182.01     1.59    -9999
MAGADAN    170911 300  042000-042500   00     173.58  987.4    183.11     2.21    -9999
MAGADAN    170911 300  042500-043000   00     172.23  987.4    181.60     1.36    -9999
MAGADAN    170911 300  043000-043500   00     175.42  987.3    184.89     3.20    -9999
MAGADAN    170911 300  043500-044000   00     172.31  987.3    181.63     1.38    -9999
MAGADAN    170911 300  044000-044500   00     170.99  987.4    180.28     0.63    -9999
MAGADAN    170911 300  044500-045000   00     173.01  987.4    182.49     1.86    -9999
MAGADAN    170911 300  045000-045500   00     172.43  987.5    181.94     1.55    -9999
MAGADAN    170911 300  045500-050000   00     171.23  987.5    180.73     0.88    -9999
MAGADAN    170911 300  050000-050500   00     170.26  987.5    179.73     0.32    -9999
MAGADAN    170911 300  050500-051000   00     174.75  987.5    184.43     2.94    -9999
MAGADAN    170911 300  051000-051500   00     173.49  987.5    183.15     2.23    -9999
MAGADAN    170911 300  051500-052000   00     171.81  987.6    181.46     1.29    -9999
MAGADAN    170911 300  052000-052500   00     172.75  987.7    182.52     1.88    -9999
MAGADAN    170911 300  052500-053000   00     172.99  987.6    182.78     2.02    -9999
MAGADAN    170911 300  053000-053500   00     172.14  987.7    181.91     1.54    -9999
MAGADAN    170911 300  053500-054000   00     172.21  987.7    182.02     1.60    -9999
MAGADAN    170911 300  054000-054500   00     170.48  987.7    180.21     0.59    -9999
MAGADAN    170911 300  054500-055000   00     171.48  987.7    181.21     1.14    -9999
MAGADAN    170911 300  055000-055500   00     171.34  987.6    181.03     1.04    -9999
MAGADAN    170911 300  055500-060000   00     173.66  987.6    183.45     2.40    -9999
MAGADAN    170911 300  060000-060500   00     170.25  987.6    179.86     0.39    -9999
MAGADAN    170911 300  060500-061000   00     172.53  987.6    182.26     1.73    -9999
MAGADAN    170911 300  061000-061500   00     170.69  987.6    180.34     0.66    -9999
MAGADAN    170911 300  061500-062000   00     173.69  987.7    183.56     2.46    -9999
MAGADAN    170911 300  062000-062500   00     172.67  987.7    182.54     1.89    -9999
MAGADAN    170911 300  062500-063000   00     172.16  987.8    182.04     1.61    -9999
MAGADAN    170911 300  063000-063500   00     172.31  987.8    182.20     1.70    -9999
MAGADAN    170911 300  063500-064000   00     170.46  987.7    180.24     0.60    -9999
MAGADAN    170911 300  064000-064500   00     171.23  987.8    181.07     1.07    -9999
MAGADAN    170911 300  064500-065000   00     172.58  987.8    182.55     1.89    -9999
MAGADAN    170911 300  065000-065500   00     172.78  987.8    182.79     2.03    -9999
MAGADAN    170911 300  065500-070000   00     170.53  987.9    180.45     0.72    -9999
MAGADAN    170911 300  070000-070500   00     171.07  987.9    181.07     1.07    -9999
MAGADAN    170911 300  070500-071000   00     170.61  988.0    180.70     0.86    -9999
MAGADAN    170911 300  071000-071500   00     172.30  988.0    182.57     1.91    -9999
MAGADAN    170911 300  071500-072000   00     170.99  988.1    181.26     1.17    -9999
MAGADAN    170911 300  072000-072500   00     172.80  988.2    183.28     2.30    -9999
MAGADAN    170911 300  072500-073000   00     169.55  988.3    179.92     0.43    -9999
MAGADAN    170911 300  073000-073500   00     173.03  988.3    183.67     2.52    -9999
MAGADAN    170911 300  073500-074000   00     169.45  988.3    179.92     0.43    -9999
MAGADAN    170911 300  074000-074500   00     172.03  988.4    182.75     2.00    -9999
MAGADAN    170911 300  074500-075000   00     169.38  988.4    180.00     0.47    -9999
MAGADAN    170911 300  075000-075500   00     170.41  988.5    181.18     1.13    -9999
MAGADAN    170911 300  075500-080000   00     170.23  988.6    181.08     1.07    -9999
MAGADAN    170911 300  080000-080500   00     171.82  988.7    182.90     2.09    -9999
MAGADAN    170911 300  080500-081000   00     170.39  988.8    181.52     1.32    -9999
MAGADAN    170911 300  081000-081500   00     168.77  988.9    179.95     0.44    -9999
MAGADAN    170911 300  081500-082000   00     169.62  989.0    180.97     1.01    -9999
MAGADAN    170911 300  082000-082500   00     170.14  989.0    181.57     1.35    -9999
MAGADAN    170911 300  082500-083000   00     169.96  989.0    181.37     1.24    -9999
MAGADAN    170911 300  083000-083500   00     169.50  989.1    180.92     0.98    -9999
MAGADAN    170911 300  083500-084000   00     170.65  989.1    182.24     1.72    -9999
MAGADAN    170911 300  084000-084500   00     170.43  989.2    182.14     1.67    -9999
MAGADAN    170911 300  084500-085000   00     170.78  989.3    182.60     1.92    -9999
MAGADAN    170911 300  085000-085500   00     168.82  989.3    180.57     0.79    -9999
MAGADAN    170911 300  085500-090000   00     167.71  989.4    179.42     0.15    -9999
MAGADAN    170911 300  090000-090500   00     170.02  989.4    181.96     1.56    -9999
MAGADAN    170911 300  090500-091000   00     167.50  989.5    179.33     0.10    -9999
MAGADAN    170911 300  091000-091500   00     167.90  989.5    179.80     0.36    -9999
MAGADAN    170911 300  091500-092000   00     167.62  989.6    179.60     0.25    -9999
MAGADAN    170911 300  092000-092500   00     168.45  989.6    180.55     0.78    -9999
MAGADAN    170911 300  092500-093000   00     167.91  989.6    179.99     0.46    -9999
MAGADAN    170911 300  093000-093500   00     169.67  989.7    181.93     1.55    -9999
MAGADAN    170911 300  093500-094000   00     168.63  989.7    180.89     0.97    -9999
MAGADAN    170911 300  094000-094500   00     169.87  989.8    182.28     1.74    -9999
MAGADAN    170911 300  094500-095000   00     168.31  989.9    180.68     0.85    -9999
MAGADAN    170911 300  095000-095500   00     169.09  989.9    181.57     1.35    -9999
MAGADAN    170911 300  095500-100000   00     167.83  989.9    180.26     0.62    -9999
MAGADAN    170911 300  100000-100500   00     168.24  990.0    180.75     0.89    -9999
MAGADAN    170911 300  100500-101000   00     169.68  990.0    182.32     1.76    -9999
MAGADAN    170911 300  101000-101500   00     168.81  990.0    181.39     1.25    -9999
MAGADAN    170911 300  101500-102000   00     167.36  990.0    179.91     0.42    -9999
MAGADAN    170911 300  102000-102500   00     166.56  990.1    179.11    -0.03    -9999
MAGADAN    170911 300  102500-103000   00     169.21  990.1    181.95     1.56    -9999
MAGADAN    170911 300  103000-103500   00     168.82  990.1    181.54     1.33    -9999
MAGADAN    170911 300  103500-104000   00     168.75  990.1    181.46     1.29    -9999
MAGADAN    170911 300  104000-104500   00     166.83  990.1    179.44     0.16    -9999
MAGADAN    170911 300  104500-105000   00     168.48  990.1    181.24     1.16    -9999
MAGADAN    170911 300  105000-105500   00     168.20  990.2    181.02     1.04    -9999
MAGADAN    170911 300  105500-110000   00     169.16  990.2    182.10     1.64    -9999
MAGADAN    170911 300  110000-110500   00     167.31  990.3    180.21     0.59    -9999
MAGADAN    170911 300  110500-111000   00     166.83  990.4    179.81     0.37    -9999
MAGADAN    170911 300  111000-111500   00     166.62  990.5    179.69     0.30    -9999
MAGADAN    170911 300  111500-112000   00     168.71  990.5    181.91     1.53    -9999
MAGADAN    170911 300  112000-112500   00     167.76  990.5    180.87     0.96    -9999
MAGADAN    170911 300  112500-113000   00     168.89  990.5    182.15     1.67    -9999
MAGADAN    170911 300  113000-113500   00     167.38  990.6    180.69     0.86    -9999
MAGADAN    170911 300  113500-114000   00     165.54  990.7    178.78    -0.21    -9999
MAGADAN    170911 300  114000-114500   00     168.87  990.7    182.35     1.78    -9999
