DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.87      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       170910 300  164000-164500   00       4.23  632.5      5.18     6.44     5.85
DOMB       170910 300  164500-165000   00       4.23  632.4      5.08     4.39     3.77
DOMB       170910 300  165000-165500   00       4.23  632.4      5.15     5.76     5.11
DOMB       170910 300  165500-170000   00       4.23  632.4      5.07     4.06     3.37
DOMB       170910 300  170000-170500   00       4.23  632.4      5.32     9.19     8.47
DOMB       170910 300  170500-171000   00       4.23  632.3      5.40    10.90    10.15
DOMB       170910 300  171000-171500   00       4.23  632.3      5.22     7.14     6.36
DOMB       170910 300  171500-172000   00       4.23  632.3      5.52    13.30    12.49
DOMB       170910 300  172000-172500   00       4.23  632.2      5.38    10.55     9.71
DOMB       170910 300  172500-173000   00       4.23  632.2      5.45    11.92    11.05
DOMB       170910 300  173000-173500   00       4.23  632.2      5.47    12.27    11.37
DOMB       170910 300  173500-174000   00       4.23  632.1      5.48    12.60    11.66
DOMB       170910 300  174000-174500   00       4.23  632.0      5.43    11.57    10.60
DOMB       170910 300  174500-175000   00       4.23  631.9      5.30     8.84     7.84
DOMB       170910 300  175000-175500   00       4.23  631.9      5.42    11.24    10.21
DOMB       170910 300  175500-180000   00       4.23  631.8      5.38    10.55     9.50
DOMB       170910 300  180000-180500   00       4.23  631.8      5.60    15.00    13.92
DOMB       170910 300  180500-181000   00       4.23  631.7      5.42    11.24    10.13
DOMB       170910 300  181000-181500   00       4.23  631.7      5.47    12.27    11.13
DOMB       170910 300  181500-182000   00       4.23  631.7      5.63    15.68    14.51
DOMB       170910 300  182000-182500   00       4.23  631.6      5.53    13.63    12.43
DOMB       170910 300  182500-183000   00       4.23  631.6      5.50    12.95    11.72
DOMB       170910 300  183000-183500   00       4.23  631.5      5.48    12.60    11.34
DOMB       170910 300  183500-184000   00       4.23  631.4      5.35     9.87     8.58
DOMB       170910 300  184000-184500   00       4.23  631.4      5.35     9.87     8.56
DOMB       170910 300  184500-185000   00       4.23  631.4      5.38    10.55     9.21
DOMB       170910 300  185000-185500   00       4.23  631.4      5.25     7.81     6.44
DOMB       170910 300  185500-190000   00       4.23  631.2      5.35     9.87     8.47
DOMB       170910 300  190000-190500   00       4.23  631.2      5.35     9.87     8.45
DOMB       170910 300  190500-191000   00       4.23  631.2      5.30     8.84     7.39
DOMB       170910 300  191000-191500   00       4.23  631.2      5.62    15.35    13.87
DOMB       170910 300  191500-192000   00       4.23  631.1      5.57    14.32    12.82
DOMB       170910 300  192000-192500   00       4.23  631.1      5.37    10.22     8.69
DOMB       170910 300  192500-193000   00       4.23  631.1      5.40    10.90     9.34
DOMB       170910 300  193000-193500   00       4.23  631.0      5.37    10.22     8.64
DOMB       170910 300  193500-194000   00       4.23  631.0      5.27     8.16     6.55
DOMB       170910 300  194000-194500   00       4.23  631.0      5.42    11.24     9.61
DOMB       170910 300  194500-195000   00       4.23  630.9      5.28     8.49     6.83
DOMB       170910 300  195000-195500   00       4.23  630.9      5.35     9.87     8.19
DOMB       170910 300  195500-200000   00       4.23  630.9      5.37    10.22     8.51
DOMB       170910 300  200000-200500   00       4.23  631.0      5.33     9.52     7.79
DOMB       170910 300  200500-201000   00       4.23  630.9      5.42    11.24     9.48
DOMB       170910 300  201000-201500   00       4.23  630.9      5.58    14.65    12.87
DOMB       170910 300  201500-202000   00       4.23  630.9      5.33     9.52     7.71
DOMB       170910 300  202000-202500   00       4.23  630.8      5.45    11.92    10.09
DOMB       170910 300  202500-203000   00       4.23  630.6      5.23     7.47     5.61
DOMB       170910 300  203000-203500   00       4.23  630.5      5.28     8.49     6.61
DOMB       170910 300  203500-204000   00       4.23  630.5      5.42    11.24     9.34
DOMB       170910 300  204000-204500   00       4.23  630.5      5.10     4.73     2.80
DOMB       170910 300  204500-205000   00       4.23  630.5      5.32     9.19     7.24
DOMB       170910 300  205000-205500   00       4.23  630.5      5.18     6.44     4.47
DOMB       170910 300  205500-210000   00       4.23  630.5      5.08     4.39     2.40
DOMB       170910 300  210000-210500   00       4.23  630.5      5.43    11.57     9.55
DOMB       170910 300  210500-211000   00       4.23  630.4      5.35     9.87     7.83
DOMB       170910 300  211000-211500   00       4.23  630.3      5.57    14.32    12.26
DOMB       170910 300  211500-212000   00       4.23  630.3      5.38    10.55     8.47
DOMB       170910 300  212000-212500   00       4.23  630.3      5.45    11.92     9.81
DOMB       170910 300  212500-213000   00       4.23  630.2      5.30     8.84     6.71
DOMB       170910 300  213000-213500   00       4.23  630.2      5.20     6.79     4.64
DOMB       170910 300  213500-214000   00       4.23  630.1      5.38    10.55     8.38
DOMB       170910 300  214000-214500   00       4.23  630.1      5.13     5.41     3.22
DOMB       170910 300  214500-215000   00       4.23  630.0      5.25     7.81     5.60
DOMB       170910 300  215000-215500   00       4.23  629.9      5.18     6.44     4.21
DOMB       170910 300  215500-220000   00       4.23  629.9      5.10     4.73     2.48
DOMB       170910 300  220000-220500   00       4.23  629.8      5.20     6.79     4.52
DOMB       170910 300  220500-221000   00       4.23  629.8      5.22     7.14     4.85
DOMB       170910 300  221000-221500   00       4.23  629.8      5.18     6.44     4.13
DOMB       170910 300  221500-222000   00       4.23  629.7      5.17     6.11     3.78
DOMB       170910 300  222000-222500   00       4.23  629.6      5.18     6.44     4.09
DOMB       170910 300  222500-223000   00       4.23  629.6      5.35     9.87     7.50
DOMB       170910 300  223000-223500   00       4.23  629.5      5.15     5.76     3.37
DOMB       170910 300  223500-224000   00       4.23  629.5      5.53    13.63    11.22
DOMB       170910 300  224000-224500   00       4.23  629.4      5.37    10.22     7.79
DOMB       170910 300  224500-225000   00       4.23  629.4      5.12     5.08     2.63
DOMB       170910 300  225000-225500   00       4.23  629.4      5.30     8.84     6.37
DOMB       170910 300  225500-230000   00       4.23  629.4      5.37    10.22     7.74
DOMB       170910 300  230000-230500   00       4.23  629.3      5.22     7.14     4.64
DOMB       170910 300  230500-231000   00       4.23  629.3      5.37    10.22     7.70
DOMB       170910 300  231000-231500   00       4.23  629.2      5.47    12.27     9.73
DOMB       170910 300  231500-232000   00       4.23  629.2      5.20     6.79     4.24
