TIXIE-BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE-BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE-BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE-BAY  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
TIXIE-BAY  PRE-INCREASE AVERAGE COUNTING RATE    101.33      COUNTS PER SECOND
TIXIE-BAY  TIME INTERVALS    300         3600     
TIXIE-BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE-BAY  170911 300  004000-004500   00      97.52 1020.9    104.67     3.29     1.85
TIXIE-BAY  170911 300  004500-005000   00      95.52 1020.8    102.48     1.13    -0.32
TIXIE-BAY  170911 300  005000-005500   00      97.07 1020.8    104.13     2.76     1.30
TIXIE-BAY  170911 300  005500-010000   00      97.23 1020.8    104.24     2.87     1.40
TIXIE-BAY  170911 300  010000-010500   00      95.15 1020.7    102.00     0.66    -0.81
TIXIE-BAY  170911 300  010500-011000   00      97.25 1020.7    104.21     2.84     1.36
TIXIE-BAY  170911 300  011000-011500   00      97.01 1020.6    103.92     2.55     1.06
TIXIE-BAY  170911 300  011500-012000   00      97.71 1020.6    104.67     3.29     1.79
TIXIE-BAY  170911 300  012000-012500   00      97.73 1020.6    104.67     3.29     1.78
TIXIE-BAY  170911 300  012500-013000   00      97.89 1020.6    104.85     3.47     1.96
TIXIE-BAY  170911 300  013000-013500   00      96.11 1020.6    102.88     1.53     0.01
TIXIE-BAY  170911 300  013500-014000   00      97.01 1020.6    103.89     2.52     0.99
TIXIE-BAY  170911 300  014000-014500   00      97.36 1020.6    104.27     2.89     1.35
TIXIE-BAY  170911 300  014500-015000   00      97.57 1020.6    104.48     3.10     1.56
TIXIE-BAY  170911 300  015000-015500   00      95.68 1020.6    102.48     1.13    -0.42
TIXIE-BAY  170911 300  015500-020000   00      96.48 1020.7    103.36     2.00     0.44
TIXIE-BAY  170911 300  020000-020500   00      96.69 1020.6    103.57     2.21     0.64
TIXIE-BAY  170911 300  020500-021000   00      96.51 1020.6    103.41     2.05     0.48
TIXIE-BAY  170911 300  021000-021500   00      96.61 1020.7    103.52     2.16     0.58
TIXIE-BAY  170911 300  021500-022000   00      96.32 1020.6    103.12     1.76     0.17
TIXIE-BAY  170911 300  022000-022500   00      96.56 1020.5    103.36     2.00     0.41
TIXIE-BAY  170911 300  022500-023000   00      97.81 1020.5    104.69     3.31     1.71
TIXIE-BAY  170911 300  023000-023500   00      94.45 1020.5    101.09    -0.24    -1.85
TIXIE-BAY  170911 300  023500-024000   00      97.12 1020.6    103.95     2.58     0.97
TIXIE-BAY  170911 300  024000-024500   00      95.79 1020.6    102.53     1.18    -0.44
TIXIE-BAY  170911 300  024500-025000   00      97.49 1020.6    104.40     3.03     1.40
TIXIE-BAY  170911 300  025000-025500   00      96.69 1020.6    103.55     2.18     0.55
TIXIE-BAY  170911 300  025500-030000   00      96.03 1020.5    102.77     1.42    -0.22
TIXIE-BAY  170911 300  030000-030500   00      96.77 1020.5    103.52     2.16     0.51
TIXIE-BAY  170911 300  030500-031000   00      96.35 1020.5    103.09     1.74     0.09
TIXIE-BAY  170911 300  031000-031500   00      96.11 1020.5    102.83     1.47    -0.19
TIXIE-BAY  170911 300  031500-032000   00      96.27 1020.5    103.01     1.66     0.00
TIXIE-BAY  170911 300  032000-032500   00      95.73 1020.5    102.40     1.05    -0.62
TIXIE-BAY  170911 300  032500-033000   00      97.33 1020.5    104.13     2.76     1.08
TIXIE-BAY  170911 300  033000-033500   00      96.56 1020.5    103.31     1.95     0.27
TIXIE-BAY  170911 300  033500-034000   00      95.55 1020.5    102.27     0.92    -0.77
TIXIE-BAY  170911 300  034000-034500   00      97.09 1020.5    103.92     2.55     0.86
TIXIE-BAY  170911 300  034500-035000   00      97.49 1020.5    104.35     2.97     1.27
TIXIE-BAY  170911 300  035000-035500   00      96.69 1020.5    103.44     2.08     0.38
TIXIE-BAY  170911 300  035500-040000   00      97.39 1020.5    104.24     2.87     1.16
TIXIE-BAY  170911 300  040000-040500   00      96.88 1020.5    103.68     2.31     0.60
TIXIE-BAY  170911 300  040500-041000   00      95.01 1020.5    101.71     0.37    -1.35
TIXIE-BAY  170911 300  041000-041500   00      98.21 1020.5    105.12     3.74     2.01
TIXIE-BAY  170911 300  041500-042000   00      96.29 1020.5    103.04     1.68    -0.05
TIXIE-BAY  170911 300  042000-042500   00      97.47 1020.5    104.32     2.95     1.21
TIXIE-BAY  170911 300  042500-043000   00      95.79 1020.5    102.51     1.16    -0.58
TIXIE-BAY  170911 300  043000-043500   00      96.05 1020.5    102.80     1.45    -0.30
TIXIE-BAY  170911 300  043500-044000   00      96.13 1020.5    102.88     1.53    -0.22
TIXIE-BAY  170911 300  044000-044500   00      97.71 1020.5    104.51     3.13     1.37
TIXIE-BAY  170911 300  044500-045000   00      95.95 1020.4    102.59     1.24    -0.52
TIXIE-BAY  170911 300  045000-045500   00      97.17 1020.4    103.89     2.52     0.75
TIXIE-BAY  170911 300  045500-050000   00      95.73 1020.3    102.35     1.00    -0.77
TIXIE-BAY  170911 300  050000-050500   00      97.23 1020.3    103.89     2.52     0.75
TIXIE-BAY  170911 300  050500-051000   00      97.15 1020.3    103.81     2.45     0.67
TIXIE-BAY  170911 300  051000-051500   00      96.16 1020.3    102.72     1.37    -0.41
TIXIE-BAY  170911 300  051500-052000   00      95.79 1020.3    102.32     0.97    -0.82
TIXIE-BAY  170911 300  052000-052500   00      96.56 1020.3    103.15     1.79     0.00
TIXIE-BAY  170911 300  052500-053000   00      97.15 1020.2    103.73     2.37     0.57
TIXIE-BAY  170911 300  053000-053500   00      96.37 1020.2    102.91     1.55    -0.25
TIXIE-BAY  170911 300  053500-054000   00      97.07 1020.2    103.68     2.31     0.51
TIXIE-BAY  170911 300  054000-054500   00      96.24 1020.2    102.72     1.37    -0.44
TIXIE-BAY  170911 300  054500-055000   00      96.21 1020.1    102.69     1.34    -0.47
TIXIE-BAY  170911 300  055000-055500   00      96.37 1020.1    102.80     1.45    -0.37
TIXIE-BAY  170911 300  055500-060000   00      96.53 1020.1    102.99     1.63    -0.19
TIXIE-BAY  170911 300  060000-060500   00      97.17 1020.1    103.65     2.29     0.47
TIXIE-BAY  170911 300  060500-061000   00      96.93 1020.0    103.39     2.03     0.20
TIXIE-BAY  170911 300  061000-061500   00      96.16 1020.0    102.53     1.18    -0.65
TIXIE-BAY  170911 300  061500-062000   00      96.19 1020.0    102.56     1.21    -0.62
TIXIE-BAY  170911 300  062000-062500   00      95.95 1020.0    102.29     0.95    -0.89
TIXIE-BAY  170911 300  062500-063000   00      97.84 1019.9    104.27     2.89     1.05
TIXIE-BAY  170911 300  063000-063500   00      97.84 1019.9    104.27     2.89     1.05
TIXIE-BAY  170911 300  063500-064000   00      95.23 1019.9    101.41     0.08    -1.77
TIXIE-BAY  170911 300  064000-064500   00      96.24 1019.9    102.56     1.21    -0.64
TIXIE-BAY  170911 300  064500-065000   00      95.12 1019.8    101.25    -0.08    -1.93
TIXIE-BAY  170911 300  065000-065500   00      96.69 1019.8    102.96     1.60    -0.26
TIXIE-BAY  170911 300  065500-070000   00      97.63 1019.8    103.92     2.55     0.69
TIXIE-BAY  170911 300  070000-070500   00      97.28 1019.8    103.57     2.21     0.35
TIXIE-BAY  170911 300  070500-071000   00      96.21 1019.8    102.40     1.05    -0.82
TIXIE-BAY  170911 300  071000-071500   00      96.35 1019.8    102.56     1.21    -0.66
TIXIE-BAY  170911 300  071500-072000   00      95.41 1019.8    101.57     0.24    -1.63
TIXIE-BAY  170911 300  072000-072500   00      98.11 1019.7    104.37     3.00     1.13
TIXIE-BAY  170911 300  072500-073000   00      98.99 1019.7    105.31     3.92     2.04
TIXIE-BAY  170911 300  073000-073500   00      96.64 1019.7    102.83     1.47    -0.41
TIXIE-BAY  170911 300  073500-074000   00      97.68 1019.7    103.89     2.52     0.64
TIXIE-BAY  170911 300  074000-074500   00      97.04 1019.7    103.20     1.84    -0.04
TIXIE-BAY  170911 300  074500-075000   00      97.89 1019.7    104.13     2.76     0.87
TIXIE-BAY  170911 300  075000-075500   00      97.79 1019.7    104.00     2.63     0.74
TIXIE-BAY  170911 300  075500-080000   00      96.80 1019.7    102.96     1.60    -0.29
TIXIE-BAY  170911 300  080000-080500   00      96.45 1019.7    102.59     1.24    -0.65
TIXIE-BAY  170911 300  080500-081000   00      97.97 1019.7    104.19     2.81    -9999
TIXIE-BAY  170911 300  081000-081500   00      95.68 1019.7    101.81     0.47    -9999
TIXIE-BAY  170911 300  081500-082000   00      96.53 1019.7    102.67     1.31    -9999
TIXIE-BAY  170911 300  082000-082500   00      96.37 1019.7    102.53     1.18    -9999
