NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  mb     COEFFICIENT   -0.72     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    217.66      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       170911 300  025000-025500   00     209.99 1018.5    218.48     0.38     0.63
NAIN       170911 300  025500-030000   00     208.30 1018.5    216.73    -0.43    -0.18
NAIN       170911 300  030000-030500   00     207.78 1018.5    216.07    -0.73    -0.48
NAIN       170911 300  030500-031000   00     209.36 1018.5    217.75     0.04     0.29
NAIN       170911 300  031000-031500   00     206.82 1018.5    215.08    -1.18    -0.93
NAIN       170911 300  031500-032000   00     209.56 1018.4    217.87     0.10     0.35
NAIN       170911 300  032000-032500   00     205.60 1018.4    213.76    -1.79    -1.54
NAIN       170911 300  032500-033000   00     209.88 1018.4    218.18     0.24     0.49
NAIN       170911 300  033000-033500   00     209.70 1018.4    217.90     0.11     0.36
NAIN       170911 300  033500-034000   00     208.67 1018.3    216.81    -0.39    -0.14
NAIN       170911 300  034000-034500   00     211.43 1018.4    219.71     0.94     1.19
NAIN       170911 300  034500-035000   00     209.51 1018.3    217.65     0.00     0.25
NAIN       170911 300  035000-035500   00     209.20 1018.3    217.22    -0.20     0.05
NAIN       170911 300  035500-040000   00     208.95 1018.3    217.01    -0.30    -0.05
NAIN       170911 300  040000-040500   00     208.14 1018.3    216.20    -0.67    -0.42
NAIN       170911 300  040500-041000   00     207.86 1018.3    215.86    -0.82    -0.57
NAIN       170911 300  041000-041500   00     209.49 1018.3    217.57    -0.04     0.21
NAIN       170911 300  041500-042000   00     211.12 1018.3    219.25     0.73     0.98
NAIN       170911 300  042000-042500   00     209.07 1018.3    217.13    -0.24     0.01
NAIN       170911 300  042500-043000   00     207.69 1018.3    215.66    -0.92    -0.67
NAIN       170911 300  043000-043500   00     209.40 1018.3    217.43    -0.10     0.15
NAIN       170911 300  043500-044000   00     207.59 1018.3    215.60    -0.95    -0.70
NAIN       170911 300  044000-044500   00     206.85 1018.3    214.78    -1.32    -1.07
NAIN       170911 300  044500-045000   00     208.07 1018.2    215.95    -0.78    -0.53
NAIN       170911 300  045000-045500   00     208.36 1018.2    216.18    -0.68    -0.43
NAIN       170911 300  045500-050000   00     210.06 1018.1    217.87     0.10     0.35
NAIN       170911 300  050000-050500   00     208.67 1018.1    216.41    -0.57    -0.32
NAIN       170911 300  050500-051000   00     209.21 1018.1    216.95    -0.32    -0.07
NAIN       170911 300  051000-051500   00     210.87 1018.1    218.69     0.47     0.72
NAIN       170911 300  051500-052000   00     208.11 1018.1    215.85    -0.83    -0.58
NAIN       170911 300  052000-052500   00     211.27 1018.1    219.09     0.66     0.91
NAIN       170911 300  052500-053000   00     210.22 1018.1    217.99     0.15     0.40
NAIN       170911 300  053000-053500   00     212.26 1018.0    220.02     1.09     1.34
NAIN       170911 300  053500-054000   00     208.63 1018.0    216.23    -0.66    -0.41
NAIN       170911 300  054000-054500   00     207.67 1018.1    215.30    -1.08    -0.83
NAIN       170911 300  054500-055000   00     206.90 1018.0    214.46    -1.47    -1.22
NAIN       170911 300  055000-055500   00     208.49 1018.0    216.00    -0.76    -0.51
NAIN       170911 300  055500-060000   00     212.93 1018.0    220.63     1.36     1.61
NAIN       170911 300  060000-060500   00     209.79 1018.0    217.36    -0.14     0.11
NAIN       170911 300  060500-061000   00     209.53 1018.0    217.08    -0.27    -9999
NAIN       170911 300  061000-061500   00     208.03 1018.0    215.50    -0.99    -9999
NAIN       170911 300  061500-062000   00     209.64 1018.0    217.25    -0.19    -9999
NAIN       170911 300  062000-062500   00     210.80 1018.1    218.55     0.41    -9999
NAIN       170911 300  062500-063000   00     208.28 1018.0    215.82    -0.84    -9999
NAIN       170911 300  063000-063500   00     210.65 1018.0    218.23     0.27    -9999
NAIN       170911 300  063500-064000   00     206.95 1018.0    214.53    -1.44    -9999
NAIN       170911 300  064000-064500   00     209.51 1018.0    217.16    -0.23    -9999
NAIN       170911 300  064500-065000   00     209.25 1018.0    216.83    -0.38    -9999
NAIN       170911 300  065000-065500   00     208.35 1018.0    215.94    -0.79    -9999
NAIN       170911 300  065500-070000   00     210.68 1018.0    218.36     0.32    -9999
NAIN       170911 300  070000-070500   00     207.46 1017.9    214.88    -1.27    -9999
NAIN       170911 300  070500-071000   00     207.30 1017.9    214.62    -1.40    -9999
NAIN       170911 300  071000-071500   00     210.17 1018.0    217.74     0.04    -9999
NAIN       170911 300  071500-072000   00     211.81 1018.0    219.43     0.81    -9999
NAIN       170911 300  072000-072500   00     210.72 1018.0    218.35     0.32    -9999
NAIN       170911 300  072500-073000   00     211.20 1018.0    218.86     0.55    -9999
NAIN       170911 300  073000-073500   00     210.03 1018.0    217.59    -0.03    -9999
NAIN       170911 300  073500-074000   00     207.82 1017.9    215.27    -1.10    -9999
NAIN       170911 300  074000-074500   00     208.73 1018.0    216.26    -0.64    -9999
NAIN       170911 300  074500-075000   00     212.73 1018.0    220.43     1.27    -9999
NAIN       170911 300  075000-075500   00     208.93 1018.0    216.55    -0.51    -9999
NAIN       170911 300  075500-080000   00     207.55 1018.0    215.13    -1.16    -9999
NAIN       170911 300  080000-080500   00     209.37 1018.0    216.99    -0.30    -9999
NAIN       170911 300  080500-081000   00     210.96 1018.0    218.68     0.47    -9999
NAIN       170911 300  081000-081500   00     209.65 1018.1    217.46    -0.09    -9999
NAIN       170911 300  081500-082000   00     211.64 1018.1    219.53     0.86    -9999
NAIN       170911 300  082000-082500   00     210.86 1018.1    218.68     0.47    -9999
NAIN       170911 300  082500-083000   00     208.51 1018.1    216.28    -0.63    -9999
NAIN       170911 300  083000-083500   00     210.28 1018.2    218.19     0.25    -9999
NAIN       170911 300  083500-084000   00     210.29 1018.2    218.30     0.30    -9999
NAIN       170911 300  084000-084500   00     210.71 1018.3    218.90     0.57    -9999
NAIN       170911 300  084500-085000   00     210.58 1018.3    218.77     0.51    -9999
NAIN       170911 300  085000-085500   00     209.21 1018.3    217.25    -0.19    -9999
NAIN       170911 300  085500-090000   00     209.49 1018.2    217.49    -0.08    -9999
NAIN       170911 300  090000-090500   00     212.08 1018.3    220.27     1.20    -9999
NAIN       170911 300  090500-091000   00     207.72 1018.3    215.74    -0.88    -9999
NAIN       170911 300  091000-091500   00     209.26 1018.3    217.35    -0.14    -9999
NAIN       170911 300  091500-092000   00     208.38 1018.3    216.39    -0.58    -9999
NAIN       170911 300  092000-092500   00     209.56 1018.2    217.51    -0.07    -9999
NAIN       170911 300  092500-093000   00     210.56 1018.3    218.72     0.49    -9999
NAIN       170911 300  093000-093500   00     209.59 1018.3    217.70     0.02    -9999
NAIN       170911 300  093500-094000   00     208.80 1018.4    216.98    -0.31    -9999
NAIN       170911 300  094000-094500   00     209.02 1018.4    217.25    -0.19    -9999
NAIN       170911 300  094500-095000   00     210.37 1018.5    218.79     0.52    -9999
NAIN       170911 300  095000-095500   00     211.89 1018.6    220.49     1.30    -9999
NAIN       170911 300  095500-100000   00     209.14 1018.5    217.57    -0.04    -9999
NAIN       170911 300  100000-100500   00     209.33 1018.6    217.85     0.09    -9999
NAIN       170911 300  100500-101000   00     208.94 1018.5    217.41    -0.11    -9999
NAIN       170911 300  101000-101500   00     211.39 1018.4    219.77     0.97    -9999
NAIN       170911 300  101500-102000   00     210.10 1018.4    218.44     0.36    -9999
NAIN       170911 300  102000-102500   00     211.43 1018.4    219.80     0.98    -9999
NAIN       170911 300  102500-103000   00     211.47 1018.4    219.73     0.95    -9999
NAIN       170911 300  103000-103500   00     208.31 1018.3    216.37    -0.59    -9999
