energy [MeV],Flux
1156.4754918306103,2.062686457593034
1163.1410470156718,2.0435971791701517
1169.8066022007336,2.0245684200600906
1176.4721573857953,2.005599184218638
1183.137712570857,1.9866884968625929
1189.8032677559186,1.9701787243210234
1196.4688229409803,1.9551554585624675
1203.134378126042,1.9401795283348289
1209.7999333111038,1.9252501735199272
1216.4654884961653,1.9103666498152074
1223.131043681227,1.8955282283270698
1229.7965988662888,1.8807341951767036
1236.4621540513504,1.8659838511179485
1243.127709236412,1.8512765111667784
1249.7932644214739,1.8366115042419904
1256.4588196065356,1.821988172816693
1263.1243747915971,1.8074058725802329
1269.7899299766589,1.7928639721101864
1276.4554851617206,1.7783618525540676
1283.1210403467824,1.7638989073204239
1289.786595531844,1.7494745417789863
1296.4521507169056,1.735088172969572
