energy[MeV],Flux
116.99806660222008,21.454425875323793
117.66472215740525,21.387362527261967
118.33137771259042,21.320869658967567
118.9980332677756,21.25493915429282
119.66468882296077,21.189563056484722
120.33134437814594,21.124733564193253
120.99799993333112,21.060443027600954
121.66465548851629,20.996683944669492
122.33131104370146,20.933448957499174
122.99796659888663,20.870730848797322
123.66462215407181,20.808522538451683
124.33127770925698,20.74681708020529
124.99793326444215,20.685607658429113
125.66458881962733,20.62488758498927
126.3312443748125,20.564650296205453
126.99789992999767,20.5048893498974
127.66455548518285,20.445598422516575
128.33121104036803,20.386771306360032
128.9978665955532,20.32840190686374
129.66452215073835,20.270484239972696
130.33117770592352,20.213012429585337
130.9978332611087,20.155980705069634
131.66448881629387,20.099383398848687
132.33114437147904,20.04321494405339
132.99779992666421,19.987469872240023
