JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978     MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    244.62      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  240608 300  095000-095500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  095500-100000   00     262.45  968.9    244.35    -0.11     0.66
JANG-BOGO  240608 300  100000-100500   00     265.50  968.9    247.20     1.05     1.83
JANG-BOGO  240608 300  100500-101000   00     263.98  969.0    246.05     0.58     1.37
JANG-BOGO  240608 300  101000-101500   00     262.80  969.0    244.93     0.13     0.92
JANG-BOGO  240608 300  101500-102000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  102000-102500   00     262.90  969.0    245.20     0.24     1.05
JANG-BOGO  240608 300  102500-103000   00     264.65  969.2    246.95     0.95     1.77
JANG-BOGO  240608 300  103000-103500   00     262.60  969.1    245.00     0.15     0.98
JANG-BOGO  240608 300  103500-104000   00     262.25  969.2    244.80     0.07     0.91
JANG-BOGO  240608 300  104000-104500   00     262.50  969.2    244.90     0.11     0.95
JANG-BOGO  240608 300  104500-105000   00     262.80  969.0    245.00     0.15     1.00
JANG-BOGO  240608 300  105000-105500   00     265.57  969.1    247.82     1.31     2.17
JANG-BOGO  240608 300  105500-110000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  240608 300  110000-110500   00     256.00  969.0    238.70    -2.42    -1.55
JANG-BOGO  240608 300  110500-111000   00     261.05  969.1    243.60    -0.42     0.46
JANG-BOGO  240608 300  111000-111500   00     263.30  969.2    245.90     0.52     1.41
JANG-BOGO  240608 300  111500-112000   00     263.75  969.1    246.00     0.56     1.46
JANG-BOGO  240608 300  112000-112500   00     259.35  969.1    241.95    -1.09    -9999
JANG-BOGO  240608 300  112500-113000   00     264.83  969.2    247.23     1.07    -9999
JANG-BOGO  240608 300  113000-113500   00     258.45  969.4    241.50    -1.28    -9999
JANG-BOGO  240608 300  113500-114000   00     265.35  969.4    248.00     1.38    -9999
JANG-BOGO  240608 300  114000-114500   00     258.20  969.5    241.62    -1.23    -9999
JANG-BOGO  240608 300  114500-115000   00     260.95  969.5    244.07    -0.22    -9999
JANG-BOGO  240608 300  115000-115500   00     259.37  969.5    242.73    -0.77    -9999
JANG-BOGO  240608 300  115500-120000   00     262.57  969.5    245.62     0.41    -9999
JANG-BOGO  240608 3600 120000-130000   00     262.12  969.3    244.83     0.08    -9999
JANG-BOGO  240608 3600 130000-140000   00     262.77  969.1    245.16     0.22    -9999
JANG-BOGO  240608 3600 140000-150000   00     262.45  969.3    245.18     0.23    -9999
JANG-BOGO  240608 3600 150000-160000   00     263.01  968.9    245.08     0.19    -9999
JANG-BOGO  240608 3600 160000-170000   00     262.82  968.6    244.24    -0.16    -9999
JANG-BOGO  240608 3600 170000-180000   00     264.34  968.8    246.00     0.56    -9999
JANG-BOGO  240608 3600 180000-190000   00     264.52  968.6    245.91     0.53    -9999
JANG-BOGO  240608 3600 190000-200000   00     264.73  968.8    246.29     0.68    -9999
JANG-BOGO  240608 3600 200000-210000   00     265.67  968.3    246.32     0.69    -9999
JANG-BOGO  240608 3600 210000-220000   00     265.57  968.1    245.83     0.49    -9999
JANG-BOGO  240608 3600 220000-230000   00     266.53  968.1    246.83     0.90    -9999
JANG-BOGO  240608 3600 230000-240000   00     266.44  967.6    245.70     0.44    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075JBGO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
