DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     16.31      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       240608 300  100000-100500   00      19.90  628.2     16.27    -0.27    -0.50
DOMC       240608 300  100500-101000   00      20.20  628.2     16.52     1.26     1.03
DOMC       240608 300  101000-101500   00      20.00  628.2     16.37     0.34     0.11
DOMC       240608 300  101500-102000   00      19.92  628.2     16.28    -0.17    -0.40
DOMC       240608 300  102000-102500   00      20.55  628.2     16.80     3.00     2.76
DOMC       240608 300  102500-103000   00      20.25  628.2     16.57     1.57     1.33
DOMC       240608 300  103000-103500   00      19.78  628.2     16.18    -0.78    -1.02
DOMC       240608 300  103500-104000   00      19.77  628.2     16.17    -0.89    -1.13
DOMC       240608 300  104000-104500   00      19.87  628.2     16.23    -0.48    -0.72
DOMC       240608 300  104500-105000   00      19.62  628.3     16.05    -1.60    -1.85
DOMC       240608 300  105000-105500   00      19.85  628.3     16.25    -0.37    -0.62
DOMC       240608 300  105500-110000   00      20.07  628.3     16.43     0.75     0.50
DOMC       240608 300  110000-110500   00      19.77  628.4     16.18    -0.78    -1.04
DOMC       240608 300  110500-111000   00      20.07  628.4     16.43     0.75     0.49
DOMC       240608 300  111000-111500   00      19.68  628.4     16.12    -1.19    -1.45
DOMC       240608 300  111500-112000   00      20.35  628.4     16.67     2.18     1.92
DOMC       240608 300  112000-112500   00      19.87  628.5     16.28    -0.17    -9999
DOMC       240608 300  112500-113000   00      19.90  628.5     16.32     0.03    -9999
DOMC       240608 300  113000-113500   00      19.88  628.4     16.28    -0.17    -9999
DOMC       240608 300  113500-114000   00      19.55  628.4     16.02    -1.81    -9999
DOMC       240608 300  114000-114500   00      19.78  628.4     16.22    -0.58    -9999
DOMC       240608 300  114500-115000   00      20.20  628.4     16.53     1.36    -9999
DOMC       240608 300  115000-115500   00      19.75  628.4     16.18    -0.78    -9999
DOMC       240608 300  115500-120000   00      19.92  628.5     16.32     0.03    -9999
DOMC       240608 3600 120000-130000   00      20.10  628.8     16.52     1.26    -9999
DOMC       240608 3600 130000-140000   00      19.77  629.1     16.28    -0.17    -9999
DOMC       240608 3600 140000-150000   00      19.83  629.4     16.37     0.34    -9999
DOMC       240608 3600 150000-160000   00      19.75  629.9     16.37     0.34    -9999
DOMC       240608 3600 160000-170000   00      19.68  630.5     16.38     0.44    -9999
DOMC       240608 3600 170000-180000   00      19.68  631.1     16.45     0.85    -9999
DOMC       240608 3600 180000-190000   00      19.47  631.9     16.37     0.34    -9999
DOMC       240608 3600 190000-200000   00      19.50  632.3     16.45     0.85    -9999
DOMC       240608 3600 200000-210000   00      19.33  632.5     16.35     0.24    -9999
DOMC       240608 3600 210000-220000   00      19.53  632.6     16.52     1.26    -9999
DOMC       240608 3600 220000-230000   00      19.35  633.0     16.42     0.65    -9999
DOMC       240608 3600 230000-240000   00      19.47  633.2     16.53     1.36    -9999
*
COMMENT DATA SOURCE: OULU | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075DOMC_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
