KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    999.75  MB     COEFFICIENT   -0.76     % / MB
KERGUELEN  240607 3600 190000-200000   00     187.14 1011.7    204.60    -1.13    -9999
KERGUELEN  240607 3600 200000-210000   00     189.32 1011.1    206.07    -0.42    -9999
KERGUELEN  240607 3600 210000-220000   00     189.35 1011.1    206.14    -0.39    -9999
KERGUELEN  240607 3600 220000-230000   00     190.59 1010.1    205.89    -0.51    -9999
KERGUELEN  240607 3600 230000-240000   00     191.30 1009.7    205.97    -0.47    -9999
KERGUELEN  240608 300  000000-000500   00     192.27 1009.1    206.19    -0.37    -0.49
KERGUELEN  240608 300  000500-001000   00     191.87 1009.2    205.84    -0.54    -0.64
KERGUELEN  240608 300  001000-001500   00     191.47 1009.4    205.78    -0.56    -0.66
KERGUELEN  240608 300  001500-002000   00     192.00 1009.4    206.27    -0.32    -0.41
KERGUELEN  240608 300  002000-002500   00     194.53 1009.4    209.08     1.03     0.96
KERGUELEN  240608 300  002500-003000   00     193.07 1009.4    207.46     0.25     0.19
KERGUELEN  240608 300  003000-003500   00     194.13 1009.5    208.69     0.84     0.79
KERGUELEN  240608 300  003500-004000   00     192.27 1009.5    206.73    -0.11    -0.15
KERGUELEN  240608 300  004000-004500   00     191.07 1009.5    205.48    -0.71    -0.74
KERGUELEN  240608 300  004500-005000   00     192.80 1009.5    207.34     0.19     0.17
KERGUELEN  240608 300  005000-005500   00     193.47 1009.5    208.06     0.54     0.53
KERGUELEN  240608 300  005500-010000   00     191.07 1009.7    205.77    -0.57    -0.57
KERGUELEN  240608 300  010000-010500   00     191.20 1009.6    205.75    -0.58    -0.57
KERGUELEN  240608 300  010500-011000   00     193.87 1009.4    208.36     0.69     0.71
KERGUELEN  240608 300  011000-011500   00     193.33 1009.5    207.83     0.43     0.46
KERGUELEN  240608 300  011500-012000   00     192.13 1009.5    206.67    -0.13    -0.10
KERGUELEN  240608 300  012000-012500   00     193.07 1009.6    207.80     0.41     0.46
KERGUELEN  240608 300  012500-013000   00     192.27 1009.8    207.23     0.14     0.19
KERGUELEN  240608 300  013000-013500   00     192.53 1009.7    207.39     0.21     0.28
KERGUELEN  240608 300  013500-014000   00     194.00 1009.8    209.14     1.06     1.13
KERGUELEN  240608 300  014000-014500   00     193.20 1009.9    208.32     0.66     0.75
KERGUELEN  240608 300  014500-015000   00     190.40 1009.9    205.38    -0.75    -0.66
KERGUELEN  240608 300  015000-015500   00     190.53 1009.7    205.19    -0.85    -0.75
KERGUELEN  240608 300  015500-020000   00     190.53 1009.5    204.95    -0.97    -0.86
KERGUELEN  240608 300  020000-020500   00     188.27 1009.4    202.31    -2.24    -2.13
KERGUELEN  240608 300  020500-021000   00     192.40 1009.3    206.58    -0.18    -0.06
KERGUELEN  240608 300  021000-021500   00     189.73 1009.2    203.59    -1.62    -1.49
KERGUELEN  240608 300  021500-022000   00     192.40 1009.2    206.41    -0.26    -0.12
KERGUELEN  240608 300  022000-022500   00     192.00 1009.2    205.98    -0.47    -0.32
KERGUELEN  240608 300  022500-023000   00     194.00 1009.1    208.04     0.53     0.68
KERGUELEN  240608 300  023000-023500   00     192.13 1009.3    206.29    -0.32    -0.16
KERGUELEN  240608 300  023500-024000   00     193.73 1009.3    208.05     0.53     0.70
KERGUELEN  240608 300  024000-024500   00     193.87 1009.2    207.94     0.48     0.65
KERGUELEN  240608 300  024500-025000   00     196.00 1008.8    209.68     1.32     1.49
KERGUELEN  240608 300  025000-025500   00     191.87 1008.9    205.42    -0.74    -0.56
KERGUELEN  240608 300  025500-030000   00     192.53 1009.2    206.51    -0.21    -0.02
KERGUELEN  240608 300  030000-030500   00     193.47 1009.3    207.77     0.40     0.59
KERGUELEN  240608 300  030500-031000   00     190.67 1009.4    204.93    -0.98    -0.78
KERGUELEN  240608 300  031000-031500   00     191.07 1009.6    205.56    -0.67    -0.47
KERGUELEN  240608 300  031500-032000   00     192.93 1009.5    207.40     0.22     0.43
KERGUELEN  240608 300  032000-032500   00     192.67 1009.2    206.66    -0.14     0.07
KERGUELEN  240608 300  032500-033000   00     195.87 1009.0    209.84     1.40     1.61
KERGUELEN  240608 300  033000-033500   00     191.87 1009.0    205.51    -0.70    -0.48
KERGUELEN  240608 300  033500-034000   00     194.00 1008.9    207.58     0.31     0.53
KERGUELEN  240608 300  034000-034500   00     191.20 1008.8    204.54    -1.16    -0.93
KERGUELEN  240608 300  034500-035000   00     193.20 1008.7    206.48    -0.23     0.00
KERGUELEN  240608 300  035000-035500   00     193.33 1008.7    206.66    -0.14     0.10
KERGUELEN  240608 300  035500-040000   00     192.93 1009.2    206.94     0.00     0.24
KERGUELEN  240608 300  040000-040500   00     192.40 1009.4    206.75    -0.10     0.14
KERGUELEN  240608 300  040500-041000   00     191.87 1009.4    206.22    -0.35    -0.11
KERGUELEN  240608 300  041000-041500   00     191.33 1009.4    205.64    -0.63    -0.38
KERGUELEN  240608 300  041500-042000   00     192.93 1009.5    207.40     0.22     0.47
KERGUELEN  240608 300  042000-042500   00     189.47 1009.6    203.92    -1.46    -1.21
KERGUELEN  240608 300  042500-043000   00     194.00 1009.6    208.80     0.90     1.15
KERGUELEN  240608 300  043000-043500   00     193.73 1009.5    208.35     0.68     0.94
KERGUELEN  240608 300  043500-044000   00     194.00 1009.4    208.42     0.71     0.97
KERGUELEN  240608 300  044000-044500   00     192.13 1009.3    206.33    -0.30    -0.03
KERGUELEN  240608 300  044500-045000   00     191.73 1009.3    205.82    -0.54    -0.28
KERGUELEN  240608 300  045000-045500   00     192.67 1009.3    206.91    -0.02     0.24
KERGUELEN  240608 300  045500-050000   00     192.53 1009.6    207.14     0.09     0.36
KERGUELEN  240608 300  050000-050500   00     191.20 1009.7    205.95    -0.48    -0.21
KERGUELEN  240608 300  050500-051000   00     189.87 1009.6    204.35    -1.25    -0.99
KERGUELEN  240608 300  051000-051500   00     192.40 1009.5    206.91    -0.02     0.25
KERGUELEN  240608 300  051500-052000   00     188.27 1009.3    202.14    -2.32    -2.05
KERGUELEN  240608 300  052000-052500   00     191.60 1009.1    205.47    -0.71    -0.44
KERGUELEN  240608 300  052500-053000   00     191.73 1009.4    205.95    -0.48    -0.21
KERGUELEN  240608 300  053000-053500   00     191.87 1009.5    206.34    -0.29    -0.02
KERGUELEN  240608 300  053500-054000   00     190.00 1009.5    204.25    -1.30    -1.03
KERGUELEN  240608 300  054000-054500   00     192.80 1009.5    207.30     0.17     0.44
KERGUELEN  240608 300  054500-055000   00     190.27 1009.4    204.41    -1.22    -0.96
KERGUELEN  240608 300  055000-055500   00     194.27 1009.4    208.75     0.87     1.14
KERGUELEN  240608 300  055500-060000   00     192.93 1009.4    207.36     0.20     0.47
KERGUELEN  240608 300  060000-060500   00     191.87 1009.4    206.17    -0.37    -0.11
KERGUELEN  240608 300  060500-061000   00     190.13 1009.4    204.27    -1.29    -1.03
KERGUELEN  240608 300  061000-061500   00     193.47 1009.4    207.81     0.42     0.68
KERGUELEN  240608 300  061500-062000   00     192.40 1009.3    206.54    -0.20     0.06
KERGUELEN  240608 300  062000-062500   00     193.47 1009.3    207.68     0.36     0.61
KERGUELEN  240608 300  062500-063000   00     192.93 1009.1    206.90    -0.02     0.23
KERGUELEN  240608 300  063000-063500   00     192.67 1009.1    206.62    -0.16     0.10
KERGUELEN  240608 300  063500-064000   00     192.93 1009.0    206.61    -0.16     0.09
KERGUELEN  240608 300  064000-064500   00     192.27 1008.9    205.73    -0.59    -0.34
KERGUELEN  240608 300  064500-065000   00     193.73 1008.8    207.17     0.11     0.36
KERGUELEN  240608 300  065000-065500   00     192.93 1008.8    206.32    -0.30    -0.06
KERGUELEN  240608 300  065500-070000   00     191.60 1008.6    204.68    -1.09    -0.85
KERGUELEN  240608 300  070000-070500   00     192.53 1008.6    205.64    -0.63    -0.39
KERGUELEN  240608 300  070500-071000   00     193.73 1008.5    206.71    -0.11     0.12
KERGUELEN  240608 300  071000-071500   00     195.60 1008.2    208.32     0.67     0.90
KERGUELEN  240608 300  071500-072000   00     194.27 1008.1    206.74    -0.10     0.13
KERGUELEN  240608 300  072000-072500   00     194.27 1008.1    206.74    -0.10     0.12
KERGUELEN  240608 300  072500-073000   00     192.93 1008.3    205.65    -0.63    -0.41
KERGUELEN  240608 300  073000-073500   00     193.07 1008.4    205.92    -0.50    -0.28
KERGUELEN  240608 300  073500-074000   00     194.80 1008.3    207.56     0.30     0.51
KERGUELEN  240608 300  074000-074500   00     193.47 1008.3    206.09    -0.41    -0.21
KERGUELEN  240608 300  074500-075000   00     194.13 1008.3    206.80    -0.07     0.13
KERGUELEN  240608 300  075000-075500   00     195.73 1008.2    208.47     0.73     0.93
KERGUELEN  240608 300  075500-080000   00     194.80 1008.2    207.39     0.21     0.40
KERGUELEN  240608 300  080000-080500   00     193.87 1008.2    206.48    -0.23    -0.04
KERGUELEN  240608 300  080500-081000   00     193.87 1008.3    206.52    -0.21    -0.03
KERGUELEN  240608 300  081000-081500   00     192.53 1008.4    205.31    -0.79    -0.62
KERGUELEN  240608 300  081500-082000   00     194.93 1008.5    208.08     0.55     0.71
KERGUELEN  240608 300  082000-082500   00     196.13 1008.4    209.19     1.08     1.25
KERGUELEN  240608 300  082500-083000   00     192.40 1008.4    205.16    -0.86    -0.71
KERGUELEN  240608 300  083000-083500   00     192.27 1008.2    204.69    -1.09    -0.94
KERGUELEN  240608 300  083500-084000   00     196.00 1008.0    208.41     0.71     0.85
KERGUELEN  240608 300  084000-084500   00     194.53 1008.0    206.77    -0.09     0.05
KERGUELEN  240608 300  084500-085000   00     195.87 1007.9    208.02     0.52     0.65
KERGUELEN  240608 300  085000-085500   00     192.53 1007.8    204.40    -1.23    -1.11
KERGUELEN  240608 300  085500-090000   00     193.87 1007.7    205.69    -0.61    -0.49
KERGUELEN  240608 300  090000-090500   00     191.20 1007.9    203.06    -1.88    -1.77
KERGUELEN  240608 300  090500-091000   00     193.33 1007.8    205.21    -0.84    -0.74
KERGUELEN  240608 300  091000-091500   00     194.13 1007.7    205.93    -0.49    -0.40
KERGUELEN  240608 300  091500-092000   00     194.13 1007.9    206.22    -0.35    -0.27
KERGUELEN  240608 300  092000-092500   00     191.87 1007.7    203.52    -1.65    -1.58
KERGUELEN  240608 300  092500-093000   00     192.53 1007.6    204.06    -1.39    -1.33
KERGUELEN  240608 300  093000-093500   00     195.60 1007.6    207.32     0.18     0.24
KERGUELEN  240608 300  093500-094000   00     193.47 1007.5    204.97    -0.95    -0.91
KERGUELEN  240608 300  094000-094500   00     193.07 1007.5    204.55    -1.16    -1.12
KERGUELEN  240608 300  094500-095000   00     195.60 1007.5    207.19     0.12     0.15
KERGUELEN  240608 300  095000-095500   00     194.67 1007.4    206.04    -0.44    -0.42
KERGUELEN  240608 300  095500-100000   00     192.67 1007.4    203.84    -1.50    -1.49
KERGUELEN  240608 300  100000-100500   00     192.80 1007.2    203.81    -1.51    -1.51
KERGUELEN  240608 300  100500-101000   00     194.93 1007.3    206.15    -0.38    -0.39
KERGUELEN  240608 300  101000-101500   00     191.87 1007.3    202.91    -1.95    -1.97
KERGUELEN  240608 300  101500-102000   00     193.20 1007.3    204.28    -1.29    -1.32
KERGUELEN  240608 300  102000-102500   00     192.67 1007.1    203.47    -1.68    -1.72
KERGUELEN  240608 300  102500-103000   00     194.93 1007.1    205.86    -0.52    -0.58
KERGUELEN  240608 300  103000-103500   00     194.53 1007.1    205.48    -0.71    -0.77
KERGUELEN  240608 300  103500-104000   00     194.67 1007.1    205.58    -0.66    -0.73
KERGUELEN  240608 300  104000-104500   00     192.67 1007.2    203.59    -1.62    -1.71
KERGUELEN  240608 300  104500-105000   00     193.87 1007.1    204.65    -1.11    -1.20
KERGUELEN  240608 300  105000-105500   00     193.47 1007.0    204.06    -1.39    -1.50
KERGUELEN  240608 300  105500-110000   00     194.13 1006.8    204.56    -1.15    -1.27
KERGUELEN  240608 300  110000-110500   00     191.87 1006.8    202.13    -2.33    -2.46
KERGUELEN  240608 300  110500-111000   00     194.27 1006.7    204.50    -1.18    -1.33
KERGUELEN  240608 300  111000-111500   00     193.33 1006.8    203.76    -1.54    -1.69
KERGUELEN  240608 300  111500-112000   00     194.53 1006.8    204.90    -0.99    -1.16
KERGUELEN  240608 300  112000-112500   00     193.20 1006.8    203.54    -1.65    -9999
KERGUELEN  240608 300  112500-113000   00     194.40 1006.7    204.72    -1.08    -9999
KERGUELEN  240608 300  113000-113500   00     196.67 1006.7    207.06     0.06    -9999
KERGUELEN  240608 300  113500-114000   00     196.40 1006.8    206.95     0.00    -9999
KERGUELEN  240608 300  114000-114500   00     193.47 1006.7    203.61    -1.61    -9999
KERGUELEN  240608 300  114500-115000   00     194.80 1006.7    205.06    -0.91    -9999
KERGUELEN  240608 300  115000-115500   00     193.60 1006.7    203.79    -1.52    -9999
KERGUELEN  240608 300  115500-120000   00     192.80 1006.7    202.91    -1.95    -9999
KERGUELEN  240608 3600 120000-130000   00     195.83 1006.2    205.35    -0.77    -9999
KERGUELEN  240608 3600 130000-140000   00     195.49 1005.9    204.56    -1.15    -9999
KERGUELEN  240608 3600 140000-150000   00     196.03 1005.6    204.72    -1.07    -9999
KERGUELEN  240608 3600 150000-160000   00     193.94 1005.9    202.98    -1.92    -9999
KERGUELEN  240608 3600 160000-170000   00     194.71 1005.8    203.59    -1.62    -9999
KERGUELEN  240608 3600 170000-180000   00     194.24 1005.8    203.18    -1.82    -9999
KERGUELEN  240608 3600 180000-190000   00     194.78 1005.6    203.30    -1.76    -9999
KERGUELEN  240608 3600 190000-200000   00     195.58 1005.6    204.24    -1.31    -9999
KERGUELEN  240608 3600 200000-210000   00     196.78 1004.9    204.32    -1.27    -9999
KERGUELEN  240608 3600 210000-220000   00     197.48 1004.8    204.96    -0.96    -9999
KERGUELEN  240608 3600 220000-230000   00     198.61 1004.6    205.79    -0.56    -9999
KERGUELEN  240608 3600 230000-240000   00     197.87 1004.6    205.01    -0.93    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075KERG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
