NEWARK     LATITUDE    39.68     LONGITUDE     -75.75    ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR
NEWARK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.735    % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     87.67      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     240608 300  084000-084500   00      95.42 1002.3     87.71     0.05     0.05
NEWARK     240608 300  084500-085000   00      95.35 1002.3     87.67     0.00     0.00
NEWARK     240608 300  085000-085500   00      94.81 1002.3     87.17    -0.57    -0.57
NEWARK     240608 300  085500-090000   00      95.71 1002.3     88.00     0.38     0.38
NEWARK     240608 300  090000-090500   00      97.29 1002.3     89.46     2.05     2.05
NEWARK     240608 300  090500-091000   00      95.66 1002.3     87.98     0.35     0.35
NEWARK     240608 300  091000-091500   00      94.29 1002.4     86.76    -1.04    -1.04
NEWARK     240608 300  091500-092000   00      96.01 1002.4     88.34     0.77     0.77
NEWARK     240608 300  092000-092500   00      95.73 1002.4     88.08     0.47     0.47
NEWARK     240608 300  092500-093000   00      96.03 1002.5     88.40     0.84     0.84
NEWARK     240608 300  093000-093500   00      94.05 1002.5     86.60    -1.22    -1.22
NEWARK     240608 300  093500-094000   00      95.38 1002.6     87.89     0.25     0.25
NEWARK     240608 300  094000-094500   00      96.14 1002.7     88.65     1.12     1.12
NEWARK     240608 300  094500-095000   00      94.08 1002.8     86.79    -1.00    -1.00
NEWARK     240608 300  095000-095500   00      96.42 1002.8     88.99     1.51     1.51
NEWARK     240608 300  095500-100000   00      95.21 1002.8     87.86     0.22     0.22
NEWARK     240608 300  100000-100500   00      94.89 1002.8     87.55    -0.14    -0.14
