MIRNY      LATITUDE    -66.55    LONGITUDE     93.02     ALTITUDE    30 M
MIRNY      INSTRUMENT   12NM64    NEUTRON MONITOR
MIRNY      STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.73     % / MB
MIRNY      PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
MIRNY      PRE-INCREASE AVERAGE COUNTING RATE    108.64      COUNTS PER SECOND
MIRNY      TIME INTERVALS    300         3600     
MIRNY      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MIRNY      240608 300  072000-072500   00     118.18  990.3    110.00     1.25     1.11
MIRNY      240608 300  072500-073000   00     116.78  990.2    108.63     0.00    -0.15
MIRNY      240608 300  073000-073500   00     116.90  990.1    108.65     0.01    -0.13
MIRNY      240608 300  073500-074000   00     116.35  990.0    108.03    -0.56    -0.70
MIRNY      240608 300  074000-074500   00     116.58  990.0    108.25    -0.36    -0.51
MIRNY      240608 300  074500-075000   00     117.08  989.9    108.63     0.00    -0.15
MIRNY      240608 300  075000-075500   00     116.03  989.8    107.58    -0.97    -1.12
MIRNY      240608 300  075500-080000   00     118.58  989.8    109.98     1.24     1.09
MIRNY      240608 300  080000-080500   00     118.80  989.8    110.15     1.39     1.24
MIRNY      240608 300  080500-081000   00     117.92  989.7    109.25     0.56     0.41
MIRNY      240608 300  081000-081500   00     117.33  989.7    108.75     0.10    -0.05
MIRNY      240608 300  081500-082000   00     116.55  989.7    108.02    -0.57    -0.73
MIRNY      240608 300  082000-082500   00     117.57  989.7    108.93     0.27     0.11
MIRNY      240608 300  082500-083000   00     118.17  989.8    109.53     0.83     0.66
MIRNY      240608 300  083000-083500   00     117.22  989.8    108.67     0.03    -0.14
MIRNY      240608 300  083500-084000   00     117.57  989.8    108.98     0.32     0.15
MIRNY      240608 300  084000-084500   00     115.92  989.7    107.40    -1.14    -1.31
MIRNY      240608 300  084500-085000   00     116.22  989.6    107.58    -0.97    -1.14
MIRNY      240608 300  085000-085500   00     115.92  989.5    107.25    -1.28    -1.45
MIRNY      240608 300  085500-090000   00     118.30  989.6    109.52     0.81     0.64
MIRNY      240608 300  090000-090500   00     117.75  989.6    109.02     0.35     0.17
MIRNY      240608 300  090500-091000   00     117.05  989.6    108.42    -0.20    -0.38
MIRNY      240608 300  091000-091500   00     119.27  989.6    110.47     1.68     1.51
MIRNY      240608 300  091500-092000   00     116.37  989.5    107.65    -0.91    -1.09
MIRNY      240608 300  092000-092500   00     119.22  989.3    110.18     1.42     1.24
MIRNY      240608 300  092500-093000   00     117.55  989.3    108.62    -0.02    -0.20
MIRNY      240608 300  093000-093500   00     118.57  989.3    109.53     0.83     0.64
MIRNY      240608 300  093500-094000   00     117.80  989.2    108.77     0.12    -0.07
MIRNY      240608 300  094000-094500   00     117.87  989.1    108.73     0.09    -0.10
MIRNY      240608 300  094500-095000   00     116.77  989.0    107.67    -0.89    -1.08
MIRNY      240608 300  095000-095500   00     119.55  988.9    110.12     1.36     1.17
MIRNY      240608 300  095500-100000   00     118.13  988.8    108.78     0.13    -0.06
MIRNY      240608 300  100000-100500   00     116.23  988.7    106.93    -1.57    -1.76
MIRNY      240608 300  100500-101000   00     117.65  988.6    108.12    -0.48    -0.68
MIRNY      240608 300  101000-101500   00     118.45  988.5    108.80     0.15    -0.05
MIRNY      240608 300  101500-102000   00     118.67  988.3    108.82     0.17    -0.03
MIRNY      240608 300  102000-102500   00     118.02  988.3    108.20    -0.40    -0.60
MIRNY      240608 300  102500-103000   00     117.52  988.2    107.70    -0.86    -1.07
MIRNY      240608 300  103000-103500   00     118.60  988.1    108.60    -0.03    -0.24
MIRNY      240608 300  103500-104000   00     120.28  988.0    110.08     1.33     1.12
