JANG BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG BOGO  PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JANG BOGO  PRE-INCREASE AVERAGE COUNTING RATE    223.10      COUNTS PER SECOND
JANG BOGO  TIME INTERVALS    300         3600     
JANG BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG BOGO  240511 300  074000-074500   00     216.00  983.3    223.95     0.38    -0.86
JANG BOGO  240511 300  074500-075000   00     219.25  983.3    227.15     1.82     0.57
JANG BOGO  240511 300  075000-075500   00     217.60  983.3    225.53     1.09    -0.15
JANG BOGO  240511 300  075500-080000   00     219.70  983.3    227.60     2.02     0.78
JANG BOGO  240511 300  080000-080500   00     219.48  983.1    227.20     1.84     0.60
JANG BOGO  240511 300  080500-081000   00     222.50  983.0    230.20     3.18     1.94
JANG BOGO  240511 300  081000-081500   00     215.15  983.1    222.80    -0.13    -1.37
JANG BOGO  240511 300  081500-082000   00     215.45  983.0    222.85    -0.11    -1.34
JANG BOGO  240511 300  082000-082500   00     218.57  982.9    225.93     1.27     0.04
JANG BOGO  240511 300  082500-083000   00     217.07  982.9    224.20     0.49    -0.73
JANG BOGO  240511 300  083000-083500   00     221.40  982.7    228.60     2.47     1.24
JANG BOGO  240511 300  083500-084000   00     219.80  982.6    226.77     1.65     0.42
JANG BOGO  240511 300  084000-084500   00     220.20  982.6    227.10     1.79     0.57
JANG BOGO  240511 300  084500-085000   00     221.15  982.5    228.00     2.20     0.98
JANG BOGO  240511 300  085000-085500   00     219.10  982.5    225.70     1.17    -0.05
JANG BOGO  240511 300  085500-090000   00     219.65  982.3    226.10     1.35     0.13
JANG BOGO  240511 300  090000-090500   00     221.50  982.3    228.00     2.20     0.99
JANG BOGO  240511 300  090500-091000   00     215.07  982.3    221.23    -0.84    -2.03
JANG BOGO  240511 300  091000-091500   00     219.25  982.3    225.60     1.12    -0.08
JANG BOGO  240511 300  091500-092000   00     218.50  982.2    224.70     0.72    -0.47
JANG BOGO  240511 300  092000-092500   00     216.65  982.2    222.70    -0.18    -1.36
JANG BOGO  240511 300  092500-093000   00     218.90  982.1    224.90     0.81    -0.37
JANG BOGO  240511 300  093000-093500   00     216.20  982.1    222.15    -0.42    -1.60
JANG BOGO  240511 300  093500-094000   00     216.60  982.1    222.40    -0.31    -1.48
JANG BOGO  240511 300  094000-094500   00     217.40  981.9    223.00    -0.04    -1.21
JANG BOGO  240511 300  094500-095000   00     217.53  981.9    223.17     0.03    -1.13
JANG BOGO  240511 300  095000-095500   00     218.65  981.8    224.25     0.52    -0.63
JANG BOGO  240511 300  095500-100000   00     219.40  981.7    224.80     0.76    -0.38
JANG BOGO  240511 300  100000-100500   00     218.83  981.7    224.10     0.45    -0.69
JANG BOGO  240511 300  100500-101000   00     218.87  981.5    224.00     0.41    -0.73
JANG BOGO  240511 300  101000-101500   00     218.90  981.5    223.88     0.35    -0.77
JANG BOGO  240511 300  101500-102000   00     223.50  981.4    228.57     2.45     1.33
JANG BOGO  240511 300  102000-102500   00     218.45  981.4    223.35     0.11    -0.99
JANG BOGO  240511 300  102500-103000   00     222.93  981.4    227.77     2.09     0.99
JANG BOGO  240511 300  103000-103500   00     220.75  981.3    225.50     1.08    -0.01
JANG BOGO  240511 300  103500-104000   00     221.97  981.2    226.60     1.57     0.49
JANG BOGO  240511 300  104000-104500   00     218.75  981.1    223.23     0.06    -1.01
JANG BOGO  240511 300  104500-105000   00     219.60  981.1    223.93     0.38    -0.69
JANG BOGO  240511 300  105000-105500   00     220.77  981.1    225.10     0.90    -0.16
JANG BOGO  240511 300  105500-110000   00     220.70  981.0    224.95     0.83    -0.21
JANG BOGO  240511 300  110000-110500   00     221.80  980.9    225.95     1.28     0.24
JANG BOGO  240511 300  110500-111000   00     217.20  980.9    221.25    -0.83    -1.85
JANG BOGO  240511 300  111000-111500   00     223.55  980.9    227.60     2.02     1.00
JANG BOGO  240511 300  111500-112000   00     220.57  980.7    224.43     0.60    -0.40
JANG BOGO  240511 300  112000-112500   00     222.88  980.7    226.68     1.60     0.61
JANG BOGO  240511 300  112500-113000   00     221.60  980.7    225.25     0.97    -0.02
JANG BOGO  240511 300  113000-113500   00     225.30  980.5    228.85     2.58     1.61
JANG BOGO  240511 300  113500-114000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  114000-114500   00     223.55  980.5    226.85     1.68     0.73
JANG BOGO  240511 300  114500-115000   00     221.30  980.3    224.50     0.63    -0.30
JANG BOGO  240511 300  115000-115500   00     224.10  980.3    227.30     1.88     0.96
JANG BOGO  240511 300  115500-120000   00     226.40  980.3    229.60     2.92     2.00
JANG BOGO  240511 300  120000-120500   00     225.07  980.3    228.20     2.29     1.39
JANG BOGO  240511 300  120500-121000   00     224.70  980.3    227.75     2.09     1.20
JANG BOGO  240511 300  121000-121500   00     224.90  980.2    227.85     2.13     1.26
JANG BOGO  240511 300  121500-122000   00     223.93  980.1    226.70     1.62     0.76
JANG BOGO  240511 300  122000-122500   00     225.18  980.1    227.85     2.13     1.29
JANG BOGO  240511 300  122500-123000   00     223.23  980.0    225.83     1.22     0.40
JANG BOGO  240511 300  123000-123500   00     224.28  980.0    226.88     1.69     0.88
JANG BOGO  240511 300  123500-124000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  124000-124500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  124500-125000   00     225.55  979.9    228.05     2.22     1.45
JANG BOGO  240511 300  125000-125500   00     222.90  979.9    225.35     1.01     0.26
JANG BOGO  240511 300  125500-130000   00     217.50  979.9    219.80    -1.48    -2.21
JANG BOGO  240511 300  130000-130500   00     220.10  979.7    222.10    -0.45    -1.16
JANG BOGO  240511 300  130500-131000   00     222.16  979.7    224.18     0.49    -0.22
JANG BOGO  240511 300  131000-131500   00     221.44  979.6    223.36     0.12    -0.57
JANG BOGO  240511 300  131500-132000   00     222.70  979.6    224.60     0.67     0.01
JANG BOGO  240511 300  132000-132500   00     220.37  979.6    222.23    -0.39    -1.04
JANG BOGO  240511 300  132500-133000   00     220.83  979.5    222.60    -0.22    -0.85
JANG BOGO  240511 300  133000-133500   00     222.05  979.5    223.88     0.35    -0.27
JANG BOGO  240511 300  133500-134000   00     219.00  979.4    220.70    -1.07    -1.67
JANG BOGO  240511 300  134000-134500   00     217.30  979.4    218.85    -1.90    -2.48
JANG BOGO  240511 300  134500-135000   00     221.40  979.3    222.85    -0.11    -0.67
JANG BOGO  240511 300  135000-135500   00     223.13  979.3    224.50     0.63     0.08
JANG BOGO  240511 300  135500-140000   00     216.30  979.2    217.45    -2.53    -3.05
JANG BOGO  240511 300  140000-140500   00     221.30  979.1    222.43    -0.30    -9999
JANG BOGO  240511 300  140500-141000   00     225.28  979.0    226.25     1.41    -9999
JANG BOGO  240511 300  141000-141500   00     220.40  978.9    221.17    -0.86    -9999
JANG BOGO  240511 300  141500-142000   00     229.60  978.9    230.30     3.23    -9999
JANG BOGO  240511 300  142000-142500   00     222.60  978.9    223.20     0.05    -9999
JANG BOGO  240511 300  142500-143000   00     226.53  978.7    227.13     1.81    -9999
JANG BOGO  240511 300  143000-143500   00     225.20  978.7    225.70     1.17    -9999
JANG BOGO  240511 300  143500-144000   00     222.80  978.7    223.23     0.06    -9999
JANG BOGO  240511 300  144000-144500   00     223.30  978.6    223.70     0.27    -9999
JANG BOGO  240511 300  144500-145000   00     220.15  978.6    220.50    -1.16    -9999
JANG BOGO  240511 300  145000-145500   00     222.55  978.6    222.80    -0.13    -9999
JANG BOGO  240511 300  145500-150000   00     223.83  978.6    224.13     0.46    -9999
JANG BOGO  240511 300  150000-150500   00     221.77  978.6    221.97    -0.51    -9999
JANG BOGO  240511 300  150500-151000   00     223.03  978.5    223.20     0.05    -9999
JANG BOGO  240511 300  151000-151500   00     225.70  978.5    225.90     1.26    -9999
JANG BOGO  240511 300  151500-152000   00     225.28  978.5    225.40     1.03    -9999
JANG BOGO  240511 300  152000-152500   00     224.73  978.4    224.73     0.73    -9999
JANG BOGO  240511 300  152500-153000   00     221.65  978.3    221.55    -0.69    -9999
JANG BOGO  240511 300  153000-153500   00     224.17  978.3    223.93     0.38    -9999
JANG BOGO  240511 300  153500-154000   00     225.70  978.3    225.43     1.05    -9999
JANG BOGO  240511 300  154000-154500   00     224.47  978.1    224.00     0.41    -9999
JANG BOGO  240511 300  154500-155000   00     224.05  978.1    223.38     0.13    -9999
JANG BOGO  240511 300  155000-155500   00     229.35  978.1    228.60     2.47    -9999
JANG BOGO  240511 300  155500-160000   00     220.87  977.9    220.10    -1.34    -9999
JANG BOGO  240511 3600 160000-170000   00     226.44  977.9    225.50     1.08    -9999
JANG BOGO  240511 3600 170000-180000   00     227.29  977.5    225.82     1.22    -9999
JANG BOGO  240511 3600 180000-190000   00     228.14  977.2    226.13     1.36    -9999
JANG BOGO  240511 3600 190000-200000   00     228.26  976.9    225.69     1.16    -9999
