MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.71     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    205.31      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 240511 300  041500-042000   00     212.94  775.1    207.60     1.11    -9999
MEXICOCITY 240511 300  042000-042500   00     213.39  775.1    208.04     1.33    -9999
MEXICOCITY 240511 300  042500-043000   00     210.90  775.1    205.61     0.15    -9999
MEXICOCITY 240511 300  043000-043500   00     212.37  775.1    207.04     0.84    -9999
MEXICOCITY 240511 300  043500-044000   00     215.24  775.1    209.84     2.20    -9999
MEXICOCITY 240511 300  044000-044500   00     213.97  775.1    208.60     1.60    -9999
MEXICOCITY 240511 300  044500-045000   00     211.52  775.1    206.22     0.44    -9999
MEXICOCITY 240511 300  045000-045500   00     209.59  775.1    204.33    -0.48    -9999
MEXICOCITY 240511 300  045500-050000   00     210.99  775.1    205.70     0.19    -9999
MEXICOCITY 240511 300  050000-050500   00     209.77  775.1    204.50    -0.39    -9999
MEXICOCITY 240511 300  050500-051000   00     210.12  775.1    204.91    -0.20    -9999
MEXICOCITY 240511 300  051000-051500   00     209.89  775.2    204.77    -0.26    -9999
MEXICOCITY 240511 300  051500-052000   00     211.39  775.2    206.23     0.45    -9999
MEXICOCITY 240511 300  052000-052500   00     212.20  775.2    207.03     0.84    -9999
MEXICOCITY 240511 300  052500-053000   00     213.74  775.2    208.53     1.57    -9999
MEXICOCITY 240511 300  053000-053500   00     211.85  775.2    206.69     0.67    -9999
MEXICOCITY 240511 300  053500-054000   00     214.87  775.2    209.63     2.10    -9999
MEXICOCITY 240511 300  054000-054500   00     212.02  775.2    206.85     0.75    -9999
MEXICOCITY 240511 300  054500-055000   00     213.08  775.1    207.77     1.20    -9999
MEXICOCITY 240511 300  055000-055500   00     211.73  775.1    206.42     0.54    -9999
MEXICOCITY 240511 300  055500-060000   00     213.94  775.1    208.51     1.56    -9999
MEXICOCITY 240511 300  060000-060500   00     208.65  775.0    203.27    -1.00    -9999
MEXICOCITY 240511 300  060500-061000   00     211.94  774.9    206.36     0.51    -9999
MEXICOCITY 240511 300  061000-061500   00     210.11  774.9    204.57    -0.36    -9999
MEXICOCITY 240511 300  061500-062000   00     208.98  774.9    203.50    -0.88    -9999
MEXICOCITY 240511 300  062000-062500   00     209.98  774.9    204.45    -0.42    -9999
MEXICOCITY 240511 300  062500-063000   00     213.65  774.9    208.05     1.33    -9999
MEXICOCITY 240511 300  063000-063500   00     210.07  775.0    204.63    -0.33    -9999
MEXICOCITY 240511 300  063500-064000   00     210.65  774.9    205.07    -0.12    -9999
MEXICOCITY 240511 300  064000-064500   00     212.01  774.9    206.40     0.53    -9999
MEXICOCITY 240511 300  064500-065000   00     211.68  774.9    206.07     0.37    -9999
MEXICOCITY 240511 300  065000-065500   00     210.08  774.9    204.51    -0.39    -9999
MEXICOCITY 240511 300  065500-070000   00     213.41  774.9    207.70     1.16    -9999
MEXICOCITY 240511 300  070000-070500   00     211.07  774.8    205.33     0.01    -9999
MEXICOCITY 240511 300  070500-071000   00     211.72  774.7    205.85     0.26    -9999
MEXICOCITY 240511 300  071000-071500   00     212.45  774.7    206.53     0.59    -9999
MEXICOCITY 240511 300  071500-072000   00     212.77  774.6    206.72     0.69    -9999
