SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    108.93      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 240511 300  051500-052000   00     124.24  670.8    116.08     6.56     4.85
SOPO-6NM64 240511 300  052000-052500   00     124.44  670.8    116.26     6.73     4.99
SOPO-6NM64 240511 300  052500-053000   00     123.99  670.7    115.81     6.32     4.57
SOPO-6NM64 240511 300  053000-053500   00     125.20  670.7    116.94     7.36     5.58
SOPO-6NM64 240511 300  053500-054000   00     124.04  670.8    115.90     6.40     4.61
SOPO-6NM64 240511 300  054000-054500   00     124.33  670.8    116.19     6.66     4.85
SOPO-6NM64 240511 300  054500-055000   00     124.56  670.8    116.39     6.84     5.01
SOPO-6NM64 240511 300  055000-055500   00     124.82  670.8    116.62     7.06     5.21
SOPO-6NM64 240511 300  055500-060000   00     124.60  670.7    116.39     6.85     4.98
SOPO-6NM64 240511 300  060000-060500   00     124.22  670.7    116.01     6.49     4.61
SOPO-6NM64 240511 300  060500-061000   00     123.22  670.7    115.09     5.66     3.75
SOPO-6NM64 240511 300  061000-061500   00     123.15  670.7    115.01     5.58     3.65
SOPO-6NM64 240511 300  061500-062000   00     125.06  670.7    116.79     7.21     5.27
SOPO-6NM64 240511 300  062000-062500   00     124.99  670.7    116.70     7.13     5.17
SOPO-6NM64 240511 300  062500-063000   00     125.57  670.6    117.19     7.58     5.60
SOPO-6NM64 240511 300  063000-063500   00     124.15  670.6    115.86     6.36     4.36
SOPO-6NM64 240511 300  063500-064000   00     125.52  670.6    117.15     7.54     5.53
SOPO-6NM64 240511 300  064000-064500   00     125.32  670.6    116.98     7.39     5.36
SOPO-6NM64 240511 300  064500-065000   00     124.84  670.6    116.52     6.97     4.92
SOPO-6NM64 240511 300  065000-065500   00     125.11  670.6    116.76     7.19     5.12
SOPO-6NM64 240511 300  065500-070000   00     124.21  670.6    115.93     6.42     4.34
SOPO-6NM64 240511 300  070000-070500   00     124.79  670.6    116.42     6.88     4.78
SOPO-6NM64 240511 300  070500-071000   00     125.41  670.6    116.99     7.40     5.28
SOPO-6NM64 240511 300  071000-071500   00     125.50  670.5    117.04     7.44     5.31
SOPO-6NM64 240511 300  071500-072000   00     124.36  670.5    116.00     6.49     4.34
SOPO-6NM64 240511 300  072000-072500   00     124.66  670.5    116.27     6.73     4.57
SOPO-6NM64 240511 300  072500-073000   00     124.78  670.5    116.33     6.79     4.61
SOPO-6NM64 240511 300  073000-073500   00     126.33  670.4    117.70     8.05     5.85
SOPO-6NM64 240511 300  073500-074000   00     125.30  670.3    116.71     7.14     4.92
SOPO-6NM64 240511 300  074000-074500   00     124.23  670.3    115.69     6.21     3.98
SOPO-6NM64 240511 300  074500-075000   00     126.14  670.3    117.49     7.86     5.61
SOPO-6NM64 240511 300  075000-075500   00     124.31  670.4    115.85     6.35     4.08
SOPO-6NM64 240511 300  075500-080000   00     124.88  670.4    116.39     6.84     4.56
SOPO-6NM64 240511 300  080000-080500   00     125.09  670.4    116.56     7.00     4.70
SOPO-6NM64 240511 300  080500-081000   00     125.88  670.4    117.29     7.68     5.37
SOPO-6NM64 240511 300  081000-081500   00     125.59  670.4    117.04     7.45     5.12
SOPO-6NM64 240511 300  081500-082000   00     124.56  670.4    116.10     6.58     4.24
SOPO-6NM64 240511 300  082000-082500   00     124.87  670.4    116.38     6.84     4.48
SOPO-6NM64 240511 300  082500-083000   00     124.65  670.4    116.15     6.63     4.26
SOPO-6NM64 240511 300  083000-083500   00     125.19  670.4    116.69     7.13     4.74
SOPO-6NM64 240511 300  083500-084000   00     125.10  670.4    116.60     7.04     4.64
SOPO-6NM64 240511 300  084000-084500   00     125.28  670.4    116.75     7.18     4.76
SOPO-6NM64 240511 300  084500-085000   00     122.86  670.4    114.48     5.10     2.68
SOPO-6NM64 240511 300  085000-085500   00     124.52  670.5    116.11     6.59     4.16
SOPO-6NM64 240511 300  085500-090000   00     123.62  670.5    115.27     5.82     3.37
SOPO-6NM64 240511 300  090000-090500   00     123.70  670.5    115.33     5.87     3.41
SOPO-6NM64 240511 300  090500-091000   00     123.88  670.4    115.46     5.99     3.51
SOPO-6NM64 240511 300  091000-091500   00     124.57  670.4    116.07     6.56     4.06
