ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009    MB     COEFFICIENT   -0.705    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    113.82      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       240511 300  101000-101500   00     113.39 1015.3    118.25     3.90    -9999
ROME       240511 300  101500-102000   00     112.15 1015.2    116.92     2.72    -9999
ROME       240511 300  102000-102500   00     111.77 1015.2    116.52     2.37    -9999
ROME       240511 300  102500-103000   00     110.18 1015.3    114.89     0.94    -9999
ROME       240511 300  103000-103500   00     109.94 1015.3    114.64     0.72    -9999
ROME       240511 300  103500-104000   00     111.11 1015.2    115.81     1.75    -9999
ROME       240511 300  104000-104500   00     110.60 1015.2    115.25     1.26    -9999
ROME       240511 300  104500-105000   00     112.64 1015.1    117.34     3.10    -9999
ROME       240511 300  105000-105500   00     111.71 1015.1    116.36     2.23    -9999
ROME       240511 300  105500-110000   00     112.44 1015.1    117.11     2.89    -9999
ROME       240511 300  110000-110500   00     109.14 1015.1    113.67    -0.13    -9999
ROME       240511 300  110500-111000   00     110.56 1015.1    115.14     1.16    -9999
ROME       240511 300  111000-111500   00     109.04 1015.0    113.52    -0.26    -9999
ROME       240511 300  111500-112000   00     112.61 1015.0    117.22     2.99    -9999
ROME       240511 300  112000-112500   00     111.62 1015.0    116.19     2.08    -9999
ROME       240511 300  112500-113000   00     110.35 1015.0    114.85     0.91    -9999
ROME       240511 300  113000-113500   00     111.92 1015.0    116.47     2.33    -9999
ROME       240511 300  113500-114000   00     110.48 1015.0    114.98     1.02    -9999
ROME       240511 300  114000-114500   00     109.59 1015.0    114.05     0.20    -9999
ROME       240511 300  114500-115000   00     110.91 1014.9    115.39     1.38    -9999
ROME       240511 300  115000-115500   00     112.79 1014.9    117.35     3.11    -9999
ROME       240511 300  115500-120000   00     110.63 1014.9    115.10     1.13    -9999
ROME       240511 300  120000-120500   00     114.02 1015.0    118.67     4.26    -9999
ROME       240511 300  120500-121000   00     110.72 1015.0    115.25     1.25    -9999
ROME       240511 300  121000-121500   00     109.75 1015.0    114.24     0.37    -9999
ROME       240511 300  121500-122000   00     109.55 1015.0    114.04     0.19    -9999
ROME       240511 300  122000-122500   00     111.70 1015.0    116.27     2.16    -9999
ROME       240511 300  122500-123000   00     110.11 1015.0    114.64     0.72    -9999
ROME       240511 300  123000-123500   00     109.00 1015.0    113.49    -0.29    -9999
ROME       240511 300  123500-124000   00     108.88 1015.0    113.35    -0.41    -9999
ROME       240511 300  124000-124500   00     110.03 1015.0    114.54     0.64    -9999
ROME       240511 300  124500-125000   00     110.07 1015.0    114.58     0.67    -9999
ROME       240511 300  125000-125500   00     110.36 1015.0    114.88     0.94    -9999
ROME       240511 300  125500-130000   00     109.81 1015.0    114.29     0.42    -9999
ROME       240511 300  130000-130500   00     110.77 1015.0    115.27     1.28    -9999
ROME       240511 300  130500-131000   00     109.28 1015.0    113.73    -0.08    -9999
ROME       240511 300  131000-131500   00     110.19 1015.0    114.67     0.75    -9999
ROME       240511 300  131500-132000   00     110.13 1014.9    114.58     0.67    -9999
ROME       240511 300  132000-132500   00     109.41 1014.9    113.81    -0.01    -9999
ROME       240511 300  132500-133000   00     108.92 1014.9    113.32    -0.44    -9999
ROME       240511 300  133000-133500   00     110.64 1014.9    115.08     1.11    -9999
ROME       240511 300  133500-134000   00     111.15 1014.8    115.56     1.53    -9999
ROME       240511 300  134000-134500   00     110.86 1014.8    115.26     1.26    -9999
ROME       240511 300  134500-135000   00     110.74 1014.8    115.13     1.15    -9999
ROME       240511 300  135000-135500   00     111.02 1014.8    115.40     1.39    -9999
ROME       240511 300  135500-140000   00     111.21 1014.8    115.59     1.56    -9999
ROME       240511 300  140000-140500   00     110.55 1014.8    114.93     0.98    -9999
ROME       240511 300  140500-141000   00     110.48 1014.9    114.88     0.94    -9999
ROME       240511 300  141000-141500   00     112.24 1014.8    116.71     2.54    -9999
ROME       240511 300  141500-142000   00     110.94 1014.9    115.37     1.36    -9999
ROME       240511 300  142000-142500   00     112.09 1014.9    116.56     2.41    -9999
ROME       240511 300  142500-143000   00     109.88 1014.9    114.26     0.39    -9999
ROME       240511 300  143000-143500   00     110.98 1014.9    115.45     1.43    -9999
ROME       240511 300  143500-144000   00     111.54 1014.9    116.03     1.94    -9999
ROME       240511 300  144000-144500   00     110.67 1014.9    115.11     1.13    -9999
ROME       240511 300  144500-145000   00     110.98 1014.9    115.41     1.40    -9999
ROME       240511 300  145000-145500   00     110.87 1014.9    115.30     1.30    -9999
ROME       240511 300  145500-150000   00     112.07 1014.9    116.55     2.40    -9999
ROME       240511 300  150000-150500   00     108.78 1014.9    113.11    -0.62    -9999
ROME       240511 300  150500-151000   00     112.07 1014.9    116.55     2.40    -9999
ROME       240511 300  151000-151500   00     111.57 1014.8    116.01     1.92    -9999
ROME       240511 300  151500-152000   00     111.94 1014.8    116.38     2.25    -9999
ROME       240511 300  152000-152500   00     111.22 1014.8    115.61     1.57    -9999
ROME       240511 300  152500-153000   00     111.01 1014.8    115.38     1.37    -9999
ROME       240511 300  153000-153500   00     111.77 1014.8    116.15     2.05    -9999
ROME       240511 300  153500-154000   00     110.72 1014.7    115.05     1.08    -9999
ROME       240511 300  154000-154500   00     112.04 1014.8    116.43     2.30    -9999
ROME       240511 300  154500-155000   00     111.58 1014.7    115.94     1.86    -9999
ROME       240511 300  155000-155500   00     109.06 1014.7    113.30    -0.46    -9999
ROME       240511 300  155500-160000   00     112.81 1014.7    117.20     2.97    -9999
ROME       240511 3600 160000-170000   00     111.54 1014.7    115.90     1.83    -9999
ROME       240511 3600 170000-180000   00     110.84 1015.0    115.39     1.38    -9999
ROME       240511 3600 180000-190000   00     109.75 1015.1    114.33     0.45    -9999
ROME       240511 3600 190000-200000   00     109.29 1015.5    114.19     0.32    -9999
ROME       240511 3600 200000-210000   00     108.92 1015.9    114.09     0.24    -9999
ROME       240511 3600 210000-220000   00     108.64 1016.0    113.86     0.03    -9999
ROME       240511 3600 220000-230000   00     108.67 1016.1    113.97     0.14    -9999
ROME       240511 3600 230000-240000   00     108.22 1016.1    113.48    -0.30    -9999
ROME       240512 3600 000000-010000   00     108.63 1016.0    113.88     0.05    -9999
ROME       240512 3600 010000-020000   00     108.63 1016.2    113.99     0.15    -9999
ROME       240512 3600 020000-030000   00     108.55 1016.2    113.97     0.13    -9999
ROME       240512 3600 030000-040000   00     108.55 1016.4    114.13     0.27    -9999
ROME       240512 3600 040000-050000   00     109.43 1016.7    115.25     1.26    -9999
ROME       240512 3600 050000-060000   00     109.92 1016.7    115.77     1.71    -9999
ROME       240512 3600 060000-070000   00     109.60 1016.8    115.55     1.52    -9999
ROME       240512 3600 070000-080000   00     109.51 1016.8    115.46     1.44    -9999
ROME       240512 3600 080000-090000   00     110.40 1016.7    116.28     2.17    -9999
ROME       240512 3600 090000-100000   00     110.60 1016.6    116.42     2.29    -9999
ROME       240512 3600 100000-110000   00     109.74 1016.6    115.52     1.49    -9999
ROME       240512 3600 110000-120000   00     110.28 1016.5    116.00     1.92    -9999
ROME       240512 3600 120000-130000   00     110.13 1016.3    115.68     1.64    -9999
ROME       240512 3600 130000-140000   00     110.27 1015.9    115.50     1.48    -9999
ROME       240512 3600 140000-150000   00     109.91 1015.7    115.00     1.04    -9999
ROME       240512 3600 150000-160000   00     110.14 1015.5    115.07     1.10    -9999
ROME       240512 3600 160000-170000   00     109.96 1015.4    114.79     0.85    -9999
ROME       240512 3600 170000-180000   00     109.73 1015.7    114.80     0.86    -9999
ROME       240512 3600 180000-190000   00     109.38 1016.1    114.70     0.77    -9999
ROME       240512 3600 190000-200000   00     109.56 1016.2    115.01     1.05    -9999
ROME       240512 3600 200000-210000   00     109.63 1016.2    115.09     1.12    -9999
ROME       240512 3600 210000-220000   00     109.57 1016.3    115.08     1.10    -9999
ROME       240512 3600 220000-230000   00     109.78 1016.2    115.25     1.25    -9999
ROME       240512 3600 230000-240000   00     111.58 1015.8    116.77     2.60    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074ROME.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
