FORT-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
FORT-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
FORT-SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
FORT-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
FORT-SMITH PRE-INCREASE AVERAGE COUNTING RATE    178.05      COUNTS PER SECOND
FORT-SMITH TIME INTERVALS    300         3600     
FORT-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
FORT-SMITH 240511 300  061000-061500   00     239.07  976.6    181.89     2.16     1.16
FORT-SMITH 240511 300  061500-062000   00     236.18  976.6    179.68     0.91    -0.09
FORT-SMITH 240511 300  062000-062500   00     237.46  976.5    180.57     1.42     0.41
FORT-SMITH 240511 300  062500-063000   00     238.71  976.5    181.53     1.95     0.94
FORT-SMITH 240511 300  063000-063500   00     240.76  976.5    183.09     2.83     1.81
FORT-SMITH 240511 300  063500-064000   00     237.20  976.5    180.30     1.26     0.24
FORT-SMITH 240511 300  064000-064500   00     235.33  976.5    178.86     0.45    -0.58
FORT-SMITH 240511 300  064500-065000   00     237.45  976.4    180.43     1.33     0.30
FORT-SMITH 240511 300  065000-065500   00     239.91  976.4    182.34     2.41     1.37
FORT-SMITH 240511 300  065500-070000   00     236.21  976.4    179.49     0.81    -0.23
FORT-SMITH 240511 300  070000-070500   00     238.12  976.3    180.83     1.56     0.52
FORT-SMITH 240511 300  070500-071000   00     237.37  976.3    180.18     1.19     0.15
FORT-SMITH 240511 300  071000-071500   00     239.49  976.3    181.75     2.08     1.03
FORT-SMITH 240511 300  071500-072000   00     239.98  976.2    182.06     2.25     1.20
FORT-SMITH 240511 300  072000-072500   00     241.48  976.1    183.10     2.83     1.78
FORT-SMITH 240511 300  072500-073000   00     242.25  976.1    183.58     3.10     2.05
FORT-SMITH 240511 300  073000-073500   00     239.40  976.0    181.39     1.88     0.81
FORT-SMITH 240511 300  073500-074000   00     237.07  976.1    179.65     0.90    -0.17
FORT-SMITH 240511 300  074000-074500   00     238.46  976.1    180.74     1.51     0.44
FORT-SMITH 240511 300  074500-075000   00     236.10  976.0    178.88     0.46    -0.61
FORT-SMITH 240511 300  075000-075500   00     240.43  976.0    182.11     2.28     1.21
FORT-SMITH 240511 300  075500-080000   00     241.30  976.0    182.73     2.63     1.56
FORT-SMITH 240511 300  080000-080500   00     239.55  976.0    181.39     1.88     0.80
FORT-SMITH 240511 300  080500-081000   00     238.42  976.0    180.54     1.40     0.32
FORT-SMITH 240511 300  081000-081500   00     241.89  976.0    183.16     2.87     1.79
FORT-SMITH 240511 300  081500-082000   00     240.60  976.0    182.21     2.34     1.26
FORT-SMITH 240511 300  082000-082500   00     238.32  975.9    180.44     1.34     0.27
FORT-SMITH 240511 300  082500-083000   00     237.64  975.9    179.85     1.01    -0.07
FORT-SMITH 240511 300  083000-083500   00     239.04  975.9    180.91     1.60     0.53
FORT-SMITH 240511 300  083500-084000   00     238.96  975.9    180.84     1.56     0.49
FORT-SMITH 240511 300  084000-084500   00     241.21  975.9    182.54     2.52     1.44
FORT-SMITH 240511 300  084500-085000   00     240.58  975.9    182.04     2.24     1.17
FORT-SMITH 240511 300  085000-085500   00     239.16  975.9    181.00     1.66     0.58
FORT-SMITH 240511 300  085500-090000   00     237.57  976.0    179.89     1.03    -0.04
FORT-SMITH 240511 300  090000-090500   00     236.95  976.0    179.43     0.77    -0.30
