OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     88.43      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       240511 300  033500-034000   00      80.50 1017.5     91.82     3.84     3.30
OULU       240511 300  034000-034500   00      81.23 1017.6     92.69     4.83     4.28
OULU       240511 300  034500-035000   00      81.06 1017.6     92.53     4.64     4.08
OULU       240511 300  035000-035500   00      80.53 1017.6     91.94     3.97     3.41
OULU       240511 300  035500-040000   00      81.81 1017.7     93.42     5.65     5.08
OULU       240511 300  040000-040500   00      80.68 1017.7     92.15     4.21     3.63
OULU       240511 300  040500-041000   00      79.90 1017.7     91.29     3.24     2.65
OULU       240511 300  041000-041500   00      82.32 1017.8     94.07     6.39     5.79
OULU       240511 300  041500-042000   00      80.15 1017.8     91.58     3.57     2.96
OULU       240511 300  042000-042500   00      79.60 1017.7     90.94     2.84     2.23
OULU       240511 300  042500-043000   00      79.84 1017.8     91.22     3.16     2.55
OULU       240511 300  043000-043500   00      79.84 1017.8     91.24     3.18     2.56
OULU       240511 300  043500-044000   00      80.74 1017.8     92.29     4.37     3.73
OULU       240511 300  044000-044500   00      81.17 1017.8     92.79     4.93     4.29
OULU       240511 300  044500-045000   00      80.42 1017.8     91.92     3.95     3.30
OULU       240511 300  045000-045500   00      79.63 1017.8     91.02     2.93     2.28
OULU       240511 300  045500-050000   00      81.99 1017.8     93.73     6.00     5.33
OULU       240511 300  050000-050500   00      80.58 1017.9     92.14     4.20     3.53
OULU       240511 300  050500-051000   00      81.19 1017.9     92.84     4.99     4.31
OULU       240511 300  051000-051500   00      81.14 1017.8     92.76     4.90     4.22
OULU       240511 300  051500-052000   00      81.10 1017.8     92.70     4.84     4.14
OULU       240511 300  052000-052500   00      79.03 1017.8     90.33     2.15     1.45
OULU       240511 300  052500-053000   00      80.24 1017.8     91.73     3.73     3.02
OULU       240511 300  053000-053500   00      80.61 1017.8     92.15     4.21     3.49
OULU       240511 300  053500-054000   00      80.21 1017.8     91.69     3.69     2.97
OULU       240511 300  054000-054500   00      81.15 1017.8     92.77     4.92     4.19
OULU       240511 300  054500-055000   00      81.13 1017.9     92.76     4.91     4.17
OULU       240511 300  055000-055500   00      80.23 1017.9     91.75     3.76     3.02
OULU       240511 300  055500-060000   00      81.27 1017.9     92.94     5.10     4.35
OULU       240511 300  060000-060500   00      80.84 1017.9     92.46     4.57     3.81
OULU       240511 300  060500-061000   00      80.84 1018.0     92.51     4.62     3.85
OULU       240511 300  061000-061500   00      79.29 1018.0     90.74     2.62     1.85
OULU       240511 300  061500-062000   00      78.88 1018.0     90.31     2.13     1.35
OULU       240511 300  062000-062500   00      81.31 1018.1     93.13     5.33     4.54
OULU       240511 300  062500-063000   00      79.54 1018.2     91.14     3.07     2.28
OULU       240511 300  063000-063500   00      79.36 1018.2     90.98     2.89     2.09
OULU       240511 300  063500-064000   00      79.06 1018.3     90.67     2.54     1.74
OULU       240511 300  064000-064500   00      79.67 1018.3     91.38     3.34     2.53
OULU       240511 300  064500-065000   00      81.21 1018.3     93.15     5.34     4.52
OULU       240511 300  065000-065500   00      79.24 1018.3     90.89     2.78     1.96
OULU       240511 300  065500-070000   00      79.53 1018.3     91.23     3.17     2.34
OULU       240511 300  070000-070500   00      78.91 1018.4     90.56     2.41     1.58
OULU       240511 300  070500-071000   00      79.12 1018.4     90.81     2.70     1.85
OULU       240511 300  071000-071500   00      79.32 1018.4     91.06     2.98     2.13
OULU       240511 300  071500-072000   00      79.25 1018.4     91.00     2.91     2.05
OULU       240511 300  072000-072500   00      77.45 1018.5     88.96     0.60    -0.26
OULU       240511 300  072500-073000   00      80.30 1018.5     92.25     4.32     3.45
OULU       240511 300  073000-073500   00      80.27 1018.5     92.19     4.25     3.38
OULU       240511 300  073500-074000   00      79.76 1018.5     91.61     3.60     2.72
OULU       240511 300  074000-074500   00      80.22 1018.5     92.14     4.20     3.31
OULU       240511 300  074500-075000   00      79.51 1018.5     91.34     3.30     2.40
OULU       240511 300  075000-075500   00      80.31 1018.5     92.25     4.32     3.42
OULU       240511 300  075500-080000   00      80.39 1018.5     92.37     4.46     3.55
OULU       240511 300  080000-080500   00      80.20 1018.5     92.12     4.18     3.26
OULU       240511 300  080500-081000   00      79.93 1018.5     91.82     3.84     2.92
OULU       240511 300  081000-081500   00      80.46 1018.5     92.43     4.53     3.60
OULU       240511 300  081500-082000   00      78.45 1018.5     90.13     1.93     1.00
OULU       240511 300  082000-082500   00      80.09 1018.5     92.03     4.08     3.14
OULU       240511 300  082500-083000   00      79.44 1018.6     91.32     3.27     2.33
OULU       240511 300  083000-083500   00      78.54 1018.6     90.29     2.11     1.16
OULU       240511 300  083500-084000   00      79.18 1018.6     91.03     2.94     1.99
OULU       240511 300  084000-084500   00      77.92 1018.6     89.59     1.32     0.36
OULU       240511 300  084500-085000   00      78.43 1018.6     90.20     2.01     1.04
OULU       240511 300  085000-085500   00      77.70 1018.7     89.37     1.07     0.10
OULU       240511 300  085500-090000   00      79.47 1018.7     91.44     3.41     2.43
OULU       240511 300  090000-090500   00      78.39 1018.7     90.19     2.00     1.02
OULU       240511 300  090500-091000   00      78.92 1018.8     90.86     2.75     1.76
OULU       240511 300  091000-091500   00      78.17 1018.8     90.01     1.79     0.80
OULU       240511 300  091500-092000   00      78.44 1018.8     90.34     2.17     1.17
OULU       240511 300  092000-092500   00      78.23 1018.9     90.14     1.94     0.94
OULU       240511 300  092500-093000   00      78.81 1018.9     90.83     2.72     1.71
OULU       240511 300  093000-093500   00      78.50 1019.0     90.50     2.35     1.33
OULU       240511 300  093500-094000   00      78.35 1019.0     90.35     2.18     1.16
OULU       240511 300  094000-094500   00      77.98 1019.0     89.93     1.70     0.67
OULU       240511 300  094500-095000   00      78.47 1019.0     90.52     2.37     1.33
OULU       240511 300  095000-095500   00      78.74 1019.1     90.84     2.73     1.69
OULU       240511 300  095500-100000   00      79.80 1019.1     92.09     4.15     3.10
OULU       240511 300  100000-100500   00      78.86 1019.1     91.02     2.93     1.88
OULU       240511 300  100500-101000   00      78.22 1019.1     90.27     2.09     1.03
OULU       240511 300  101000-101500   00      78.46 1019.1     90.55     2.40     1.34
OULU       240511 300  101500-102000   00      78.41 1019.1     90.50     2.34     1.28
OULU       240511 300  102000-102500   00      78.29 1019.1     90.37     2.20     1.13
OULU       240511 300  102500-103000   00      79.50 1019.1     91.77     3.78     2.70
OULU       240511 300  103000-103500   00      78.00 1019.2     90.05     1.83     0.75
OULU       240511 300  103500-104000   00      78.48 1019.2     90.61     2.47     1.38
OULU       240511 300  104000-104500   00      79.33 1019.1     91.57     3.56     2.46
OULU       240511 300  104500-105000   00      78.38 1019.2     90.50     2.35     1.25
OULU       240511 300  105000-105500   00      78.56 1019.2     90.73     2.61     1.50
OULU       240511 300  105500-110000   00      77.97 1019.2     90.03     1.81     0.70
OULU       240511 300  110000-110500   00      77.14 1019.2     89.05     0.71    -0.40
OULU       240511 300  110500-111000   00      79.02 1019.2     91.23     3.17     2.05
OULU       240511 300  111000-111500   00      79.05 1019.2     91.26     3.21     2.08
OULU       240511 300  111500-112000   00      78.90 1019.2     91.09     3.01     1.88
OULU       240511 300  112000-112500   00      78.91 1019.1     91.09     3.02     1.88
OULU       240511 300  112500-113000   00      78.92 1019.2     91.11     3.04     1.90
OULU       240511 300  113000-113500   00      78.78 1019.2     90.95     2.85     1.71
OULU       240511 300  113500-114000   00      78.52 1019.2     90.66     2.53     1.38
OULU       240511 300  114000-114500   00      77.86 1019.2     89.93     1.70     0.54
OULU       240511 300  114500-115000   00      77.34 1019.2     89.34     1.03    -0.13
OULU       240511 300  115000-115500   00      78.49 1019.2     90.66     2.52     1.36
OULU       240511 300  115500-120000   00      76.77 1019.2     88.67     0.27    -0.89
OULU       240511 300  120000-120500   00      76.72 1019.2     88.63     0.23    -0.93
OULU       240511 300  120500-121000   00      77.61 1019.2     89.66     1.40     0.23
OULU       240511 300  121000-121500   00      77.46 1019.3     89.52     1.24     0.06
OULU       240511 300  121500-122000   00      77.62 1019.3     89.73     1.48     0.29
OULU       240511 300  122000-122500   00      77.23 1019.4     89.30     0.98    -0.20
OULU       240511 300  122500-123000   00      78.38 1019.4     90.65     2.51     1.32
OULU       240511 300  123000-123500   00      77.69 1019.4     89.88     1.64     0.45
OULU       240511 300  123500-124000   00      77.77 1019.5     89.98     1.76     0.56
OULU       240511 300  124000-124500   00      76.34 1019.5     88.33    -0.11    -1.31
OULU       240511 300  124500-125000   00      78.12 1019.4     90.38     2.20     0.99
OULU       240511 300  125000-125500   00      77.48 1019.5     89.65     1.38     0.17
OULU       240511 300  125500-130000   00      77.66 1019.4     89.85     1.61     0.39
OULU       240511 300  130000-130500   00      76.04 1019.4     87.96    -0.53    -1.75
OULU       240511 300  130500-131000   00      76.97 1019.4     89.02     0.67    -0.55
OULU       240511 300  131000-131500   00      77.33 1019.4     89.42     1.13    -0.10
OULU       240511 300  131500-132000   00      77.13 1019.4     89.21     0.88    -0.35
OULU       240511 300  132000-132500   00      76.31 1019.4     88.26    -0.18    -1.42
OULU       240511 300  132500-133000   00      78.21 1019.4     90.47     2.31     1.06
OULU       240511 300  133000-133500   00      77.41 1019.4     89.54     1.26     0.01
OULU       240511 300  133500-134000   00      78.04 1019.4     90.28     2.10     0.85
OULU       240511 300  134000-134500   00      77.94 1019.4     90.17     1.97     0.72
OULU       240511 300  134500-135000   00      76.43 1019.5     88.43     0.00    -1.25
OULU       240511 300  135000-135500   00      77.05 1019.4     89.14     0.81    -0.45
OULU       240511 300  135500-140000   00      76.51 1019.4     88.48     0.07    -1.20
OULU       240511 300  140000-140500   00      77.19 1019.4     89.25     0.94    -9999
OULU       240511 300  140500-141000   00      77.63 1019.4     89.78     1.53    -9999
OULU       240511 300  141000-141500   00      77.66 1019.4     89.81     1.57    -9999
OULU       240511 300  141500-142000   00      77.80 1019.4     89.99     1.77    -9999
OULU       240511 300  142000-142500   00      75.91 1019.4     87.80    -0.71    -9999
OULU       240511 300  142500-143000   00      77.37 1019.4     89.49     1.21    -9999
OULU       240511 300  143000-143500   00      76.23 1019.4     88.17    -0.29    -9999
OULU       240511 300  143500-144000   00      78.25 1019.4     90.52     2.36    -9999
OULU       240511 300  144000-144500   00      77.60 1019.4     89.78     1.54    -9999
OULU       240511 300  144500-145000   00      76.96 1019.5     89.05     0.70    -9999
OULU       240511 300  145000-145500   00      77.35 1019.4     89.48     1.19    -9999
OULU       240511 300  145500-150000   00      78.20 1019.4     90.45     2.29    -9999
OULU       240511 300  150000-150500   00      76.11 1019.4     88.04    -0.44    -9999
OULU       240511 300  150500-151000   00      77.11 1019.4     89.19     0.87    -9999
OULU       240511 300  151000-151500   00      78.19 1019.4     90.43     2.27    -9999
OULU       240511 300  151500-152000   00      75.94 1019.4     87.83    -0.67    -9999
OULU       240511 300  152000-152500   00      78.70 1019.4     91.03     2.95    -9999
OULU       240511 300  152500-153000   00      77.59 1019.4     89.73     1.48    -9999
OULU       240511 300  153000-153500   00      78.27 1019.4     90.50     2.35    -9999
OULU       240511 300  153500-154000   00      77.58 1019.4     89.71     1.45    -9999
OULU       240511 300  154000-154500   00      77.65 1019.3     89.77     1.52    -9999
OULU       240511 300  154500-155000   00      77.95 1019.3     90.11     1.90    -9999
OULU       240511 300  155000-155500   00      77.03 1019.3     89.06     0.71    -9999
OULU       240511 300  155500-160000   00      76.51 1019.4     88.46     0.04    -9999
OULU       240511 3600 160000-170000   00      77.82 1019.3     89.96     1.73    -9999
OULU       240511 3600 170000-180000   00      77.95 1019.4     90.14     1.94    -9999
OULU       240511 3600 180000-190000   00      77.57 1019.4     89.70     1.44    -9999
OULU       240511 3600 190000-200000   00      77.01 1019.5     89.12     0.78    -9999
OULU       240511 3600 200000-210000   00      77.39 1019.7     89.72     1.47    -9999
