IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    715     MB     COEFFICIENT   -0.72     % / MB
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    366.00      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK3   240511 300  094000-094500   00     342.60  726.5    372.40     1.75    -9999
IRKUTSK3   240511 300  094500-095000   00     344.40  726.7    374.40     2.30    -9999
IRKUTSK3   240511 300  095000-095500   00     341.60  726.7    371.40     1.48    -9999
IRKUTSK3   240511 300  095500-100000   00     344.20  726.7    374.60     2.35    -9999
IRKUTSK3   240511 300  100000-100500   00     343.20  726.7    373.20     1.97    -9999
IRKUTSK3   240511 300  100500-101000   00     346.40  726.7    377.00     3.01    -9999
IRKUTSK3   240511 300  101000-101500   00     342.80  726.7    373.20     1.97    -9999
IRKUTSK3   240511 300  101500-102000   00     344.80  726.7    375.20     2.51    -9999
IRKUTSK3   240511 300  102000-102500   00     342.80  726.6    373.00     1.91    -9999
IRKUTSK3   240511 300  102500-103000   00     338.20  726.7    367.80     0.49    -9999
IRKUTSK3   240511 300  103000-103500   00     341.60  726.7    371.80     1.58    -9999
IRKUTSK3   240511 300  103500-104000   00     343.20  726.7    373.20     1.97    -9999
IRKUTSK3   240511 300  104000-104500   00     342.00  726.7    371.60     1.53    -9999
IRKUTSK3   240511 300  104500-105000   00     340.40  726.8    370.20     1.15    -9999
IRKUTSK3   240511 300  105000-105500   00     344.80  726.8    375.40     2.57    -9999
IRKUTSK3   240511 300  105500-110000   00     339.40  726.9    369.60     0.98    -9999
IRKUTSK3   240511 300  110000-110500   00     339.40  726.8    369.40     0.93    -9999
IRKUTSK3   240511 300  110500-111000   00     337.60  726.8    367.20     0.33    -9999
IRKUTSK3   240511 300  111000-111500   00     339.80  726.8    370.00     1.09    -9999
IRKUTSK3   240511 300  111500-112000   00     342.60  726.8    372.80     1.86    -9999
IRKUTSK3   240511 300  112000-112500   00     342.20  726.7    372.20     1.69    -9999
IRKUTSK3   240511 300  112500-113000   00     342.20  726.7    372.20     1.69    -9999
IRKUTSK3   240511 300  113000-113500   00     340.40  726.6    370.20     1.15    -9999
IRKUTSK3   240511 300  113500-114000   00     336.40  726.5    365.40    -0.16    -9999
IRKUTSK3   240511 300  114000-114500   00     339.40  726.4    368.80     0.77    -9999
IRKUTSK3   240511 300  114500-115000   00     339.40  726.5    368.40     0.66    -9999
IRKUTSK3   240511 300  115000-115500   00     335.80  726.2    363.80    -0.60    -9999
IRKUTSK3   240511 300  115500-120000   00     338.00  726.3    366.80     0.22    -9999
IRKUTSK3   240511 300  120000-120500   00     336.40  726.3    365.00    -0.27    -9999
IRKUTSK3   240511 300  120500-121000   00     339.00  726.2    367.60     0.44    -9999
