SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.97      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE     64.28      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      240511 300  055000-055500   00    -999.00 -999.0     66.06     2.76    -9999
SANAE      240511 300  055500-060000   00    -999.00 -999.0     64.91     0.97    -9999
SANAE      240511 300  060000-060500   00    -999.00 -999.0     66.18     2.96    -9999
SANAE      240511 300  060500-061000   00    -999.00 -999.0     66.41     3.31    -9999
SANAE      240511 300  061000-061500   00    -999.00 -999.0     67.33     4.75    -9999
SANAE      240511 300  061500-062000   00    -999.00 -999.0     65.68     2.18    -9999
SANAE      240511 300  062000-062500   00    -999.00 -999.0     66.75     3.83    -9999
SANAE      240511 300  062500-063000   00    -999.00 -999.0     66.76     3.85    -9999
SANAE      240511 300  063000-063500   00    -999.00 -999.0     64.47     0.29    -9999
SANAE      240511 300  063500-064000   00    -999.00 -999.0     66.34     3.21    -9999
SANAE      240511 300  064000-064500   00    -999.00 -999.0     66.24     3.04    -9999
SANAE      240511 300  064500-065000   00    -999.00 -999.0     66.05     2.74    -9999
SANAE      240511 300  065000-065500   00    -999.00 -999.0     66.16     2.91    -9999
SANAE      240511 300  065500-070000   00    -999.00 -999.0     65.86     2.45    -9999
SANAE      240511 300  070000-070500   00    -999.00 -999.0     66.03     2.72    -9999
SANAE      240511 300  070500-071000   00    -999.00 -999.0     66.40     3.30    -9999
SANAE      240511 300  071000-071500   00    -999.00 -999.0     66.16     2.93    -9999
SANAE      240511 300  071500-072000   00    -999.00 -999.0     66.32     3.17    -9999
SANAE      240511 300  072000-072500   00    -999.00 -999.0     66.88     4.04    -9999
SANAE      240511 300  072500-073000   00    -999.00 -999.0     64.92     0.99    -9999
SANAE      240511 300  073000-073500   00    -999.00 -999.0     67.51     5.02    -9999
SANAE      240511 300  073500-074000   00    -999.00 -999.0     66.99     4.21    -9999
SANAE      240511 300  074000-074500   00    -999.00 -999.0     65.90     2.51    -9999
SANAE      240511 300  074500-075000   00    -999.00 -999.0     66.02     2.71    -9999
SANAE      240511 300  075000-075500   00    -999.00 -999.0     65.41     1.75    -9999
SANAE      240511 300  075500-080000   00    -999.00 -999.0     65.27     1.53    -9999
SANAE      240511 300  080000-080500   00    -999.00 -999.0     66.20     2.99    -9999
SANAE      240511 300  080500-081000   00    -999.00 -999.0     66.21     3.00    -9999
SANAE      240511 300  081000-081500   00    -999.00 -999.0     65.69     2.19    -9999
SANAE      240511 300  081500-082000   00    -999.00 -999.0     66.07     2.77    -9999
SANAE      240511 300  082000-082500   00    -999.00 -999.0     66.37     3.24    -9999
SANAE      240511 300  082500-083000   00    -999.00 -999.0     65.39     1.73    -9999
SANAE      240511 300  083000-083500   00    -999.00 -999.0     65.87     2.47    -9999
SANAE      240511 300  083500-084000   00    -999.00 -999.0     65.69     2.18    -9999
SANAE      240511 300  084000-084500   00    -999.00 -999.0     66.20     2.98    -9999
SANAE      240511 300  084500-085000   00    -999.00 -999.0     65.67     2.15    -9999
SANAE      240511 300  085000-085500   00    -999.00 -999.0     66.26     3.07    -9999
SANAE      240511 300  085500-090000   00    -999.00 -999.0     65.73     2.25    -9999
SANAE      240511 300  090000-090500   00    -999.00 -999.0     65.67     2.17    -9999
SANAE      240511 300  090500-091000   00    -999.00 -999.0     66.73     3.81    -9999
SANAE      240511 300  091000-091500   00    -999.00 -999.0     65.42     1.77    -9999
SANAE      240511 300  091500-092000   00    -999.00 -999.0     65.38     1.71    -9999
SANAE      240511 300  092000-092500   00    -999.00 -999.0     65.13     1.32    -9999
SANAE      240511 300  092500-093000   00    -999.00 -999.0     65.50     1.90    -9999
SANAE      240511 300  093000-093500   00    -999.00 -999.0     65.27     1.53    -9999
SANAE      240511 300  093500-094000   00    -999.00 -999.0     66.39     3.28    -9999
SANAE      240511 300  094000-094500   00    -999.00 -999.0     64.66     0.58    -9999
SANAE      240511 300  094500-095000   00    -999.00 -999.0     64.50     0.34    -9999
SANAE      240511 300  095000-095500   00    -999.00 -999.0     64.38     0.16    -9999
SANAE      240511 300  095500-100000   00    -999.00 -999.0     63.97    -0.48    -9999
SANAE      240511 300  100000-100500   00    -999.00 -999.0     65.07     1.23    -9999
SANAE      240511 300  100500-101000   00    -999.00 -999.0     65.32     1.61    -9999
SANAE      240511 300  101000-101500   00    -999.00 -999.0     64.76     0.74    -9999
SANAE      240511 300  101500-102000   00    -999.00 -999.0     65.39     1.72    -9999
SANAE      240511 300  102000-102500   00    -999.00 -999.0     66.06     2.76    -9999
SANAE      240511 300  102500-103000   00    -999.00 -999.0     65.65     2.13    -9999
SANAE      240511 300  103000-103500   00    -999.00 -999.0     66.15     2.91    -9999
SANAE      240511 300  103500-104000   00    -999.00 -999.0     65.66     2.14    -9999
SANAE      240511 300  104000-104500   00    -999.00 -999.0     65.94     2.58    -9999
SANAE      240511 300  104500-105000   00    -999.00 -999.0     67.40     4.85    -9999
SANAE      240511 300  105000-105500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  105500-110000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  110000-110500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  110500-111000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  111000-111500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  111500-112000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  112000-112500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  112500-113000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  113000-113500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  113500-114000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  114000-114500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  114500-115000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  115000-115500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  115500-120000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  120000-120500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  120500-121000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  121000-121500   00    -999.00 -999.0   -999.00    -9999    -9999
