TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     86.03      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  240511 300  094500-095000   00      85.47 1014.9     87.84     2.10     1.40
TIXIE BAY  240511 300  095000-095500   00      85.47 1014.9     87.87     2.14     1.44
TIXIE BAY  240511 300  095500-100000   00      84.99 1014.9     87.36     1.55     0.86
TIXIE BAY  240511 300  100000-100500   00      84.61 1014.9     86.96     1.08     0.40
TIXIE BAY  240511 300  100500-101000   00      84.08 1014.9     86.37     0.40    -0.27
TIXIE BAY  240511 300  101000-101500   00      84.00 1014.9     86.32     0.34    -0.32
TIXIE BAY  240511 300  101500-102000   00      86.43 1014.9     88.83     3.25     2.60
TIXIE BAY  240511 300  102000-102500   00      84.75 1014.9     87.07     1.21     0.56
TIXIE BAY  240511 300  102500-103000   00      83.12 1014.9     85.44    -0.69    -1.32
TIXIE BAY  240511 300  103000-103500   00      85.55 1014.9     87.95     2.23     1.60
TIXIE BAY  240511 300  103500-104000   00      84.16 1014.9     86.48     0.52    -0.09
TIXIE BAY  240511 300  104000-104500   00      85.55 1014.9     87.92     2.20     1.59
TIXIE BAY  240511 300  104500-105000   00      86.35 1014.9     88.75     3.16     2.56
TIXIE BAY  240511 300  105000-105500   00      84.96 1014.9     87.31     1.48     0.90
TIXIE BAY  240511 300  105500-110000   00      85.33 1014.9     87.71     1.95     1.37
TIXIE BAY  240511 300  110000-110500   00      84.13 1015.0     86.51     0.55    -0.01
TIXIE BAY  240511 300  110500-111000   00      84.11 1015.0     86.51     0.55     0.00
TIXIE BAY  240511 300  111000-111500   00      84.80 1015.0     87.17     1.33     0.78
TIXIE BAY  240511 300  111500-112000   00      84.96 1015.0     87.39     1.58     1.05
TIXIE BAY  240511 300  112000-112500   00      84.99 1015.0     87.41     1.61     1.09
TIXIE BAY  240511 300  112500-113000   00      84.56 1015.0     86.96     1.08     0.57
TIXIE BAY  240511 300  113000-113500   00      85.57 1015.0     88.03     2.32     1.82
TIXIE BAY  240511 300  113500-114000   00      85.65 1015.1     88.16     2.48     1.99
TIXIE BAY  240511 300  114000-114500   00      86.08 1015.1     88.61     3.00     2.53
TIXIE BAY  240511 300  114500-115000   00      84.29 1015.1     86.77     0.86     0.40
TIXIE BAY  240511 300  115000-115500   00      83.60 1015.1     86.03     0.00    -0.45
TIXIE BAY  240511 300  115500-120000   00      83.79 1015.1     86.21     0.21    -0.22
TIXIE BAY  240511 300  120000-120500   00      86.08 1015.0     88.56     2.94     2.52
TIXIE BAY  240511 300  120500-121000   00      85.87 1015.1     88.35     2.69     2.29
TIXIE BAY  240511 300  121000-121500   00      85.17 1015.1     87.65     1.89     1.49
TIXIE BAY  240511 300  121500-122000   00      84.88 1015.1     87.36     1.55     1.17
TIXIE BAY  240511 300  122000-122500   00      85.15 1015.1     87.60     1.82     1.46
TIXIE BAY  240511 300  122500-123000   00      83.97 1015.1     86.40     0.43     0.08
TIXIE BAY  240511 300  123000-123500   00      84.29 1015.1     86.75     0.83     0.50
TIXIE BAY  240511 300  123500-124000   00      82.72 1015.1     85.12    -1.06    -1.38
TIXIE BAY  240511 300  124000-124500   00      84.43 1015.1     86.83     0.93     0.62
TIXIE BAY  240511 300  124500-125000   00      83.79 1015.0     86.21     0.21    -0.08
TIXIE BAY  240511 300  125000-125500   00      82.37 1015.0     84.77    -1.46    -1.73
TIXIE BAY  240511 300  125500-130000   00      83.68 1015.1     86.11     0.09    -0.17
TIXIE BAY  240511 300  130000-130500   00      83.12 1015.1     85.52    -0.59    -0.83
TIXIE BAY  240511 300  130500-131000   00      83.76 1015.0     86.16     0.15    -0.07
TIXIE BAY  240511 300  131000-131500   00      83.23 1015.0     85.60    -0.50    -0.71
TIXIE BAY  240511 300  131500-132000   00      82.37 1015.0     84.69    -1.55    -1.75
TIXIE BAY  240511 300  132000-132500   00      82.67 1015.0     85.01    -1.18    -1.36
TIXIE BAY  240511 300  132500-133000   00      82.75 1015.0     85.12    -1.06    -1.22
TIXIE BAY  240511 300  133000-133500   00      83.09 1015.0     85.44    -0.69    -0.83
TIXIE BAY  240511 300  133500-134000   00      84.21 1014.9     86.56     0.62     0.49
TIXIE BAY  240511 300  134000-134500   00      83.07 1014.9     85.33    -0.81    -0.91
TIXIE BAY  240511 300  134500-135000   00      83.63 1014.9     85.97    -0.07    -0.15
TIXIE BAY  240511 300  135000-135500   00      82.99 1014.9     85.28    -0.87    -0.94
TIXIE BAY  240511 300  135500-140000   00      83.84 1014.8     86.11     0.09     0.04
TIXIE BAY  240511 300  140000-140500   00      83.07 1014.8     85.31    -0.84    -9999
TIXIE BAY  240511 300  140500-141000   00      84.72 1014.9     87.07     1.21    -9999
TIXIE BAY  240511 300  141000-141500   00      83.23 1014.8     85.49    -0.62    -9999
TIXIE BAY  240511 300  141500-142000   00      83.52 1014.8     85.79    -0.28    -9999
TIXIE BAY  240511 300  142000-142500   00      83.33 1014.9     85.65    -0.44    -9999
TIXIE BAY  240511 300  142500-143000   00      83.07 1014.9     85.33    -0.81    -9999
TIXIE BAY  240511 300  143000-143500   00      84.08 1014.8     86.35     0.37    -9999
TIXIE BAY  240511 300  143500-144000   00      83.39 1014.8     85.65    -0.44    -9999
TIXIE BAY  240511 300  144000-144500   00      84.37 1014.8     86.64     0.71    -9999
TIXIE BAY  240511 300  144500-145000   00      84.59 1014.8     86.85     0.96    -9999
TIXIE BAY  240511 300  145000-145500   00      83.97 1014.8     86.24     0.24    -9999
TIXIE BAY  240511 300  145500-150000   00      82.11 1014.9     84.32    -1.99    -9999
TIXIE BAY  240511 300  150000-150500   00      83.33 1014.8     85.60    -0.50    -9999
TIXIE BAY  240511 300  150500-151000   00      82.93 1014.8     85.15    -1.03    -9999
TIXIE BAY  240511 300  151000-151500   00      83.52 1014.8     85.73    -0.35    -9999
TIXIE BAY  240511 300  151500-152000   00      82.77 1014.7     84.93    -1.28    -9999
TIXIE BAY  240511 300  152000-152500   00      84.13 1014.7     86.35     0.37    -9999
TIXIE BAY  240511 300  152500-153000   00      84.03 1014.7     86.24     0.24    -9999
TIXIE BAY  240511 300  153000-153500   00      84.85 1014.7     87.07     1.21    -9999
TIXIE BAY  240511 300  153500-154000   00      84.03 1014.6     86.19     0.18    -9999
TIXIE BAY  240511 300  154000-154500   00      83.84 1014.6     85.95    -0.10    -9999
TIXIE BAY  240511 300  154500-155000   00      83.95 1014.5     86.05     0.03    -9999
TIXIE BAY  240511 300  155000-155500   00      84.48 1014.5     86.59     0.65    -9999
TIXIE BAY  240511 300  155500-160000   00      83.84 1014.5     85.92    -0.13    -9999
TIXIE BAY  240511 3600 160000-170000   00      84.48 1014.5     86.57     0.63    -9999
TIXIE BAY  240511 3600 170000-180000   00      84.90 1014.3     86.85     0.95    -9999
TIXIE BAY  240511 3600 180000-190000   00      84.70 1014.1     86.55     0.60    -9999
TIXIE BAY  240511 3600 190000-200000   00      85.65 1013.8     87.32     1.50    -9999
TIXIE BAY  240511 3600 200000-210000   00      85.65 1013.5     87.12     1.27    -9999
TIXIE BAY  240511 3600 210000-220000   00      86.63 1013.4     88.04     2.34    -9999
TIXIE BAY  240511 3600 220000-230000   00      86.36 1013.2     87.69     1.93    -9999
TIXIE BAY  240511 3600 230000-240000   00      86.32 1013.0     87.51     1.72    -9999
TIXIE BAY  240512 3600 000000-010000   00      87.36 1012.8     88.43     2.79    -9999
TIXIE BAY  240512 3600 010000-020000   00      88.46 1012.5     89.32     3.83    -9999
TIXIE BAY  240512 3600 020000-030000   00      88.30 1012.2     89.02     3.47    -9999
TIXIE BAY  240512 3600 030000-040000   00      88.42 1012.0     89.02     3.47    -9999
TIXIE BAY  240512 3600 040000-050000   00      88.74 1011.8     89.18     3.66    -9999
TIXIE BAY  240512 3600 050000-060000   00      88.49 1011.6     88.77     3.19    -9999
TIXIE BAY  240512 3600 060000-070000   00      88.45 1011.4     88.62     3.01    -9999
TIXIE BAY  240512 3600 070000-080000   00      88.14 1011.3     88.26     2.60    -9999
TIXIE BAY  240512 3600 080000-090000   00      88.31 1011.2     88.34     2.68    -9999
TIXIE BAY  240512 3600 090000-100000   00      88.12 1011.1     88.12     2.42    -9999
TIXIE BAY  240512 3600 100000-110000   00      88.54 1011.0     88.47     2.84    -9999
TIXIE BAY  240512 3600 110000-120000   00      88.49 1010.9     88.36     2.71    -9999
TIXIE BAY  240512 3600 120000-130000   00      88.54 1010.9     88.41     2.77    -9999
TIXIE BAY  240512 3600 130000-140000   00      88.40 1010.8     88.23     2.56    -9999
TIXIE BAY  240512 3600 140000-150000   00      88.72 1010.7     88.45     2.82    -9999
TIXIE BAY  240512 3600 150000-160000   00      87.84 1010.6     87.52     1.73    -9999
TIXIE BAY  240512 3600 160000-170000   00      88.39 1010.5     87.97     2.26    -9999
TIXIE BAY  240512 3600 170000-180000   00      88.65 1010.2     88.12     2.42    -9999
TIXIE BAY  240512 3600 180000-190000   00      88.57 1010.1     87.96     2.25    -9999
TIXIE BAY  240512 3600 190000-200000   00      88.99 1010.0     88.30     2.63    -9999
TIXIE BAY  240512 3600 200000-210000   00      89.45 1010.0     88.78     3.20    -9999
TIXIE BAY  240512 3600 210000-220000   00      89.49 1010.1     88.83     3.25    -9999
TIXIE BAY  240512 3600 220000-230000   00      90.94 1010.1     90.28     4.94    -9999
TIXIE BAY  240512 3600 230000-240000   00      92.04 1010.1     91.37     6.21    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074TXBY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
