NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    995     MB     COEFFICIENT   -0.718    % / MB
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE  9,351.42      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOVOSIBIRS 240511 300  105500-110000   00    9571.00  993.4   9464.00     1.20    -9999
NOVOSIBIRS 240511 300  110000-110500   00    9681.00  993.4   9571.00     2.35    -9999
NOVOSIBIRS 240511 300  110500-111000   00    9525.00  993.5   9424.00     0.78    -9999
NOVOSIBIRS 240511 300  111000-111500   00    9416.00  993.4   9313.00    -0.41    -9999
NOVOSIBIRS 240511 300  111500-112000   00    9646.00  993.4   9536.00     1.97    -9999
NOVOSIBIRS 240511 300  112000-112500   00    9574.00  993.4   9467.00     1.24    -9999
NOVOSIBIRS 240511 300  112500-113000   00    9523.00  993.4   9420.00     0.73    -9999
NOVOSIBIRS 240511 300  113000-113500   00    9569.00  993.4   9460.00     1.16    -9999
NOVOSIBIRS 240511 300  113500-114000   00    9567.00  993.4   9462.00     1.18    -9999
NOVOSIBIRS 240511 300  114000-114500   00    9564.00  993.6   9468.00     1.25    -9999
NOVOSIBIRS 240511 300  114500-115000   00    9523.00  993.6   9430.00     0.84    -9999
NOVOSIBIRS 240511 300  115000-115500   00    9541.00  993.7   9453.00     1.09    -9999
NOVOSIBIRS 240511 300  115500-120000   00    9698.00  993.7   9608.00     2.74    -9999
NOVOSIBIRS 240511 300  120000-120500   00    9533.00  993.7   9446.00     1.01    -9999
NOVOSIBIRS 240511 300  120500-121000   00    9546.00  993.7   9457.00     1.13    -9999
NOVOSIBIRS 240511 300  121000-121500   00    9585.00  993.7   9496.00     1.55    -9999
NOVOSIBIRS 240511 300  121500-122000   00    9495.00  993.7   9409.00     0.62    -9999
NOVOSIBIRS 240511 300  122000-122500   00    9538.00  993.8   9457.00     1.13    -9999
NOVOSIBIRS 240511 300  122500-123000   00    9535.00  993.8   9453.00     1.09    -9999
NOVOSIBIRS 240511 300  123000-123500   00    9513.00  993.7   9427.00     0.81    -9999
NOVOSIBIRS 240511 300  123500-124000   00    9388.00  993.8   9307.00    -0.48    -9999
NOVOSIBIRS 240511 300  124000-124500   00    9608.00  993.8   9526.00     1.87    -9999
NOVOSIBIRS 240511 300  124500-125000   00    9455.00  993.8   9375.00     0.25    -9999
NOVOSIBIRS 240511 300  125000-125500   00    9325.00  993.9   9252.00    -1.06    -9999
NOVOSIBIRS 240511 300  125500-130000   00    9370.00  993.9   9300.00    -0.55    -9999
NOVOSIBIRS 240511 300  130000-130500   00    9487.00  994.0   9421.00     0.74    -9999
NOVOSIBIRS 240511 300  130500-131000   00    9490.00  994.1   9431.00     0.85    -9999
NOVOSIBIRS 240511 300  131000-131500   00    9414.00  994.1   9356.00     0.05    -9999
NOVOSIBIRS 240511 300  131500-132000   00    9553.00  994.2   9498.00     1.57    -9999
NOVOSIBIRS 240511 300  132000-132500   00    9479.00  994.2   9426.00     0.80    -9999
NOVOSIBIRS 240511 300  132500-133000   00    9385.00  994.2   9335.00    -0.18    -9999
NOVOSIBIRS 240511 300  133000-133500   00    9372.00  994.4   9333.00    -0.20    -9999
NOVOSIBIRS 240511 300  133500-134000   00    9465.00  994.4   9425.00     0.79    -9999
NOVOSIBIRS 240511 300  134000-134500   00    9477.00  994.4   9437.00     0.92    -9999
NOVOSIBIRS 240511 300  134500-135000   00    9347.00  994.4   9309.00    -0.45    -9999
NOVOSIBIRS 240511 300  135000-135500   00    9519.00  994.5   9485.00     1.43    -9999
NOVOSIBIRS 240511 300  135500-140000   00    9325.00  994.6   9298.00    -0.57    -9999
NOVOSIBIRS 240511 300  140000-140500   00    9426.00  994.7   9408.00     0.61    -9999
NOVOSIBIRS 240511 300  140500-141000   00    9357.00  994.9   9351.00     0.00    -9999
NOVOSIBIRS 240511 300  141000-141500   00    9325.00  995.0   9325.00    -0.28    -9999
NOVOSIBIRS 240511 300  141500-142000   00    9303.00  995.0   9306.00    -0.49    -9999
NOVOSIBIRS 240511 300  142000-142500   00    9262.00  995.1   9271.00    -0.86    -9999
NOVOSIBIRS 240511 300  142500-143000   00    9262.00  995.2   9281.00    -0.75    -9999
NOVOSIBIRS 240511 300  143000-143500   00    9239.00  995.3   9262.00    -0.96    -9999
NOVOSIBIRS 240511 300  143500-144000   00    9302.00  995.4   9333.00    -0.20    -9999
NOVOSIBIRS 240511 300  144000-144500   00    9470.00  995.5   9507.00     1.66    -9999
NOVOSIBIRS 240511 300  144500-145000   00    9256.00  995.6   9297.00    -0.58    -9999
NOVOSIBIRS 240511 300  145000-145500   00    9253.00  995.7   9302.00    -0.53    -9999
NOVOSIBIRS 240511 300  145500-150000   00    9139.00  995.8   9195.00    -1.67    -9999
NOVOSIBIRS 240511 300  150000-150500   00    9490.00  995.9   9556.00     2.19    -9999
NOVOSIBIRS 240511 300  150500-151000   00    9190.00  996.0   9256.00    -1.02    -9999
NOVOSIBIRS 240511 300  151000-151500   00    9368.00  996.0   9441.00     0.96    -9999
NOVOSIBIRS 240511 300  151500-152000   00    9361.00  996.1   9438.00     0.93    -9999
NOVOSIBIRS 240511 300  152000-152500   00    9244.00  996.2   9324.00    -0.29    -9999
NOVOSIBIRS 240511 300  152500-153000   00    9257.00  996.3   9344.00    -0.08    -9999
NOVOSIBIRS 240511 300  153000-153500   00    9294.00  996.3   9386.00     0.37    -9999
NOVOSIBIRS 240511 300  153500-154000   00    9254.00  996.4   9348.00    -0.04    -9999
NOVOSIBIRS 240511 300  154000-154500   00    9316.00  996.5   9417.00     0.70    -9999
NOVOSIBIRS 240511 300  154500-155000   00    9325.00  996.5   9431.00     0.85    -9999
NOVOSIBIRS 240511 300  155000-155500   00    9211.00  996.6   9321.00    -0.33    -9999
NOVOSIBIRS 240511 300  155500-160000   00    9151.00  996.7   9263.00    -0.95    -9999
NOVOSIBIRS 240511 300  160000-160500   00    9210.00  996.7   9323.00    -0.30    -9999
NOVOSIBIRS 240511 300  160500-161000   00    9185.00  996.7   9299.00    -0.56    -9999
NOVOSIBIRS 240511 300  161000-161500   00    9138.00  996.8   9259.00    -0.99    -9999
NOVOSIBIRS 240511 300  161500-162000   00    9247.00  996.9   9374.00     0.24    -9999
NOVOSIBIRS 240511 300  162000-162500   00    9222.00  996.9   9354.00     0.03    -9999
NOVOSIBIRS 240511 300  162500-163000   00    9242.00  997.0   9378.00     0.28    -9999
NOVOSIBIRS 240511 300  163000-163500   00    9243.00  997.1   9383.00     0.34    -9999
NOVOSIBIRS 240511 300  163500-164000   00    9183.00  997.1   9322.00    -0.31    -9999
NOVOSIBIRS 240511 300  164000-164500   00    9115.00  997.2   9263.00    -0.95    -9999
NOVOSIBIRS 240511 300  164500-165000   00    9396.00  997.3   9556.00     2.19    -9999
NOVOSIBIRS 240511 300  165000-165500   00    9315.00  997.4   9477.00     1.34    -9999
NOVOSIBIRS 240511 300  165500-170000   00    9300.00  997.4   9462.00     1.18    -9999
NOVOSIBIRS 240511 3600 170000-180000   00    9270.00  997.9   9468.00     1.25    -9999
NOVOSIBIRS 240511 3600 180000-190000   00    9181.00  998.7   9426.00     0.80    -9999
NOVOSIBIRS 240511 3600 190000-200000   00    9181.00  999.2   9465.00     1.21    -9999
NOVOSIBIRS 240511 3600 200000-210000   00    9139.00 1000.0   9470.00     1.27    -9999
NOVOSIBIRS 240511 3600 210000-220000   00    9151.00 1000.7   9531.00     1.92    -9999
NOVOSIBIRS 240511 3600 220000-230000   00    9125.00 1001.4   9554.00     2.17    -9999
NOVOSIBIRS 240511 3600 230000-240000   00    9104.00 1002.1   9580.00     2.44    -9999
NOVOSIBIRS 240512 3600 000000-010000   00    9039.00 1002.7   9555.00     2.18    -9999
NOVOSIBIRS 240512 3600 010000-020000   00    9064.00 1003.2   9611.00     2.78    -9999
NOVOSIBIRS 240512 3600 020000-030000   00    9255.00 1003.2   9816.00     4.97    -9999
NOVOSIBIRS 240512 3600 030000-040000   00    9268.00 1003.1   9823.00     5.04    -9999
NOVOSIBIRS 240512 3600 040000-050000   00    9257.00 1003.0   9805.00     4.85    -9999
NOVOSIBIRS 240512 3600 050000-060000   00    9328.00 1002.9   9874.00     5.59    -9999
NOVOSIBIRS 240512 3600 060000-070000   00    9248.00 1002.5   9761.00     4.38    -9999
NOVOSIBIRS 240512 3600 070000-080000   00    9274.00 1002.1   9757.00     4.34    -9999
NOVOSIBIRS 240512 3600 080000-090000   00    9301.00 1001.7   9759.00     4.36    -9999
NOVOSIBIRS 240512 3600 090000-100000   00    9310.00 1001.3   9738.00     4.13    -9999
NOVOSIBIRS 240512 3600 100000-110000   00    9310.00 1001.0   9722.00     3.96    -9999
NOVOSIBIRS 240512 3600 110000-120000   00    9256.00 1000.8   9651.00     3.20    -9999
NOVOSIBIRS 240512 3600 120000-130000   00    9267.00 1000.4   9635.00     3.03    -9999
NOVOSIBIRS 240512 3600 130000-140000   00    9291.00 1000.3   9653.00     3.22    -9999
NOVOSIBIRS 240512 3600 140000-150000   00    9303.00 1000.5   9681.00     3.52    -9999
NOVOSIBIRS 240512 3600 150000-160000   00    9294.00 1000.9   9696.00     3.68    -9999
