CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     66.24      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      240511 300  081500-082000   00      65.51  936.0     65.04    -1.81    -9999
CALMA      240511 300  082000-082500   00      67.56  936.0     67.06     1.24    -9999
CALMA      240511 300  082500-083000   00      66.71  935.9     66.19    -0.07    -9999
CALMA      240511 300  083000-083500   00      67.69  935.9     67.15     1.38    -9999
CALMA      240511 300  083500-084000   00      65.55  935.9     65.02    -1.84    -9999
CALMA      240511 300  084000-084500   00      66.61  935.8     66.05    -0.28    -9999
CALMA      240511 300  084500-085000   00      66.86  935.8     66.31     0.11    -9999
CALMA      240511 300  085000-085500   00      70.07  935.8     69.48     4.90    -9999
CALMA      240511 300  085500-090000   00      67.75  935.8     67.17     1.41    -9999
CALMA      240511 300  090000-090500   00      67.69  935.8     67.11     1.32    -9999
CALMA      240511 300  090500-091000   00      66.70  935.8     66.13    -0.16    -9999
CALMA      240511 300  091000-091500   00      66.11  935.8     65.53    -1.06    -9999
CALMA      240511 300  091500-092000   00      67.91  935.7     67.30     1.60    -9999
CALMA      240511 300  092000-092500   00      67.16  935.7     66.57     0.50    -9999
CALMA      240511 300  092500-093000   00      69.12  935.7     68.49     3.41    -9999
CALMA      240511 300  093000-093500   00      68.09  935.7     67.44     1.82    -9999
CALMA      240511 300  093500-094000   00      69.21  935.7     68.57     3.52    -9999
CALMA      240511 300  094000-094500   00      66.39  935.7     65.80    -0.66    -9999
CALMA      240511 300  094500-095000   00      66.77  935.7     66.17    -0.10    -9999
CALMA      240511 300  095000-095500   00      68.06  935.7     67.44     1.82    -9999
CALMA      240511 300  095500-100000   00      69.47  935.7     68.84     3.93    -9999
CALMA      240511 300  100000-100500   00      68.72  935.6     68.06     2.76    -9999
