JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    303.60      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  240511 300  045500-050000   00     255.15  669.8    309.48     1.93    -9999
JUNGFRAU1  240511 300  050000-050500   00     255.85  669.8    310.10     2.14    -9999
JUNGFRAU1  240511 300  050500-051000   00     255.18  669.7    309.18     1.84    -9999
JUNGFRAU1  240511 300  051000-051500   00     254.15  669.7    307.95     1.43    -9999
JUNGFRAU1  240511 300  051500-052000   00     254.25  669.7    308.10     1.48    -9999
JUNGFRAU1  240511 300  052000-052500   00     252.64  669.7    306.19     0.85    -9999
JUNGFRAU1  240511 300  052500-053000   00     257.24  669.7    311.61     2.64    -9999
JUNGFRAU1  240511 300  053000-053500   00     253.68  669.7    307.35     1.23    -9999
JUNGFRAU1  240511 300  053500-054000   00     251.33  669.7    304.61     0.33    -9999
JUNGFRAU1  240511 300  054000-054500   00     251.02  669.8    304.35     0.25    -9999
JUNGFRAU1  240511 300  054500-055000   00     251.95  669.8    305.44     0.61    -9999
JUNGFRAU1  240511 300  055000-055500   00     251.94  669.8    305.51     0.63    -9999
JUNGFRAU1  240511 300  055500-060000   00     249.90  669.8    303.09    -0.17    -9999
JUNGFRAU1  240511 300  060000-060500   00     251.35  669.8    304.71     0.36    -9999
JUNGFRAU1  240511 300  060500-061000   00     250.12  669.8    303.27    -0.11    -9999
JUNGFRAU1  240511 300  061000-061500   00     245.88  669.8    298.09    -1.82    -9999
JUNGFRAU1  240511 300  061500-062000   00     249.14  669.8    302.09    -0.50    -9999
JUNGFRAU1  240511 300  062000-062500   00     248.21  669.8    300.84    -0.91    -9999
JUNGFRAU1  240511 300  062500-063000   00     250.62  669.8    303.83     0.07    -9999
JUNGFRAU1  240511 300  063000-063500   00     249.14  669.9    302.16    -0.48    -9999
JUNGFRAU1  240511 300  063500-064000   00     250.27  669.9    303.59     0.00    -9999
JUNGFRAU1  240511 300  064000-064500   00     249.01  669.9    302.15    -0.48    -9999
JUNGFRAU1  240511 300  064500-065000   00     248.70  669.9    301.72    -0.62    -9999
JUNGFRAU1  240511 300  065000-065500   00     246.21  670.0    298.77    -1.59    -9999
JUNGFRAU1  240511 300  065500-070000   00     244.28  670.0    296.51    -2.34    -9999
JUNGFRAU1  240511 300  070000-070500   00     249.80  670.0    303.29    -0.10    -9999
JUNGFRAU1  240511 300  070500-071000   00     250.60  670.0    304.32     0.24    -9999
JUNGFRAU1  240511 300  071000-071500   00     248.16  670.0    301.19    -0.79    -9999
JUNGFRAU1  240511 300  071500-072000   00     248.53  670.0    301.79    -0.60    -9999
JUNGFRAU1  240511 300  072000-072500   00     250.03  670.0    303.56    -0.01    -9999
JUNGFRAU1  240511 300  072500-073000   00     250.32  670.0    303.93     0.11    -9999
JUNGFRAU1  240511 300  073000-073500   00     248.12  670.0    301.30    -0.76    -9999
JUNGFRAU1  240511 300  073500-074000   00     251.31  670.1    305.30     0.56    -9999
JUNGFRAU1  240511 300  074000-074500   00     249.78  670.1    303.38    -0.07    -9999
JUNGFRAU1  240511 300  074500-075000   00     249.50  670.1    303.05    -0.18    -9999
JUNGFRAU1  240511 300  075000-075500   00     251.92  670.1    306.06     0.81    -9999
JUNGFRAU1  240511 300  075500-080000   00     252.18  670.2    306.63     1.00    -9999
JUNGFRAU1  240511 300  080000-080500   00     250.27  670.2    304.44     0.28    -9999
JUNGFRAU1  240511 300  080500-081000   00     253.30  670.2    308.09     1.48    -9999
JUNGFRAU1  240511 300  081000-081500   00     251.54  670.3    305.87     0.75    -9999
JUNGFRAU1  240511 300  081500-082000   00     254.80  670.4    310.19     2.17    -9999
JUNGFRAU1  240511 300  082000-082500   00     251.78  670.4    306.63     1.00    -9999
JUNGFRAU1  240511 300  082500-083000   00     250.75  670.4    305.25     0.54    -9999
JUNGFRAU1  240511 300  083000-083500   00     250.63  670.4    305.17     0.52    -9999
JUNGFRAU1  240511 300  083500-084000   00     249.96  670.4    304.40     0.26    -9999
JUNGFRAU1  240511 300  084000-084500   00     248.16  670.4    302.11    -0.49    -9999
JUNGFRAU1  240511 300  084500-085000   00     246.63  670.4    300.40    -1.06    -9999
JUNGFRAU1  240511 300  085000-085500   00     248.46  670.4    302.63    -0.32    -9999
JUNGFRAU1  240511 300  085500-090000   00     247.91  670.4    301.91    -0.56    -9999
JUNGFRAU1  240511 300  090000-090500   00     249.57  670.5    304.01     0.13    -9999
JUNGFRAU1  240511 300  090500-091000   00     248.05  670.5    302.32    -0.42    -9999
JUNGFRAU1  240511 300  091000-091500   00     248.19  670.5    302.27    -0.44    -9999
JUNGFRAU1  240511 300  091500-092000   00     244.20  670.5    297.50    -2.01    -9999
JUNGFRAU1  240511 300  092000-092500   00     245.83  670.5    299.70    -1.29    -9999
JUNGFRAU1  240511 300  092500-093000   00     246.87  670.5    300.83    -0.91    -9999
JUNGFRAU1  240511 300  093000-093500   00     247.33  670.6    301.62    -0.65    -9999
JUNGFRAU1  240511 300  093500-094000   00     248.11  670.5    302.37    -0.41    -9999
JUNGFRAU1  240511 300  094000-094500   00     249.14  670.5    303.54    -0.02    -9999
JUNGFRAU1  240511 300  094500-095000   00     249.98  670.6    304.80     0.39    -9999
JUNGFRAU1  240511 300  095000-095500   00     249.30  670.6    304.12     0.17    -9999
JUNGFRAU1  240511 300  095500-100000   00     249.96  670.6    304.82     0.40    -9999
JUNGFRAU1  240511 300  100000-100500   00     251.22  670.6    306.29     0.89    -9999
JUNGFRAU1  240511 300  100500-101000   00     252.72  670.6    308.14     1.49    -9999
JUNGFRAU1  240511 300  101000-101500   00     250.86  670.6    305.96     0.77    -9999
JUNGFRAU1  240511 300  101500-102000   00     251.43  670.6    306.86     1.07    -9999
JUNGFRAU1  240511 300  102000-102500   00     250.81  670.6    305.95     0.77    -9999
JUNGFRAU1  240511 300  102500-103000   00     248.37  670.6    302.79    -0.27    -9999
JUNGFRAU1  240511 300  103000-103500   00     248.70  670.6    303.22    -0.13    -9999
JUNGFRAU1  240511 300  103500-104000   00     251.43  670.7    306.68     1.01    -9999
JUNGFRAU1  240511 300  104000-104500   00     249.48  670.6    304.19     0.19    -9999
JUNGFRAU1  240511 300  104500-105000   00     251.51  670.6    306.70     1.02    -9999
JUNGFRAU1  240511 300  105000-105500   00     251.71  670.6    307.06     1.14    -9999
JUNGFRAU1  240511 300  105500-110000   00     251.87  670.7    307.33     1.23    -9999
JUNGFRAU1  240511 300  110000-110500   00     251.24  670.7    306.66     1.01    -9999
JUNGFRAU1  240511 300  110500-111000   00     249.31  670.7    304.20     0.20    -9999
JUNGFRAU1  240511 300  111000-111500   00     252.26  670.7    307.80     1.38    -9999
JUNGFRAU1  240511 300  111500-112000   00     252.30  670.7    307.86     1.40    -9999
JUNGFRAU1  240511 300  112000-112500   00     255.52  670.7    311.76     2.69    -9999
JUNGFRAU1  240511 300  112500-113000   00     251.95  670.7    307.44     1.26    -9999
JUNGFRAU1  240511 300  113000-113500   00     251.43  670.7    306.75     1.04    -9999
JUNGFRAU1  240511 300  113500-114000   00     251.81  670.7    307.24     1.20    -9999
JUNGFRAU1  240511 300  114000-114500   00     251.53  670.7    306.88     1.08    -9999
JUNGFRAU1  240511 300  114500-115000   00     252.68  670.7    308.39     1.58    -9999
JUNGFRAU1  240511 300  115000-115500   00     253.84  670.7    309.72     2.01    -9999
JUNGFRAU1  240511 300  115500-120000   00     250.90  670.8    306.35     0.91    -9999
JUNGFRAU1  240511 300  120000-120500   00     250.06  670.8    305.53     0.64    -9999
JUNGFRAU1  240511 300  120500-121000   00     249.07  670.8    304.12     0.17    -9999
JUNGFRAU1  240511 300  121000-121500   00     249.44  670.8    304.52     0.30    -9999
JUNGFRAU1  240511 300  121500-122000   00     250.05  670.9    305.58     0.65    -9999
JUNGFRAU1  240511 300  122000-122500   00     247.19  670.9    302.00    -0.53    -9999
JUNGFRAU1  240511 300  122500-123000   00     246.87  670.9    301.56    -0.67    -9999
JUNGFRAU1  240511 300  123000-123500   00     245.55  670.9    300.05    -1.17    -9999
JUNGFRAU1  240511 300  123500-124000   00     249.16  671.0    304.63     0.34    -9999
JUNGFRAU1  240511 300  124000-124500   00     248.86  671.0    304.33     0.24    -9999
JUNGFRAU1  240511 300  124500-125000   00     247.45  671.0    302.61    -0.33    -9999
JUNGFRAU1  240511 300  125000-125500   00     250.45  671.0    306.26     0.88    -9999
JUNGFRAU1  240511 300  125500-130000   00     246.85  671.0    301.83    -0.58    -9999
JUNGFRAU1  240511 300  130000-130500   00     249.38  670.9    304.81     0.40    -9999
JUNGFRAU1  240511 300  130500-131000   00     248.96  670.9    304.21     0.20    -9999
JUNGFRAU1  240511 300  131000-131500   00     246.29  670.9    301.08    -0.83    -9999
JUNGFRAU1  240511 300  131500-132000   00     249.08  671.0    304.60     0.33    -9999
JUNGFRAU1  240511 300  132000-132500   00     246.95  671.0    301.88    -0.57    -9999
JUNGFRAU1  240511 300  132500-133000   00     249.06  670.9    304.27     0.22    -9999
JUNGFRAU1  240511 300  133000-133500   00     248.84  670.9    304.17     0.19    -9999
JUNGFRAU1  240511 300  133500-134000   00     247.77  670.9    302.84    -0.25    -9999
JUNGFRAU1  240511 300  134000-134500   00     249.41  671.0    304.92     0.43    -9999
JUNGFRAU1  240511 300  134500-135000   00     251.60  670.9    307.56     1.30    -9999
JUNGFRAU1  240511 300  135000-135500   00     251.15  670.9    306.96     1.11    -9999
JUNGFRAU1  240511 300  135500-140000   00     250.66  670.9    306.38     0.91    -9999
JUNGFRAU1  240511 300  140000-140500   00     250.21  670.9    305.87     0.75    -9999
JUNGFRAU1  240511 300  140500-141000   00     252.36  670.9    308.28     1.54    -9999
JUNGFRAU1  240511 300  141000-141500   00     249.42  670.9    304.73     0.37    -9999
JUNGFRAU1  240511 300  141500-142000   00     251.85  670.8    307.68     1.34    -9999
JUNGFRAU1  240511 300  142000-142500   00     251.29  670.9    307.00     1.12    -9999
JUNGFRAU1  240511 300  142500-143000   00     249.82  670.8    305.06     0.48    -9999
JUNGFRAU1  240511 300  143000-143500   00     249.75  670.8    304.84     0.41    -9999
JUNGFRAU1  240511 300  143500-144000   00     246.72  670.7    301.04    -0.85    -9999
JUNGFRAU1  240511 300  144000-144500   00     248.53  670.7    303.40    -0.07    -9999
JUNGFRAU1  240511 300  144500-145000   00     249.68  670.8    304.96     0.45    -9999
JUNGFRAU1  240511 300  145000-145500   00     251.62  670.8    307.26     1.20    -9999
JUNGFRAU1  240511 300  145500-150000   00     252.51  670.8    308.36     1.57    -9999
JUNGFRAU1  240511 300  150000-150500   00     250.22  670.8    306.37     0.91    -9999
JUNGFRAU1  240511 300  150500-151000   00     254.09  670.8    310.13     2.15    -9999
JUNGFRAU1  240511 300  151000-151500   00     252.44  670.8    308.20     1.52    -9999
JUNGFRAU1  240511 300  151500-152000   00     252.66  670.7    308.39     1.58    -9999
JUNGFRAU1  240511 300  152000-152500   00     250.87  670.7    306.11     0.82    -9999
JUNGFRAU1  240511 300  152500-153000   00     251.87  670.7    307.21     1.19    -9999
JUNGFRAU1  240511 300  153000-153500   00     250.61  670.7    305.88     0.75    -9999
JUNGFRAU1  240511 300  153500-154000   00     250.85  670.7    306.16     0.84    -9999
JUNGFRAU1  240511 300  154000-154500   00     249.49  670.7    304.47     0.28    -9999
JUNGFRAU1  240511 300  154500-155000   00     252.39  670.7    307.95     1.43    -9999
JUNGFRAU1  240511 300  155000-155500   00     253.48  670.7    309.36     1.90    -9999
JUNGFRAU1  240511 300  155500-160000   00     252.13  670.7    307.69     1.35    -9999
JUNGFRAU1  240511 3600 160000-170000   00     252.34  670.6    307.66     1.33    -9999
JUNGFRAU1  240511 3600 170000-180000   00     251.12  670.6    306.13     0.83    -9999
JUNGFRAU1  240511 3600 180000-190000   00     249.56  670.5    304.13     0.17    -9999
JUNGFRAU1  240511 3600 190000-200000   00     248.23  670.6    302.93    -0.22    -9999
JUNGFRAU1  240511 3600 200000-210000   00     247.70  670.7    302.19    -0.47    -9999
JUNGFRAU1  240511 3600 210000-220000   00     248.39  670.5    302.73    -0.29    -9999
JUNGFRAU1  240511 3600 220000-230000   00     247.13  670.5    301.06    -0.84    -9999
JUNGFRAU1  240511 3600 230000-240000   00     246.82  670.3    300.31    -1.09    -9999
JUNGFRAU1  240512 3600 000000-010000   00     247.58  670.0    300.57    -1.00    -9999
JUNGFRAU1  240512 3600 010000-020000   00     248.06  670.0    301.06    -0.84    -9999
JUNGFRAU1  240512 3600 020000-030000   00     249.31  669.8    302.25    -0.45    -9999
JUNGFRAU1  240512 3600 030000-040000   00     249.85  669.5    302.34    -0.42    -9999
JUNGFRAU1  240512 3600 040000-050000   00     252.71  669.4    305.61     0.66    -9999
JUNGFRAU1  240512 3600 050000-060000   00     252.55  669.4    305.40     0.59    -9999
JUNGFRAU1  240512 3600 060000-070000   00     252.45  669.4    305.26     0.54    -9999
JUNGFRAU1  240512 3600 070000-080000   00     252.88  669.5    305.88     0.75    -9999
JUNGFRAU1  240512 3600 080000-090000   00     252.66  669.5    305.77     0.71    -9999
JUNGFRAU1  240512 3600 090000-100000   00     253.30  669.7    306.83     1.06    -9999
JUNGFRAU1  240512 3600 100000-110000   00     252.37  669.7    305.80     0.72    -9999
JUNGFRAU1  240512 3600 110000-120000   00     253.60  669.7    307.17     1.18    -9999
JUNGFRAU1  240512 3600 120000-130000   00     252.96  669.6    306.20     0.85    -9999
JUNGFRAU1  240512 3600 130000-140000   00     253.64  669.4    306.57     0.98    -9999
JUNGFRAU1  240512 3600 140000-150000   00     253.60  669.1    305.83     0.73    -9999
JUNGFRAU1  240512 3600 150000-160000   00     254.70  668.8    306.53     0.96    -9999
JUNGFRAU1  240512 3600 160000-170000   00     255.31  668.7    306.99     1.12    -9999
JUNGFRAU1  240512 3600 170000-180000   00     255.24  668.6    306.79     1.05    -9999
JUNGFRAU1  240512 3600 180000-190000   00     252.94  668.6    304.00     0.13    -9999
JUNGFRAU1  240512 3600 190000-200000   00     252.59  668.5    303.31    -0.10    -9999
JUNGFRAU1  240512 3600 200000-210000   00     252.92  668.5    303.56    -0.01    -9999
JUNGFRAU1  240512 3600 210000-220000   00     254.37  668.2    304.93     0.44    -9999
JUNGFRAU1  240512 3600 220000-230000   00     255.37  668.0    305.64     0.67    -9999
JUNGFRAU1  240512 3600 230000-240000   00     260.11  667.6    310.47     2.26    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074JUN1.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
