MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE  7,636.73      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     240511 300  050500-051000   00    9041.85  983.4   8028.66     5.13    -9999
MOSCOW     240511 300  051000-051500   00    9039.98  983.5   8027.73     5.12    -9999
MOSCOW     240511 300  051500-052000   00    8934.07  983.5   7935.87     3.92    -9999
MOSCOW     240511 300  052000-052500   00    8979.06  983.6   7978.99     4.48    -9999
MOSCOW     240511 300  052500-053000   00    8952.81  983.6   7955.56     4.17    -9999
MOSCOW     240511 300  053000-053500   00    8908.76  983.6   7919.00     3.70    -9999
MOSCOW     240511 300  053500-054000   00    9022.17  983.7   8023.04     5.06    -9999
MOSCOW     240511 300  054000-054500   00    8967.81  983.7   7976.18     4.44    -9999
MOSCOW     240511 300  054500-055000   00    8981.87  983.8   7993.05     4.67    -9999
MOSCOW     240511 300  055000-055500   00    8964.06  983.8   7977.11     4.46    -9999
MOSCOW     240511 300  055500-060000   00    8909.70  983.8   7930.25     3.84    -9999
MOSCOW     240511 300  060000-060500   00    8864.71  983.8   7890.88     3.33    -9999
MOSCOW     240511 300  060500-061000   00    8868.46  983.9   7897.45     3.41    -9999
MOSCOW     240511 300  061000-061500   00    8804.72  983.9   7844.02     2.71    -9999
MOSCOW     240511 300  061500-062000   00    8887.20  984.0   7920.88     3.72    -9999
MOSCOW     240511 300  062000-062500   00    8881.58  983.9   7914.32     3.63    -9999
MOSCOW     240511 300  062500-063000   00    8840.34  984.0   7877.76     3.16    -9999
MOSCOW     240511 300  063000-063500   00    8793.48  984.0   7840.27     2.67    -9999
MOSCOW     240511 300  063500-064000   00    8759.74  984.1   7812.15     2.30    -9999
MOSCOW     240511 300  064000-064500   00    8899.39  984.1   7939.62     3.97    -9999
MOSCOW     240511 300  064500-065000   00    8910.64  984.2   7952.74     4.14    -9999
MOSCOW     240511 300  065000-065500   00    8768.17  984.2   7825.28     2.47    -9999
MOSCOW     240511 300  065500-070000   00    8816.91  984.2   7868.39     3.03    -9999
MOSCOW     240511 300  070000-070500   00    8880.64  984.2   7925.56     3.78    -9999
MOSCOW     240511 300  070500-071000   00    8892.83  984.2   7936.81     3.93    -9999
MOSCOW     240511 300  071000-071500   00    8764.42  984.2   7824.34     2.46    -9999
MOSCOW     240511 300  071500-072000   00    8849.71  984.2   7899.32     3.44    -9999
MOSCOW     240511 300  072000-072500   00    8749.43  984.2   7813.09     2.31    -9999
MOSCOW     240511 300  072500-073000   00    8879.71  984.2   7928.38     3.82    -9999
MOSCOW     240511 300  073000-073500   00    8800.04  984.2   7853.39     2.84    -9999
MOSCOW     240511 300  073500-074000   00    8888.14  984.2   7934.94     3.90    -9999
MOSCOW     240511 300  074000-074500   00    8828.16  984.3   7885.26     3.25    -9999
MOSCOW     240511 300  074500-075000   00    8950.94  984.2   7993.05     4.67    -9999
MOSCOW     240511 300  075000-075500   00    8941.57  984.3   7985.55     4.57    -9999
MOSCOW     240511 300  075500-080000   00    8853.46  984.3   7907.76     3.55    -9999
MOSCOW     240511 300  080000-080500   00    8869.40  984.3   7922.75     3.75    -9999
MOSCOW     240511 300  080500-081000   00    8855.34  984.4   7916.19     3.66    -9999
MOSCOW     240511 300  081000-081500   00    8800.04  984.4   7867.45     3.02    -9999
MOSCOW     240511 300  081500-082000   00    8845.03  984.4   7905.88     3.52    -9999
MOSCOW     240511 300  082000-082500   00    8815.03  984.4   7879.64     3.18    -9999
MOSCOW     240511 300  082500-083000   00    8824.41  984.4   7889.95     3.32    -9999
MOSCOW     240511 300  083000-083500   00    8790.67  984.4   7859.95     2.92    -9999
MOSCOW     240511 300  083500-084000   00    8740.05  984.4   7812.15     2.30    -9999
MOSCOW     240511 300  084000-084500   00    8660.38  984.4   7743.73     1.40    -9999
MOSCOW     240511 300  084500-085000   00    8819.72  984.5   7889.01     3.30    -9999
MOSCOW     240511 300  085000-085500   00    8772.86  984.5   7845.90     2.74    -9999
MOSCOW     240511 300  085500-090000   00    8830.03  984.5   7901.19     3.46    -9999
MOSCOW     240511 300  090000-090500   00    8723.18  984.6   7807.47     2.24    -9999
MOSCOW     240511 300  090500-091000   00    8711.00  984.5   7794.35     2.06    -9999
MOSCOW     240511 300  091000-091500   00    8795.35  984.6   7873.08     3.09    -9999
MOSCOW     240511 300  091500-092000   00    8767.23  984.6   7850.58     2.80    -9999
MOSCOW     240511 300  092000-092500   00    8723.18  984.7   7814.03     2.32    -9999
MOSCOW     240511 300  092500-093000   00    8680.07  984.7   7773.73     1.79    -9999
MOSCOW     240511 300  093000-093500   00    8830.03  984.6   7904.94     3.51    -9999
MOSCOW     240511 300  093500-094000   00    8634.14  984.6   7727.80     1.19    -9999
MOSCOW     240511 300  094000-094500   00    8718.50  984.6   7805.59     2.21    -9999
MOSCOW     240511 300  094500-095000   00    8817.85  984.6   7896.51     3.40    -9999
MOSCOW     240511 300  095000-095500   00    8851.59  984.7   7929.31     3.83    -9999
MOSCOW     240511 300  095500-100000   00    8820.66  984.6   7898.38     3.43    -9999
MOSCOW     240511 300  100000-100500   00    8696.00  984.6   7785.91     1.95    -9999
MOSCOW     240511 300  100500-101000   00    8819.72  984.6   7895.57     3.39    -9999
MOSCOW     240511 300  101000-101500   00    8769.11  984.6   7852.46     2.82    -9999
MOSCOW     240511 300  101500-102000   00    8773.79  984.7   7858.08     2.90    -9999
MOSCOW     240511 300  102000-102500   00    8836.59  984.6   7910.57     3.59    -9999
MOSCOW     240511 300  102500-103000   00    8737.24  984.6   7819.65     2.40    -9999
MOSCOW     240511 300  103000-103500   00    8733.49  984.7   7826.21     2.48    -9999
MOSCOW     240511 300  103500-104000   00    8830.03  984.9   7920.88     3.72    -9999
MOSCOW     240511 300  104000-104500   00    8812.22  984.9   7909.63     3.57    -9999
MOSCOW     240511 300  104500-105000   00    8794.41  985.0   7894.63     3.38    -9999
MOSCOW     240511 300  105000-105500   00    8863.77  985.1   7962.12     4.26    -9999
MOSCOW     240511 300  105500-110000   00    8857.21  985.1   7956.49     4.19    -9999
MOSCOW     240511 300  110000-110500   00    8825.34  985.1   7930.25     3.84    -9999
MOSCOW     240511 300  110500-111000   00    8695.06  985.1   7813.09     2.31    -9999
MOSCOW     240511 300  111000-111500   00    8758.80  985.1   7873.08     3.09    -9999
