DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     14.51      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       240511 300  102500-103000   00      16.15  642.6     14.75     1.65     0.02
DOMC       240511 300  103000-103500   00      15.92  642.6     14.53     0.16    -1.52
DOMC       240511 300  103500-104000   00      16.68  642.6     15.25     5.10     3.40
DOMC       240511 300  104000-104500   00      16.65  642.6     15.22     4.87     3.18
DOMC       240511 300  104500-105000   00      16.20  642.6     14.80     2.00     0.35
DOMC       240511 300  105000-105500   00      16.87  642.6     15.42     6.25     4.53
DOMC       240511 300  105500-110000   00      16.15  642.6     14.75     1.65    -0.05
DOMC       240511 300  110000-110500   00      16.23  642.6     14.83     2.23     0.52
DOMC       240511 300  110500-111000   00      16.15  642.6     14.77     1.77    -0.01
DOMC       240511 300  111000-111500   00      16.93  642.6     15.47     6.59     4.90
DOMC       240511 300  111500-112000   00      16.80  642.7     15.37     5.90     4.13
DOMC       240511 300  112000-112500   00      16.27  642.7     14.87     2.46     0.69
DOMC       240511 300  112500-113000   00      16.63  642.7     15.22     4.87     3.09
DOMC       240511 300  113000-113500   00      16.37  642.7     14.97     3.14     1.37
DOMC       240511 300  113500-114000   00      16.90  642.7     15.45     6.48     4.76
DOMC       240511 300  114000-114500   00      16.63  642.8     15.22     4.87     3.11
DOMC       240511 300  114500-115000   00      16.78  642.8     15.35     5.79     4.00
DOMC       240511 300  115000-115500   00      16.58  642.8     15.17     4.52     2.78
DOMC       240511 300  115500-120000   00      16.63  642.9     15.22     4.87     3.15
DOMC       240511 300  120000-120500   00      16.45  642.9     15.07     3.83     2.03
DOMC       240511 300  120500-121000   00      16.10  642.9     14.73     1.54    -0.24
DOMC       240511 300  121000-121500   00      16.72  642.9     15.30     5.44     3.70
DOMC       240511 300  121500-122000   00      16.33  642.9     14.95     3.03     1.21
DOMC       240511 300  122000-122500   00      16.20  642.8     14.82     2.11     0.35
DOMC       240511 300  122500-123000   00      16.12  642.8     14.75     1.65    -0.14
DOMC       240511 300  123000-123500   00      16.20  642.8     14.82     2.11     0.28
DOMC       240511 300  123500-124000   00      15.97  642.8     14.60     0.62    -1.19
DOMC       240511 300  124000-124500   00      16.42  642.8     15.02     3.49     1.70
DOMC       240511 300  124500-125000   00      15.72  642.8     14.37    -0.99    -2.75
DOMC       240511 300  125000-125500   00      16.10  642.8     14.73     1.54    -0.30
DOMC       240511 300  125500-130000   00      15.80  642.8     14.47    -0.30    -2.15
DOMC       240511 300  130000-130500   00      16.23  642.8     14.85     2.34     0.50
DOMC       240511 300  130500-131000   00      15.88  642.8     14.53     0.16    -1.66
DOMC       240511 300  131000-131500   00      16.20  642.8     14.82     2.11     0.32
DOMC       240511 300  131500-132000   00      15.52  642.8     14.18    -2.25    -4.07
DOMC       240511 300  132000-132500   00      16.47  642.8     15.07     3.83     2.00
DOMC       240511 300  132500-133000   00      15.57  642.9     14.25    -1.79    -3.63
DOMC       240511 300  133000-133500   00      16.15  642.9     14.78     1.88     0.06
DOMC       240511 300  133500-134000   00      16.18  642.9     14.82     2.11     0.24
DOMC       240511 300  134000-134500   00      15.63  642.9     14.30    -1.45    -3.27
DOMC       240511 300  134500-135000   00      16.05  642.8     14.68     1.19    -0.60
DOMC       240511 300  135000-135500   00      16.28  642.8     14.90     2.68     0.78
DOMC       240511 300  135500-140000   00      15.90  642.8     14.55     0.27    -1.60
DOMC       240511 300  140000-140500   00      16.20  642.8     14.82     2.11    -9999
