LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    383.91      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   240511 300  030500-031000   00     377.72  741.3    399.97     4.18    -9999
LOMNICKY   240511 300  031000-031500   00     375.54  741.2    397.55     3.55    -9999
LOMNICKY   240511 300  031500-032000   00     377.40  741.2    399.51     4.06    -9999
LOMNICKY   240511 300  032000-032500   00     377.85  741.2    399.85     4.15    -9999
LOMNICKY   240511 300  032500-033000   00     375.53  741.2    397.32     3.49    -9999
LOMNICKY   240511 300  033000-033500   00     376.25  741.1    397.95     3.66    -9999
LOMNICKY   240511 300  033500-034000   00     373.43  741.1    394.98     2.88    -9999
LOMNICKY   240511 300  034000-034500   00     372.78  741.2    394.42     2.74    -9999
LOMNICKY   240511 300  034500-035000   00     368.80  741.2    390.14     1.62    -9999
LOMNICKY   240511 300  035000-035500   00     373.19  741.2    394.81     2.84    -9999
LOMNICKY   240511 300  035500-040000   00     371.42  741.1    392.87     2.33    -9999
LOMNICKY   240511 300  040000-040500   00     375.68  741.2    397.42     3.52    -9999
LOMNICKY   240511 300  040500-041000   00     376.15  741.2    398.05     3.68    -9999
LOMNICKY   240511 300  041000-041500   00     371.18  741.2    392.77     2.31    -9999
LOMNICKY   240511 300  041500-042000   00     373.94  741.2    395.69     3.07    -9999
LOMNICKY   240511 300  042000-042500   00     372.07  741.2    393.73     2.56    -9999
LOMNICKY   240511 300  042500-043000   00     376.07  741.2    397.94     3.65    -9999
LOMNICKY   240511 300  043000-043500   00     370.80  741.2    392.41     2.21    -9999
LOMNICKY   240511 300  043500-044000   00     374.91  741.2    396.80     3.36    -9999
LOMNICKY   240511 300  044000-044500   00     373.11  741.2    394.86     2.85    -9999
LOMNICKY   240511 300  044500-045000   00     372.95  741.2    394.72     2.82    -9999
LOMNICKY   240511 300  045000-045500   00     373.97  741.2    395.79     3.09    -9999
LOMNICKY   240511 300  045500-050000   00     373.77  741.2    395.60     3.05    -9999
LOMNICKY   240511 300  050000-050500   00     375.62  741.2    397.55     3.55    -9999
LOMNICKY   240511 300  050500-051000   00     370.11  741.2    391.79     2.05    -9999
LOMNICKY   240511 300  051000-051500   00     370.16  741.3    391.92     2.09    -9999
LOMNICKY   240511 300  051500-052000   00     371.87  741.3    393.74     2.56    -9999
