MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    201.68      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     240511 300  044500-045000   00     205.29  984.9    207.88     3.08     2.23
MAWSON     240511 300  045000-045500   00     205.96  984.9    208.51     3.39     2.54
MAWSON     240511 300  045500-050000   00     204.05  984.9    206.62     2.45     1.59
MAWSON     240511 300  050000-050500   00     203.46  984.9    205.98     2.14     1.26
MAWSON     240511 300  050500-051000   00     202.26  984.9    204.77     1.54     0.65
MAWSON     240511 300  051000-051500   00     206.19  984.9    208.75     3.51     2.61
MAWSON     240511 300  051500-052000   00     206.53  984.9    209.09     3.68     2.77
MAWSON     240511 300  052000-052500   00     203.96  984.9    206.53     2.41     1.48
MAWSON     240511 300  052500-053000   00     204.60  984.8    207.03     2.65     1.72
MAWSON     240511 300  053000-053500   00     204.97  984.8    207.48     2.88     1.93
MAWSON     240511 300  053500-054000   00     205.30  984.8    207.73     3.00     2.05
MAWSON     240511 300  054000-054500   00     205.20  984.7    207.59     2.93     1.96
MAWSON     240511 300  054500-055000   00     204.95  984.9    207.50     2.89     1.91
MAWSON     240511 300  055000-055500   00     205.40  985.0    208.15     3.21     2.22
MAWSON     240511 300  055500-060000   00     203.99  985.1    206.84     2.56     1.56
MAWSON     240511 300  060000-060500   00     205.26  985.1    208.21     3.24     2.23
MAWSON     240511 300  060500-061000   00     204.87  985.1    207.80     3.04     2.02
MAWSON     240511 300  061000-061500   00     204.46  985.1    207.39     2.83     1.80
MAWSON     240511 300  061500-062000   00     204.67  985.0    207.45     2.86     1.82
MAWSON     240511 300  062000-062500   00     205.61  985.0    208.36     3.32     2.27
MAWSON     240511 300  062500-063000   00     203.25  985.0    206.01     2.15     1.09
MAWSON     240511 300  063000-063500   00     203.46  985.1    206.37     2.33     1.26
MAWSON     240511 300  063500-064000   00     204.43  985.1    207.36     2.82     1.74
MAWSON     240511 300  064000-064500   00     203.50  985.2    206.58     2.43     1.34
MAWSON     240511 300  064500-065000   00     204.29  985.2    207.41     2.85     1.75
MAWSON     240511 300  065000-065500   00     204.26  985.4    207.55     2.91     1.80
MAWSON     240511 300  065500-070000   00     204.12  985.4    207.39     2.84     1.72
MAWSON     240511 300  070000-070500   00     204.00  985.4    207.31     2.79     1.67
MAWSON     240511 300  070500-071000   00     203.77  985.4    207.04     2.66     1.53
MAWSON     240511 300  071000-071500   00     203.03  985.4    206.33     2.31     1.17
MAWSON     240511 300  071500-072000   00     203.48  985.4    206.75     2.52     1.37
MAWSON     240511 300  072000-072500   00     202.93  985.4    206.26     2.28     1.12
MAWSON     240511 300  072500-073000   00     206.00  985.5    209.50     3.88     2.71
MAWSON     240511 300  073000-073500   00     203.25  985.6    206.86     2.57     1.40
MAWSON     240511 300  073500-074000   00     204.30  985.6    208.02     3.14     1.96
MAWSON     240511 300  074000-074500   00     205.49  985.6    209.22     3.74     2.55
MAWSON     240511 300  074500-075000   00     203.29  985.6    206.98     2.63     1.43
MAWSON     240511 300  075000-075500   00     204.22  985.6    207.93     3.10     1.89
MAWSON     240511 300  075500-080000   00     203.84  985.7    207.58     2.93     1.71
MAWSON     240511 300  080000-080500   00     205.95  985.6    209.70     3.98     2.75
MAWSON     240511 300  080500-081000   00     204.76  985.7    208.52     3.39     2.16
MAWSON     240511 300  081000-081500   00     205.10  985.8    209.03     3.65     2.41
MAWSON     240511 300  081500-082000   00     205.16  985.8    209.09     3.67     2.43
MAWSON     240511 300  082000-082500   00     203.60  985.8    207.49     2.89     1.63
MAWSON     240511 300  082500-083000   00     206.08  985.8    210.03     4.14     2.88
MAWSON     240511 300  083000-083500   00     205.72  985.7    209.58     3.92     2.65
MAWSON     240511 300  083500-084000   00     203.47  985.7    207.21     2.74     1.47
MAWSON     240511 300  084000-084500   00     203.33  985.8    207.19     2.73     1.45
MAWSON     240511 300  084500-085000   00     203.69  985.8    207.58     2.93     1.64
MAWSON     240511 300  085000-085500   00     205.93  985.7    209.75     4.00     2.71
MAWSON     240511 300  085500-090000   00     203.87  985.8    207.77     3.02     1.72
MAWSON     240511 300  090000-090500   00     203.53  985.8    207.42     2.85     1.54
MAWSON     240511 300  090500-091000   00     202.50  985.8    206.38     2.33     1.01
MAWSON     240511 300  091000-091500   00     203.35  985.8    207.24     2.76     1.44
MAWSON     240511 300  091500-092000   00     202.35  985.8    206.22     2.26     0.92
MAWSON     240511 300  092000-092500   00     201.56  985.8    205.41     1.85     0.52
MAWSON     240511 300  092500-093000   00     201.94  985.9    206.00     2.15     0.80
MAWSON     240511 300  093000-093500   00     201.26  985.9    205.31     1.80     0.45
MAWSON     240511 300  093500-094000   00     202.31  985.9    206.38     2.33     0.98
MAWSON     240511 300  094000-094500   00     201.57  985.9    205.62     1.96     0.60
MAWSON     240511 300  094500-095000   00     201.15  986.0    205.35     1.82     0.45
MAWSON     240511 300  095000-095500   00     202.09  986.0    206.34     2.31     0.94
MAWSON     240511 300  095500-100000   00     200.69  986.0    204.91     1.61     0.23
MAWSON     240511 300  100000-100500   00     199.63  985.9    203.68     0.99    -0.39
MAWSON     240511 300  100500-101000   00     202.44  985.9    206.51     2.40     1.01
MAWSON     240511 300  101000-101500   00     202.23  985.9    206.33     2.31     0.92
MAWSON     240511 300  101500-102000   00     203.01  986.0    207.28     2.78     1.38
MAWSON     240511 300  102000-102500   00     198.80  986.0    202.99     0.65    -0.75
MAWSON     240511 300  102500-103000   00     202.39  986.0    206.54     2.41     1.00
MAWSON     240511 300  103000-103500   00     203.49  985.9    207.58     2.93     1.51
MAWSON     240511 300  103500-104000   00     204.56  986.0    208.83     3.55     2.13
MAWSON     240511 300  104000-104500   00     204.04  986.0    208.33     3.30     1.88
MAWSON     240511 300  104500-105000   00     201.89  986.0    206.10     2.19     0.77
MAWSON     240511 300  105000-105500   00     203.01  985.9    207.09     2.69     1.25
MAWSON     240511 300  105500-110000   00     205.27  986.0    209.48     3.87     2.43
MAWSON     240511 300  110000-110500   00     203.18  986.0    207.46     2.87     1.43
MAWSON     240511 300  110500-111000   00     204.85  986.1    209.20     3.73     2.29
MAWSON     240511 300  111000-111500   00     204.28  986.0    208.58     3.43     1.98
MAWSON     240511 300  111500-112000   00     201.63  986.0    205.88     2.08     0.63
MAWSON     240511 300  112000-112500   00     203.98  986.1    208.35     3.31     1.85
MAWSON     240511 300  112500-113000   00     201.49  986.2    205.92     2.11     0.65
MAWSON     240511 300  113000-113500   00     203.07  986.2    207.58     2.93     1.46
MAWSON     240511 300  113500-114000   00     203.60  986.3    208.28     3.28     1.81
MAWSON     240511 300  114000-114500   00     203.19  986.3    207.86     3.07     1.60
MAWSON     240511 300  114500-115000   00     202.08  986.4    206.81     2.54     1.07
MAWSON     240511 300  115000-115500   00     203.21  986.5    208.08     3.17     1.70
MAWSON     240511 300  115500-120000   00     202.99  986.5    207.89     3.08     1.60
MAWSON     240511 300  120000-120500   00     199.93  986.6    204.95     1.62     0.14
MAWSON     240511 300  120500-121000   00     204.69  986.5    209.59     3.92     2.44
MAWSON     240511 300  121000-121500   00     202.77  986.3    207.43     2.86     1.37
MAWSON     240511 300  121500-122000   00     200.84  986.5    205.65     1.97     0.48
MAWSON     240511 300  122000-122500   00     200.39  986.6    205.38     1.84     0.34
MAWSON     240511 300  122500-123000   00     202.56  986.6    207.61     2.94     1.45
MAWSON     240511 300  123000-123500   00     201.87  986.6    206.90     2.59     1.09
MAWSON     240511 300  123500-124000   00     201.65  986.6    206.67     2.48     0.98
MAWSON     240511 300  124000-124500   00     200.82  986.6    205.83     2.06     0.56
MAWSON     240511 300  124500-125000   00     199.26  986.6    204.23     1.27    -0.24
MAWSON     240511 300  125000-125500   00     199.07  986.6    204.03     1.17    -0.34
MAWSON     240511 300  125500-130000   00     199.01  986.6    203.97     1.14    -0.37
MAWSON     240511 300  130000-130500   00     199.13  986.6    204.09     1.20    -0.31
MAWSON     240511 300  130500-131000   00     200.63  986.7    205.74     2.02     0.50
MAWSON     240511 300  131000-131500   00     199.30  986.7    204.46     1.38    -0.13
MAWSON     240511 300  131500-132000   00     200.05  986.7    205.27     1.78     0.27
