SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    231.08      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 240511 300  024500-025000   00     266.93  671.3    250.12     8.24     7.39
SOUTH-POLE 240511 300  025000-025500   00     262.71  671.3    246.18     6.54     5.65
SOUTH-POLE 240511 300  025500-030000   00     266.72  671.3    249.95     8.17     7.26
SOUTH-POLE 240511 300  030000-030500   00     267.97  671.3    251.12     8.67     7.74
SOUTH-POLE 240511 300  030500-031000   00     266.11  671.3    249.36     7.91     6.96
SOUTH-POLE 240511 300  031000-031500   00     266.50  671.3    249.62     8.02     7.04
SOUTH-POLE 240511 300  031500-032000   00     265.51  671.2    248.51     7.55     6.54
SOUTH-POLE 240511 300  032000-032500   00     262.56  671.1    245.62     6.29     5.26
SOUTH-POLE 240511 300  032500-033000   00     260.34  671.0    243.43     5.35     4.29
SOUTH-POLE 240511 300  033000-033500   00     262.43  671.0    245.36     6.18     5.10
SOUTH-POLE 240511 300  033500-034000   00     259.48  671.0    242.58     4.98     3.88
SOUTH-POLE 240511 300  034000-034500   00     258.93  670.9    241.96     4.71     3.59
SOUTH-POLE 240511 300  034500-035000   00     261.17  670.9    244.04     5.61     4.46
SOUTH-POLE 240511 300  035000-035500   00     260.27  670.9    243.15     5.22     4.05
SOUTH-POLE 240511 300  035500-040000   00     258.68  670.9    241.61     4.56     3.36
SOUTH-POLE 240511 300  040000-040500   00     261.04  670.9    243.80     5.50     4.29
SOUTH-POLE 240511 300  040500-041000   00     259.15  670.9    242.04     4.74     3.50
SOUTH-POLE 240511 300  041000-041500   00     258.45  670.8    241.26     4.41     3.15
SOUTH-POLE 240511 300  041500-042000   00     256.69  670.7    239.49     3.64     2.36
SOUTH-POLE 240511 300  042000-042500   00     258.06  670.7    240.70     4.16     2.86
SOUTH-POLE 240511 300  042500-043000   00     260.95  670.7    243.34     5.31     3.98
SOUTH-POLE 240511 300  043000-043500   00     260.82  670.6    243.17     5.23     3.88
SOUTH-POLE 240511 300  043500-044000   00     259.61  670.6    241.97     4.71     3.34
SOUTH-POLE 240511 300  044000-044500   00     259.14  670.6    241.57     4.54     3.14
