CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    884     MB     COEFFICIENT   -999      % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    245.81      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    240511 300  060500-061000   00     278.55  884.6    252.61     2.77     1.50
CALGARY    240511 300  061000-061500   00     274.04  884.6    248.57     1.12    -0.15
CALGARY    240511 300  061500-062000   00     274.29  884.6    248.77     1.20    -0.08
CALGARY    240511 300  062000-062500   00     275.93  884.6    250.29     1.82     0.54
CALGARY    240511 300  062500-063000   00     275.27  884.6    249.60     1.54     0.26
CALGARY    240511 300  063000-063500   00     275.91  884.5    250.11     1.75     0.46
CALGARY    240511 300  063500-064000   00     276.06  884.5    250.27     1.81     0.52
CALGARY    240511 300  064000-064500   00     273.18  884.5    247.65     0.75    -0.55
CALGARY    240511 300  064500-065000   00     276.33  884.5    250.41     1.87     0.57
CALGARY    240511 300  065000-065500   00     274.46  884.5    248.66     1.16    -0.14
CALGARY    240511 300  065500-070000   00     276.34  884.4    250.30     1.83     0.52
CALGARY    240511 300  070000-070500   00     275.86  884.4    249.88     1.65     0.35
CALGARY    240511 300  070500-071000   00     275.77  884.4    249.76     1.61     0.30
CALGARY    240511 300  071000-071500   00     275.13  884.4    249.15     1.36     0.05
CALGARY    240511 300  071500-072000   00     276.06  884.4    249.92     1.67     0.37
CALGARY    240511 300  072000-072500   00     275.59  884.4    249.54     1.52     0.21
CALGARY    240511 300  072500-073000   00     275.55  884.5    249.64     1.56     0.25
CALGARY    240511 300  073000-073500   00     274.56  884.5    248.79     1.21    -0.09
CALGARY    240511 300  073500-074000   00     274.39  884.5    248.71     1.18    -0.12
CALGARY    240511 300  074000-074500   00     274.84  884.5    249.07     1.33     0.02
CALGARY    240511 300  074500-075000   00     273.80  884.5    248.11     0.94    -0.36
CALGARY    240511 300  075000-075500   00     275.59  884.5    249.69     1.58     0.28
CALGARY    240511 300  075500-080000   00     275.59  884.5    249.66     1.57     0.27
CALGARY    240511 300  080000-080500   00     274.51  884.5    248.68     1.17    -0.13
CALGARY    240511 300  080500-081000   00     272.22  884.4    246.59     0.32    -0.98
CALGARY    240511 300  081000-081500   00     276.78  884.4    250.72     2.00     0.71
CALGARY    240511 300  081500-082000   00     274.40  884.4    248.56     1.12    -0.17
CALGARY    240511 300  082000-082500   00     280.91  884.5    254.51     3.54     2.26
CALGARY    240511 300  082500-083000   00     275.06  884.5    249.25     1.40     0.12
CALGARY    240511 300  083000-083500   00     275.35  884.5    249.54     1.52     0.24
CALGARY    240511 300  083500-084000   00     276.24  884.5    250.33     1.84     0.57
CALGARY    240511 300  084000-084500   00     275.57  884.5    249.81     1.63     0.37
CALGARY    240511 300  084500-085000   00     273.20  884.5    247.66     0.75    -0.51
CALGARY    240511 300  085000-085500   00     275.87  884.5    250.10     1.74     0.49
CALGARY    240511 300  085500-090000   00     274.52  884.5    248.85     1.24    -0.01
CALGARY    240511 300  090000-090500   00     273.33  884.5    247.77     0.80    -0.44
CALGARY    240511 300  090500-091000   00     275.30  884.6    249.59     1.54     0.31
CALGARY    240511 300  091000-091500   00     275.76  884.6    250.03     1.72     0.49
CALGARY    240511 300  091500-092000   00     275.39  884.6    249.73     1.60     0.38
CALGARY    240511 300  092000-092500   00     273.54  884.6    248.17     0.96    -0.25
CALGARY    240511 300  092500-093000   00     273.99  884.7    248.69     1.17    -0.03
CALGARY    240511 300  093000-093500   00     274.08  884.7    248.81     1.22     0.03
CALGARY    240511 300  093500-094000   00     276.60  884.8    251.20     2.19     1.01
CALGARY    240511 300  094000-094500   00     273.89  884.8    248.76     1.20     0.02
CALGARY    240511 300  094500-095000   00     275.44  884.8    250.19     1.78     0.61
CALGARY    240511 300  095000-095500   00     272.42  884.8    247.51     0.69    -0.47
CALGARY    240511 300  095500-100000   00     273.74  884.8    248.75     1.19     0.05
CALGARY    240511 300  100000-100500   00     272.43  884.8    247.54     0.70    -0.43
CALGARY    240511 300  100500-101000   00     272.83  884.8    247.85     0.83    -0.30
CALGARY    240511 300  101000-101500   00     273.39  884.8    248.37     1.04    -0.08
