MAWSONB    LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSONB    INSTRUMENT   6NM64B    NEUTRON MONITOR
MAWSONB    STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSONB    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MAWSONB    PRE-INCREASE AVERAGE COUNTING RATE     23.01      COUNTS PER SECOND
MAWSONB    TIME INTERVALS    300         3600     
MAWSONB    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSONB    240511 300  115000-115500   00      24.20  986.5     23.60     2.56    -9999
MAWSONB    240511 300  115500-120000   00      24.10  986.5     23.51     2.16    -9999
MAWSONB    240511 300  120000-120500   00      24.64  986.6     24.06     4.55    -9999
MAWSONB    240511 300  120500-121000   00      24.36  986.5     23.75     3.23    -9999
MAWSONB    240511 300  121000-121500   00      24.14  986.3     23.52     2.23    -9999
MAWSONB    240511 300  121500-122000   00      24.35  986.5     23.75     3.21    -9999
MAWSONB    240511 300  122000-122500   00      24.07  986.6     23.50     2.11    -9999
MAWSONB    240511 300  122500-123000   00      24.17  986.6     23.60     2.56    -9999
MAWSONB    240511 300  123000-123500   00      23.88  986.6     23.31     1.30    -9999
MAWSONB    240511 300  123500-124000   00      24.21  986.6     23.63     2.69    -9999
MAWSONB    240511 300  124000-124500   00      24.16  986.6     23.58     2.48    -9999
MAWSONB    240511 300  124500-125000   00      24.00  986.6     23.43     1.81    -9999
MAWSONB    240511 300  125000-125500   00      24.33  986.6     23.75     3.20    -9999
MAWSONB    240511 300  125500-130000   00      24.05  986.6     23.48     2.03    -9999
MAWSONB    240511 300  130000-130500   00      24.01  986.6     23.44     1.88    -9999
MAWSONB    240511 300  130500-131000   00      24.20  986.7     23.64     2.73    -9999
MAWSONB    240511 300  131000-131500   00      23.69  986.7     23.15     0.61    -9999
MAWSONB    240511 300  131500-132000   00      23.61  986.7     23.07     0.28    -9999
MAWSONB    240511 300  132000-132500   00      23.90  986.7     23.35     1.46    -9999
MAWSONB    240511 300  132500-133000   00      24.23  986.6     23.65     2.78    -9999
MAWSONB    240511 300  133000-133500   00      24.23  986.6     23.65     2.80    -9999
MAWSONB    240511 300  133500-134000   00      23.99  986.5     23.41     1.75    -9999
MAWSONB    240511 300  134000-134500   00      23.86  986.3     23.25     1.04    -9999
MAWSONB    240511 300  134500-135000   00      23.71  986.3     23.09     0.37    -9999
MAWSONB    240511 300  135000-135500   00      23.87  986.2     23.24     1.00    -9999
MAWSONB    240511 300  135500-140000   00      24.38  986.2     23.73     3.11    -9999
