BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     MB     COEFFICIENT   -0.73     % / MB
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    108.66      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
BAKSAN     240511 300  083000-083500   00     107.62  832.2    110.94     2.10    -9999
BAKSAN     240511 300  083500-084000   00     106.32  832.0    109.46     0.74    -9999
BAKSAN     240511 300  084000-084500   00     108.19  831.9    111.26     2.39    -9999
BAKSAN     240511 300  084500-085000   00     106.79  831.8    109.76     1.01    -9999
BAKSAN     240511 300  085000-085500   00     105.51  831.9    108.48    -0.17    -9999
BAKSAN     240511 300  085500-090000   00     105.97  831.7    108.82     0.15    -9999
BAKSAN     240511 300  090000-090500   00     106.03  831.7    108.89     0.22    -9999
BAKSAN     240511 300  090500-091000   00     106.90  831.5    109.62     0.89    -9999
BAKSAN     240511 300  091000-091500   00     105.28  831.5    107.96    -0.64    -9999
BAKSAN     240511 300  091500-092000   00     107.59  831.5    110.31     1.51    -9999
BAKSAN     240511 300  092000-092500   00     106.54  831.5    109.26     0.55    -9999
BAKSAN     240511 300  092500-093000   00     106.52  831.5    109.24     0.53    -9999
BAKSAN     240511 300  093000-093500   00     106.53  831.3    109.12     0.42    -9999
BAKSAN     240511 300  093500-094000   00     108.50  831.5    111.28     2.41    -9999
BAKSAN     240511 300  094000-094500   00     107.49  831.6    110.28     1.49    -9999
BAKSAN     240511 300  094500-095000   00     108.69  831.6    111.51     2.63    -9999
BAKSAN     240511 300  095000-095500   00     108.21  831.6    111.06     2.21    -9999
BAKSAN     240511 300  095500-100000   00     108.22  831.7    111.18     2.32    -9999
BAKSAN     240511 300  100000-100500   00     108.94  831.6    111.78     2.87    -9999
BAKSAN     240511 300  100500-101000   00     106.71  831.6    109.52     0.79    -9999
BAKSAN     240511 300  101000-101500   00     107.73  831.7    110.62     1.81    -9999
BAKSAN     240511 300  101500-102000   00     109.31  831.9    112.45     3.49    -9999
BAKSAN     240511 300  102000-102500   00     107.01  832.3    110.41     1.61    -9999
BAKSAN     240511 300  102500-103000   00     106.35  832.4    109.77     1.02    -9999
BAKSAN     240511 300  103000-103500   00     108.53  832.3    111.94     3.02    -9999
BAKSAN     240511 300  103500-104000   00     106.11  832.5    109.60     0.87    -9999
BAKSAN     240511 300  104000-104500   00     107.05  832.5    110.59     1.78    -9999
BAKSAN     240511 300  104500-105000   00     107.79  832.2    111.10     2.24    -9999
BAKSAN     240511 300  105000-105500   00     108.15  832.3    111.58     2.69    -9999
BAKSAN     240511 300  105500-110000   00     107.67  832.1    110.88     2.04    -9999
BAKSAN     240511 300  110000-110500   00     109.59  831.6    112.49     3.53    -9999
BAKSAN     240511 300  110500-111000   00     109.27  831.6    112.11     3.17    -9999
BAKSAN     240511 300  111000-111500   00     108.50  831.7    111.46     2.58    -9999
BAKSAN     240511 300  111500-112000   00     106.65  831.7    109.51     0.78    -9999
BAKSAN     240511 300  112000-112500   00     108.07  831.5    110.80     1.97    -9999
BAKSAN     240511 300  112500-113000   00     109.28  831.3    111.91     2.99    -9999
BAKSAN     240511 300  113000-113500   00     107.47  831.3    110.06     1.29    -9999
BAKSAN     240511 300  113500-114000   00     107.64  831.2    110.16     1.38    -9999
BAKSAN     240511 300  114000-114500   00     107.90  831.0    110.26     1.47    -9999
BAKSAN     240511 300  114500-115000   00     107.94  831.0    110.31     1.52    -9999
BAKSAN     240511 300  115000-115500   00     108.99  831.2    111.49     2.60    -9999
BAKSAN     240511 300  115500-120000   00     108.38  831.1    110.86     2.03    -9999
BAKSAN     240511 300  120000-120500   00     108.58  831.1    111.00     2.16    -9999
BAKSAN     240511 300  120500-121000   00     106.50  831.1    108.88     0.20    -9999
BAKSAN     240511 300  121000-121500   00     109.29  831.0    111.67     2.77    -9999
BAKSAN     240511 300  121500-122000   00     107.81  831.0    110.13     1.36    -9999
BAKSAN     240511 300  122000-122500   00     108.01  831.0    110.38     1.58    -9999
BAKSAN     240511 300  122500-123000   00     107.10  831.1    109.49     0.76    -9999
BAKSAN     240511 300  123000-123500   00     106.99  831.1    109.41     0.69    -9999
BAKSAN     240511 300  123500-124000   00     108.85  831.0    111.25     2.38    -9999
BAKSAN     240511 300  124000-124500   00     105.79  830.9    108.05    -0.57    -9999
BAKSAN     240511 300  124500-125000   00     107.31  831.1    109.73     0.99    -9999
BAKSAN     240511 300  125000-125500   00     108.03  831.2    110.51     1.70    -9999
BAKSAN     240511 300  125500-130000   00     106.70  831.2    109.16     0.46    -9999
BAKSAN     240511 300  130000-130500   00     106.65  831.0    108.95     0.27    -9999
BAKSAN     240511 300  130500-131000   00     106.75  831.2    109.27     0.56    -9999
BAKSAN     240511 300  131000-131500   00     106.55  831.0    108.89     0.22    -9999
BAKSAN     240511 300  131500-132000   00     107.53  831.1    109.96     1.19    -9999
BAKSAN     240511 300  132000-132500   00     107.55  831.2    110.05     1.28    -9999
BAKSAN     240511 300  132500-133000   00     107.42  831.2    109.89     1.13    -9999
BAKSAN     240511 300  133000-133500   00     107.57  831.2    110.09     1.32    -9999
BAKSAN     240511 300  133500-134000   00     106.60  831.4    109.28     0.57    -9999
BAKSAN     240511 300  134000-134500   00     108.36  831.5    111.10     2.25    -9999
BAKSAN     240511 300  134500-135000   00     108.00  831.5    110.73     1.90    -9999
