YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    183.29      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    240511 300  030000-030500   00     186.99 1007.1    192.53     5.04     3.64
YAKUTSK    240511 300  030500-031000   00     187.25 1007.0    192.72     5.14     3.73
YAKUTSK    240511 300  031000-031500   00     185.36 1007.0    190.77     4.08     2.66
YAKUTSK    240511 300  031500-032000   00     186.16 1007.0    191.55     4.50     3.07
YAKUTSK    240511 300  032000-032500   00     186.05 1007.0    191.44     4.45     3.00
YAKUTSK    240511 300  032500-033000   00     185.01 1007.0    190.35     3.85     2.40
YAKUTSK    240511 300  033000-033500   00     184.53 1007.0    189.81     3.56     2.10
YAKUTSK    240511 300  033500-034000   00     185.79 1006.8    190.93     4.17     2.69
YAKUTSK    240511 300  034000-034500   00     183.04 1006.8    188.03     2.58     1.11
YAKUTSK    240511 300  034500-035000   00     184.08 1006.8    189.23     3.24     1.75
YAKUTSK    240511 300  035000-035500   00     185.79 1006.9    190.99     4.20     2.69
YAKUTSK    240511 300  035500-040000   00     184.88 1006.8    189.95     3.63     2.12
YAKUTSK    240511 300  040000-040500   00     184.53 1006.8    189.57     3.43     1.91
YAKUTSK    240511 300  040500-041000   00     185.68 1006.7    190.64     4.01     2.48
YAKUTSK    240511 300  041000-041500   00     185.71 1006.7    190.64     4.01     2.47
YAKUTSK    240511 300  041500-042000   00     187.41 1006.6    192.35     4.94     3.39
YAKUTSK    240511 300  042000-042500   00     187.31 1006.6    192.13     4.82     3.27
YAKUTSK    240511 300  042500-043000   00     182.83 1006.6    187.57     2.34     0.79
YAKUTSK    240511 300  043000-043500   00     188.19 1006.6    193.12     5.36     3.79
