NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.72     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    174.35      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       240511 300  024000-024500   00     183.92 1010.4    181.22     3.94     3.66
NAIN       240511 300  024500-025000   00     183.55 1010.4    180.84     3.72     3.43
NAIN       240511 300  025000-025500   00     183.62 1010.4    180.91     3.76     3.45
NAIN       240511 300  025500-030000   00     184.37 1010.4    181.63     4.18     3.85
NAIN       240511 300  030000-030500   00     186.03 1010.3    183.25     5.10     4.76
NAIN       240511 300  030500-031000   00     185.83 1010.4    183.08     5.01     4.65
NAIN       240511 300  031000-031500   00     183.22 1010.4    180.55     3.56     3.18
NAIN       240511 300  031500-032000   00     185.19 1010.4    182.55     4.70     4.32
NAIN       240511 300  032000-032500   00     183.34 1010.5    180.74     3.67     3.26
NAIN       240511 300  032500-033000   00     185.00 1010.4    182.31     4.57     4.15
NAIN       240511 300  033000-033500   00     185.56 1010.4    182.84     4.87     4.44
NAIN       240511 300  033500-034000   00     182.85 1010.4    180.16     3.33     2.88
NAIN       240511 300  034000-034500   00     185.33 1010.4    182.64     4.76     4.29
NAIN       240511 300  034500-035000   00     186.98 1010.4    184.24     5.67     5.19
NAIN       240511 300  035000-035500   00     184.84 1010.4    182.11     4.45     3.96
NAIN       240511 300  035500-040000   00     183.51 1010.4    180.79     3.70     3.19
NAIN       240511 300  040000-040500   00     184.09 1010.3    181.34     4.01     3.48
NAIN       240511 300  040500-041000   00     182.92 1010.3    180.16     3.33     2.79
NAIN       240511 300  041000-041500   00     182.05 1010.3    179.27     2.82     2.26
NAIN       240511 300  041500-042000   00     182.59 1010.3    179.77     3.11     2.54
NAIN       240511 300  042000-042500   00     183.14 1010.2    180.26     3.39     2.81
NAIN       240511 300  042500-043000   00     182.51 1010.2    179.61     3.02     2.42
NAIN       240511 300  043000-043500   00     186.64 1010.2    183.69     5.36     4.74
NAIN       240511 300  043500-044000   00     184.11 1010.2    181.18     3.92     3.29
NAIN       240511 300  044000-044500   00     185.38 1010.2    182.38     4.61     3.96
NAIN       240511 300  044500-045000   00     184.96 1010.2    181.99     4.38     3.72
NAIN       240511 300  045000-045500   00     183.64 1010.2    180.70     3.64     2.97
NAIN       240511 300  045500-050000   00     184.72 1010.2    181.73     4.23     3.54
NAIN       240511 300  050000-050500   00     184.19 1010.2    181.18     3.92     3.21
NAIN       240511 300  050500-051000   00     182.32 1010.2    179.35     2.87     2.15
NAIN       240511 300  051000-051500   00     183.75 1010.2    180.80     3.70     2.96
NAIN       240511 300  051500-052000   00     181.82 1010.2    178.91     2.61     1.86
NAIN       240511 300  052000-052500   00     183.03 1010.2    180.12     3.31     2.54
NAIN       240511 300  052500-053000   00     180.50 1010.3    177.70     1.92     1.14
NAIN       240511 300  053000-053500   00     182.69 1010.3    179.90     3.19     2.39
NAIN       240511 300  053500-054000   00     179.87 1010.3    177.09     1.58     0.77
NAIN       240511 300  054000-054500   00     182.77 1010.3    179.94     3.21     2.38
NAIN       240511 300  054500-055000   00     183.26 1010.2    180.37     3.45     2.62
NAIN       240511 300  055000-055500   00     180.66 1010.3    177.83     2.00     1.14
NAIN       240511 300  055500-060000   00     182.63 1010.2    179.76     3.10     2.24
NAIN       240511 300  060000-060500   00     180.51 1010.3    177.71     1.93     1.04
NAIN       240511 300  060500-061000   00     183.43 1010.3    180.60     3.59     2.69
NAIN       240511 300  061000-061500   00     181.67 1010.3    178.88     2.60     1.69
NAIN       240511 300  061500-062000   00     180.35 1010.3    177.60     1.86     0.94
NAIN       240511 300  062000-062500   00     183.89 1010.3    181.05     3.85     2.91
NAIN       240511 300  062500-063000   00     181.00 1010.3    178.23     2.23     1.27
NAIN       240511 300  063000-063500   00     180.87 1010.3    178.09     2.15     1.18
NAIN       240511 300  063500-064000   00     180.10 1010.3    177.35     1.72     0.74
NAIN       240511 300  064000-064500   00     182.42 1010.3    179.64     3.03     2.04
NAIN       240511 300  064500-065000   00     180.89 1010.3    178.12     2.17     1.16
NAIN       240511 300  065000-065500   00     182.83 1010.3    180.06     3.28     2.25
NAIN       240511 300  065500-070000   00     182.16 1010.3    179.35     2.87     1.83
NAIN       240511 300  070000-070500   00     182.31 1010.3    179.51     2.96     1.91
NAIN       240511 300  070500-071000   00     181.53 1010.3    178.78     2.54     1.48
NAIN       240511 300  071000-071500   00     181.93 1010.3    179.21     2.79     1.71
NAIN       240511 300  071500-072000   00     181.57 1010.4    178.87     2.60     1.50
NAIN       240511 300  072000-072500   00     183.59 1010.4    180.91     3.77     2.66
NAIN       240511 300  072500-073000   00     182.50 1010.4    179.81     3.14     2.02
NAIN       240511 300  073000-073500   00     181.98 1010.3    179.22     2.79     1.66
NAIN       240511 300  073500-074000   00     182.84 1010.3    180.01     3.25     2.10
NAIN       240511 300  074000-074500   00     182.82 1010.3    179.99     3.24     2.08
NAIN       240511 300  074500-075000   00     182.76 1010.3    180.00     3.24     2.07
NAIN       240511 300  075000-075500   00     183.77 1010.3    180.97     3.80     2.61
NAIN       240511 300  075500-080000   00     182.73 1010.3    179.96     3.22     2.02
NAIN       240511 300  080000-080500   00     178.85 1010.3    176.12     1.02    -0.20
NAIN       240511 300  080500-081000   00     183.63 1010.3    180.79     3.70     2.47
NAIN       240511 300  081000-081500   00     181.09 1010.3    178.27     2.25     1.00
NAIN       240511 300  081500-082000   00     182.69 1010.3    179.89     3.18     1.92
NAIN       240511 300  082000-082500   00     182.41 1010.3    179.62     3.02     1.75
NAIN       240511 300  082500-083000   00     181.42 1010.4    178.73     2.51     1.23
NAIN       240511 300  083000-083500   00     182.44 1010.4    179.72     3.08     1.79
NAIN       240511 300  083500-084000   00     182.93 1010.4    180.23     3.37     2.07
NAIN       240511 300  084000-084500   00     185.59 1010.4    182.83     4.87     3.54
NAIN       240511 300  084500-085000   00     181.75 1010.3    179.02     2.68     1.35
NAIN       240511 300  085000-085500   00     179.49 1010.4    176.81     1.41     0.07
NAIN       240511 300  085500-090000   00     181.47 1010.4    178.80     2.55     1.19
NAIN       240511 300  090000-090500   00     183.79 1010.4    181.15     3.90     2.53
NAIN       240511 300  090500-091000   00     183.24 1010.4    180.60     3.59     2.20
NAIN       240511 300  091000-091500   00     182.97 1010.4    180.36     3.45     2.05
NAIN       240511 300  091500-092000   00     182.88 1010.4    180.26     3.39     1.98
NAIN       240511 300  092000-092500   00     182.28 1010.4    179.69     3.06     1.64
NAIN       240511 300  092500-093000   00     182.70 1010.5    180.12     3.31     1.87
NAIN       240511 300  093000-093500   00     181.65 1010.5    179.11     2.73     1.28
NAIN       240511 300  093500-094000   00     183.99 1010.5    181.47     4.08     2.62
NAIN       240511 300  094000-094500   00     181.57 1010.5    179.08     2.71     1.23
NAIN       240511 300  094500-095000   00     180.96 1010.5    178.48     2.37     0.88
NAIN       240511 300  095000-095500   00     182.58 1010.5    180.12     3.31     1.81
NAIN       240511 300  095500-100000   00     180.57 1010.6    178.17     2.19     0.68
NAIN       240511 300  100000-100500   00     179.88 1010.6    177.54     1.83     0.30
NAIN       240511 300  100500-101000   00     180.82 1010.6    178.50     2.38     0.84
NAIN       240511 300  101000-101500   00     180.00 1010.7    177.79     1.97     0.42
NAIN       240511 300  101500-102000   00     181.41 1010.7    179.17     2.77     1.20
NAIN       240511 300  102000-102500   00     183.31 1010.6    180.98     3.80     2.22
NAIN       240511 300  102500-103000   00     181.67 1010.6    179.36     2.87     1.28
NAIN       240511 300  103000-103500   00     181.22 1010.6    178.91     2.62     1.01
NAIN       240511 300  103500-104000   00     180.53 1010.6    178.20     2.21     0.59
NAIN       240511 300  104000-104500   00     182.75 1010.6    180.42     3.48     1.85
NAIN       240511 300  104500-105000   00     179.84 1010.7    177.60     1.87     0.22
NAIN       240511 300  105000-105500   00     182.95 1010.7    180.64     3.61     1.95
NAIN       240511 300  105500-110000   00     180.43 1010.6    178.11     2.16     0.49
NAIN       240511 300  110000-110500   00     181.39 1010.6    179.03     2.68     1.01
NAIN       240511 300  110500-111000   00     179.47 1010.6    177.13     1.59    -0.10
NAIN       240511 300  111000-111500   00     180.49 1010.6    178.09     2.15     0.44
NAIN       240511 300  111500-112000   00     179.02 1010.6    176.66     1.33    -0.39
NAIN       240511 300  112000-112500   00     180.57 1010.6    178.21     2.21     0.49
NAIN       240511 300  112500-113000   00     180.40 1010.6    178.08     2.14     0.40
NAIN       240511 300  113000-113500   00     179.50 1010.6    177.15     1.61    -0.14
NAIN       240511 300  113500-114000   00     180.47 1010.6    178.13     2.17     0.40
NAIN       240511 300  114000-114500   00     179.06 1010.6    176.71     1.36    -0.42
NAIN       240511 300  114500-115000   00     180.64 1010.6    178.29     2.26     0.47
NAIN       240511 300  115000-115500   00     178.25 1010.5    175.85     0.86    -0.94
NAIN       240511 300  115500-120000   00     178.15 1010.5    175.67     0.76    -1.05
NAIN       240511 300  120000-120500   00     178.47 1010.4    175.93     0.91    -0.92
NAIN       240511 300  120500-121000   00     179.30 1010.4    176.73     1.37    -0.47
NAIN       240511 300  121000-121500   00     178.45 1010.4    175.88     0.88    -0.97
NAIN       240511 300  121500-122000   00     179.59 1010.4    177.00     1.52    -0.34
NAIN       240511 300  122000-122500   00     179.21 1010.4    176.61     1.30    -0.57
NAIN       240511 300  122500-123000   00     177.41 1010.4    174.77     0.24    -1.64
NAIN       240511 300  123000-123500   00     179.37 1010.4    176.72     1.36    -0.53
NAIN       240511 300  123500-124000   00     179.26 1010.4    176.60     1.29    -0.61
NAIN       240511 300  124000-124500   00     177.69 1010.4    175.05     0.40    -1.52
NAIN       240511 300  124500-125000   00     178.78 1010.4    176.11     1.01    -0.92
NAIN       240511 300  125000-125500   00     180.68 1010.4    177.99     2.09     0.15
NAIN       240511 300  125500-130000   00     179.43 1010.3    176.71     1.35    -0.60
NAIN       240511 300  130000-130500   00     178.63 1010.3    175.86     0.87    -1.10
NAIN       240511 300  130500-131000   00     179.56 1010.3    176.79     1.40    -0.57
NAIN       240511 300  131000-131500   00     180.16 1010.3    177.37     1.74    -0.25
NAIN       240511 300  131500-132000   00     179.41 1010.3    176.63     1.31    -0.69
NAIN       240511 300  132000-132500   00     177.72 1010.3    174.96     0.35    -1.66
NAIN       240511 300  132500-133000   00     179.33 1010.2    176.49     1.23    -0.79
NAIN       240511 300  133000-133500   00     178.38 1010.2    175.46     0.64    -1.39
NAIN       240511 300  133500-134000   00     180.83 1010.1    177.82     1.99    -0.05
NAIN       240511 300  134000-134500   00     181.14 1010.1    178.10     2.15     0.10
NAIN       240511 300  134500-135000   00     180.85 1010.1    177.79     1.97    -0.09
NAIN       240511 300  135000-135500   00     180.62 1010.1    177.54     1.83    -0.24
NAIN       240511 300  135500-140000   00     179.74 1010.0    176.63     1.31    -0.78
NAIN       240511 300  140000-140500   00     179.30 1010.0    176.21     1.07    -9999
NAIN       240511 300  140500-141000   00     179.50 1010.0    176.38     1.17    -9999
NAIN       240511 300  141000-141500   00     180.20 1010.0    177.08     1.57    -9999
NAIN       240511 300  141500-142000   00     179.80 1010.0    176.68     1.34    -9999
NAIN       240511 300  142000-142500   00     182.34 1010.0    179.16     2.76    -9999
