DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    -999    MB     COEFFICIENT   -999      % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     92.99      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    240511 300  052500-053000   00      90.02  995.1     95.87     3.09    -9999
DOURBES    240511 300  053000-053500   00      90.92  995.1     96.83     4.12    -9999
DOURBES    240511 300  053500-054000   00      88.83  995.1     94.62     1.75    -9999
DOURBES    240511 300  054000-054500   00      89.62  995.1     95.48     2.67    -9999
DOURBES    240511 300  054500-055000   00      87.65  995.2     93.39     0.43    -9999
DOURBES    240511 300  055000-055500   00      90.22  995.2     96.16     3.41    -9999
DOURBES    240511 300  055500-060000   00      86.57  995.2     92.26    -0.79    -9999
DOURBES    240511 300  060000-060500   00      89.02  995.2     94.88     2.03    -9999
DOURBES    240511 300  060500-061000   00      88.04  995.2     93.81     0.88    -9999
DOURBES    240511 300  061000-061500   00      89.27  995.2     95.12     2.29    -9999
DOURBES    240511 300  061500-062000   00      86.91  995.2     92.62    -0.40    -9999
DOURBES    240511 300  062000-062500   00      89.57  995.2     95.44     2.63    -9999
DOURBES    240511 300  062500-063000   00      89.86  995.1     95.74     2.95    -9999
DOURBES    240511 300  063000-063500   00      89.03  995.1     94.86     2.01    -9999
DOURBES    240511 300  063500-064000   00      87.43  995.2     93.18     0.20    -9999
DOURBES    240511 300  064000-064500   00      88.16  995.2     93.96     1.04    -9999
DOURBES    240511 300  064500-065000   00      86.74  995.2     92.45    -0.58    -9999
DOURBES    240511 300  065000-065500   00      86.77  995.2     92.49    -0.54    -9999
DOURBES    240511 300  065500-070000   00      89.54  995.2     95.44     2.63    -9999
DOURBES    240511 300  070000-070500   00      88.76  995.2     94.60     1.72    -9999
DOURBES    240511 300  070500-071000   00      87.96  995.1     93.71     0.77    -9999
DOURBES    240511 300  071000-071500   00      88.17  995.1     93.94     1.02    -9999
DOURBES    240511 300  071500-072000   00      87.22  995.2     92.95    -0.05    -9999
DOURBES    240511 300  072000-072500   00      86.87  995.1     92.55    -0.48    -9999
DOURBES    240511 300  072500-073000   00      88.41  995.1     94.18     1.28    -9999
DOURBES    240511 300  073000-073500   00      87.50  995.1     93.21     0.23    -9999
DOURBES    240511 300  073500-074000   00      87.64  995.1     93.33     0.37    -9999
DOURBES    240511 300  074000-074500   00      89.54  995.1     95.35     2.54    -9999
DOURBES    240511 300  074500-075000   00      89.28  995.1     95.06     2.23    -9999
DOURBES    240511 300  075000-075500   00      88.92  995.0     94.63     1.76    -9999
DOURBES    240511 300  075500-080000   00      88.97  995.0     94.67     1.81    -9999
DOURBES    240511 300  080000-080500   00      88.96  995.0     94.64     1.77    -9999
DOURBES    240511 300  080500-081000   00      88.54  995.0     94.19     1.29    -9999
DOURBES    240511 300  081000-081500   00      89.60  994.9     95.30     2.48    -9999
DOURBES    240511 300  081500-082000   00      87.85  994.9     93.44     0.48    -9999
DOURBES    240511 300  082000-082500   00      89.81  994.9     95.50     2.70    -9999
DOURBES    240511 300  082500-083000   00      89.18  994.9     94.85     2.00    -9999
DOURBES    240511 300  083000-083500   00      88.65  995.0     94.32     1.42    -9999
DOURBES    240511 300  083500-084000   00      89.20  994.9     94.86     2.00    -9999
DOURBES    240511 300  084000-084500   00      88.92  994.9     94.54     1.66    -9999
DOURBES    240511 300  084500-085000   00      90.47  994.8     96.17     3.41    -9999
DOURBES    240511 300  085000-085500   00      87.90  994.8     93.39     0.42    -9999
