JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    139.99      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   240511 300  021000-021500   00     145.69  661.2    143.73     2.67    -9999
JUNGFRAU   240511 300  021500-022000   00     145.13  661.2    143.22     2.30    -9999
JUNGFRAU   240511 300  022000-022500   00     145.34  661.2    143.41     2.44    -9999
JUNGFRAU   240511 300  022500-023000   00     145.19  661.1    143.18     2.27    -9999
JUNGFRAU   240511 300  023000-023500   00     146.43  661.1    144.38     3.13    -9999
JUNGFRAU   240511 300  023500-024000   00     148.37  661.1    146.28     4.49    -9999
JUNGFRAU   240511 300  024000-024500   00     147.42  661.1    145.32     3.81    -9999
JUNGFRAU   240511 300  024500-025000   00     146.48  661.1    144.54     3.25    -9999
JUNGFRAU   240511 300  025000-025500   00     147.87  661.0    145.71     4.08    -9999
JUNGFRAU   240511 300  025500-030000   00     146.41  661.0    144.24     3.03    -9999
JUNGFRAU   240511 300  030000-030500   00     144.35  661.0    142.27     1.63    -9999
JUNGFRAU   240511 300  030500-031000   00     146.94  661.0    144.78     3.42    -9999
JUNGFRAU   240511 300  031000-031500   00     146.57  661.0    144.36     3.12    -9999
JUNGFRAU   240511 300  031500-032000   00     148.41  661.0    146.25     4.46    -9999
JUNGFRAU   240511 300  032000-032500   00     146.29  661.0    144.15     2.97    -9999
JUNGFRAU   240511 300  032500-033000   00     146.88  661.0    144.64     3.32    -9999
JUNGFRAU   240511 300  033000-033500   00     144.97  660.9    142.83     2.02    -9999
JUNGFRAU   240511 300  033500-034000   00     147.05  660.9    144.84     3.46    -9999
JUNGFRAU   240511 300  034000-034500   00     145.35  660.9    143.05     2.18    -9999
JUNGFRAU   240511 300  034500-035000   00     143.69  661.0    141.52     1.09    -9999
JUNGFRAU   240511 300  035000-035500   00     143.40  661.0    141.22     0.88    -9999
JUNGFRAU   240511 300  035500-040000   00     144.62  661.0    142.39     1.71    -9999
JUNGFRAU   240511 300  040000-040500   00     143.68  661.0    141.63     1.17    -9999
JUNGFRAU   240511 300  040500-041000   00     143.87  661.0    141.79     1.28    -9999
JUNGFRAU   240511 300  041000-041500   00     144.36  661.0    142.28     1.63    -9999
JUNGFRAU   240511 300  041500-042000   00     144.77  661.0    142.65     1.90    -9999
JUNGFRAU   240511 300  042000-042500   00     144.20  661.0    142.13     1.53    -9999
JUNGFRAU   240511 300  042500-043000   00     144.60  661.0    142.38     1.70    -9999
JUNGFRAU   240511 300  043000-043500   00     143.50  661.0    141.41     1.01    -9999
JUNGFRAU   240511 300  043500-044000   00     144.18  661.0    141.99     1.42    -9999
JUNGFRAU   240511 300  044000-044500   00     143.90  661.0    141.73     1.24    -9999
JUNGFRAU   240511 300  044500-045000   00     144.11  661.0    141.98     1.42    -9999
JUNGFRAU   240511 300  045000-045500   00     141.98  661.1    140.02     0.02    -9999
JUNGFRAU   240511 300  045500-050000   00     143.20  661.0    141.07     0.77    -9999
JUNGFRAU   240511 300  050000-050500   00     144.49  661.0    142.37     1.70    -9999
JUNGFRAU   240511 300  050500-051000   00     142.72  661.0    140.63     0.45    -9999
JUNGFRAU   240511 300  051000-051500   00     143.57  661.0    141.43     1.03    -9999
JUNGFRAU   240511 300  051500-052000   00     143.36  661.0    141.31     0.94    -9999
JUNGFRAU   240511 300  052000-052500   00     144.35  661.0    142.25     1.61    -9999
JUNGFRAU   240511 300  052500-053000   00     142.62  661.0    140.54     0.39    -9999
JUNGFRAU   240511 300  053000-053500   00     143.34  661.0    141.31     0.94    -9999
JUNGFRAU   240511 300  053500-054000   00     143.41  661.1    141.52     1.09    -9999
JUNGFRAU   240511 300  054000-054500   00     142.53  661.1    140.57     0.41    -9999
JUNGFRAU   240511 300  054500-055000   00     143.42  661.1    141.47     1.05    -9999
JUNGFRAU   240511 300  055000-055500   00     141.57  661.1    139.60    -0.28    -9999
JUNGFRAU   240511 300  055500-060000   00     140.17  661.1    138.27    -1.23    -9999
JUNGFRAU   240511 300  060000-060500   00     141.08  661.1    139.16    -0.59    -9999
JUNGFRAU   240511 300  060500-061000   00     140.34  661.1    138.40    -1.14    -9999
JUNGFRAU   240511 300  061000-061500   00     140.08  661.1    138.05    -1.39    -9999
JUNGFRAU   240511 300  061500-062000   00     140.55  661.1    138.60    -1.00    -9999
JUNGFRAU   240511 300  062000-062500   00     141.51  661.1    139.47    -0.38    -9999
JUNGFRAU   240511 300  062500-063000   00     139.90  661.2    137.97    -1.44    -9999
JUNGFRAU   240511 300  063000-063500   00     141.79  661.2    139.92    -0.05    -9999
JUNGFRAU   240511 300  063500-064000   00     142.02  661.2    140.06     0.05    -9999
JUNGFRAU   240511 300  064000-064500   00     142.47  661.2    141.60     1.15    -9999
JUNGFRAU   240511 300  064500-065000   00     141.55  661.3    139.81    -0.13    -9999
JUNGFRAU   240511 300  065000-065500   00     140.79  661.3    139.13    -0.62    -9999
JUNGFRAU   240511 300  065500-070000   00     140.42  661.3    138.67    -0.95    -9999
JUNGFRAU   240511 300  070000-070500   00     139.57  661.3    137.88    -1.51    -9999
JUNGFRAU   240511 300  070500-071000   00     142.92  661.3    141.11     0.79    -9999
JUNGFRAU   240511 300  071000-071500   00     140.06  661.4    138.42    -1.12    -9999
JUNGFRAU   240511 300  071500-072000   00     141.17  661.4    139.61    -0.28    -9999
JUNGFRAU   240511 300  072000-072500   00     140.68  661.3    138.99    -0.72    -9999
JUNGFRAU   240511 300  072500-073000   00     143.55  661.3    141.74     1.25    -9999
JUNGFRAU   240511 300  073000-073500   00     142.17  661.4    140.47     0.34    -9999
JUNGFRAU   240511 300  073500-074000   00     142.97  661.4    141.28     0.91    -9999
JUNGFRAU   240511 300  074000-074500   00     142.63  661.4    140.89     0.64    -9999
