MIRNY      LATITUDE    -66.55    LONGITUDE     93.02     ALTITUDE    30 M
MIRNY      INSTRUMENT   12NM64    NEUTRON MONITOR
MIRNY      STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.73     % / MB
MIRNY      PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MIRNY      PRE-INCREASE AVERAGE COUNTING RATE  5,842.42      COUNTS PER SECOND
MIRNY      TIME INTERVALS    300         3600     
MIRNY      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MIRNY      240511 300  102500-103000   00    7415.00  970.3   5953.00     1.89     1.55
MIRNY      240511 300  103000-103500   00    7408.00  970.2   5942.00     1.70     1.36
MIRNY      240511 300  103500-104000   00    7526.00  970.2   6036.00     3.31     2.97
MIRNY      240511 300  104000-104500   00    7476.00  970.1   5994.00     2.59     2.25
MIRNY      240511 300  104500-105000   00    7492.00  970.0   6000.00     2.70     2.35
MIRNY      240511 300  105000-105500   00    7348.00  970.0   5884.00     0.71     0.36
MIRNY      240511 300  105500-110000   00    7491.00  969.9   5998.00     2.66     2.31
MIRNY      240511 300  110000-110500   00    7476.00  969.9   5985.00     2.44     2.08
MIRNY      240511 300  110500-111000   00    7475.00  970.0   5988.00     2.49     2.13
MIRNY      240511 300  111000-111500   00    7562.00  969.9   6052.00     3.59     3.22
MIRNY      240511 300  111500-112000   00    7457.00  969.9   5966.00     2.12     1.75
MIRNY      240511 300  112000-112500   00    7548.00  969.9   6040.00     3.38     3.01
MIRNY      240511 300  112500-113000   00    7456.00  969.8   5964.00     2.08     1.71
MIRNY      240511 300  113000-113500   00    7518.00  969.8   6012.00     2.90     2.53
MIRNY      240511 300  113500-114000   00    7428.00  969.8   5939.00     1.65     1.27
MIRNY      240511 300  114000-114500   00    7419.00  969.7   5929.00     1.48     1.10
MIRNY      240511 300  114500-115000   00    7438.00  969.7   5945.00     1.76     1.37
MIRNY      240511 300  115000-115500   00    7382.00  969.8   5903.00     1.04     0.65
MIRNY      240511 300  115500-120000   00    7517.00  969.8   6010.00     2.87     2.48
MIRNY      240511 300  120000-120500   00    7451.00  969.7   5954.00     1.91     1.52
MIRNY      240511 300  120500-121000   00    7539.00  969.7   6025.00     3.13     2.73
MIRNY      240511 300  121000-121500   00    7461.00  969.7   5961.00     2.03     1.63
MIRNY      240511 300  121500-122000   00    7477.00  969.7   5975.00     2.27     1.87
MIRNY      240511 300  122000-122500   00    7411.00  969.7   5921.00     1.34     0.94
MIRNY      240511 300  122500-123000   00    7429.00  969.7   5937.00     1.62     1.21
MIRNY      240511 300  123000-123500   00    7387.00  969.7   5903.00     1.04     0.62
MIRNY      240511 300  123500-124000   00    7423.00  969.6   5928.00     1.46     1.05
MIRNY      240511 300  124000-124500   00    7375.00  969.5   5884.00     0.71     0.29
MIRNY      240511 300  124500-125000   00    7419.00  969.3   5912.00     1.19     0.77
MIRNY      240511 300  125000-125500   00    7370.00  969.2   5867.00     0.42     0.00
MIRNY      240511 300  125500-130000   00    7403.00  969.1   5888.00     0.78     0.35
MIRNY      240511 300  130000-130500   00    7467.00  969.0   5939.00     1.65     1.22
MIRNY      240511 300  130500-131000   00    7309.00  969.0   5813.00    -0.50    -0.94
MIRNY      240511 300  131000-131500   00    7453.00  968.9   5923.00     1.38     0.94
MIRNY      240511 300  131500-132000   00    7368.00  969.1   5861.00     0.32    -0.12
MIRNY      240511 300  132000-132500   00    7445.00  969.1   5922.00     1.36     0.92
MIRNY      240511 300  132500-133000   00    7477.00  968.9   5939.00     1.65     1.21
MIRNY      240511 300  133000-133500   00    7415.00  968.9   5892.00     0.85     0.40
MIRNY      240511 300  133500-134000   00    7366.00  968.8   5845.00     0.04    -0.41
MIRNY      240511 300  134000-134500   00    7439.00  968.8   5905.00     1.07     0.62
MIRNY      240511 300  134500-135000   00    7467.00  968.8   5925.00     1.41     0.96
MIRNY      240511 300  135000-135500   00    7425.00  968.7   5890.00     0.81     0.35
MIRNY      240511 300  135500-140000   00    7401.00  968.7   5873.00     0.52     0.06
MIRNY      240511 300  140000-140500   00    7277.00  968.7   5774.00    -1.17    -9999
MIRNY      240511 300  140500-141000   00    7332.00  968.7   5817.00    -0.44    -9999
MIRNY      240511 300  141000-141500   00    7400.00  968.8   5874.00     0.54    -9999
MIRNY      240511 300  141500-142000   00    7409.00  968.6   5874.00     0.54    -9999
MIRNY      240511 300  142000-142500   00    7545.00  968.6   5981.00     2.37    -9999
MIRNY      240511 300  142500-143000   00    7314.00  968.6   5796.00    -0.79    -9999
MIRNY      240511 300  143000-143500   00    7532.00  968.3   5960.00     2.01    -9999
MIRNY      240511 300  143500-144000   00    7425.00  968.3   5872.00     0.51    -9999
MIRNY      240511 300  144000-144500   00    7488.00  968.4   5926.00     1.43    -9999
MIRNY      240511 300  144500-145000   00    7450.00  968.3   5891.00     0.83    -9999
MIRNY      240511 300  145000-145500   00    7510.00  968.2   5933.00     1.55    -9999
MIRNY      240511 300  145500-150000   00    7425.00  968.2   5869.00     0.45    -9999
MIRNY      240511 300  150000-150500   00    7396.00  968.3   5847.00     0.08    -9999
MIRNY      240511 300  150500-151000   00    7403.00  968.1   5846.00     0.06    -9999
MIRNY      240511 300  151000-151500   00    7334.00  968.2   5795.00    -0.81    -9999
MIRNY      240511 300  151500-152000   00    7476.00  968.1   5906.00     1.09    -9999
MIRNY      240511 300  152000-152500   00    7440.00  968.0   5873.00     0.52    -9999
MIRNY      240511 300  152500-153000   00    7500.00  968.1   5924.00     1.40    -9999
MIRNY      240511 300  153000-153500   00    7436.00  968.2   5875.00     0.56    -9999
MIRNY      240511 300  153500-154000   00    7365.00  968.1   5818.00    -0.42    -9999
MIRNY      240511 300  154000-154500   00    7405.00  968.1   5846.00     0.06    -9999
MIRNY      240511 300  154500-155000   00    7354.00  967.9   5796.00    -0.79    -9999
MIRNY      240511 300  155000-155500   00    7407.00  967.8   5838.00    -0.08    -9999
MIRNY      240511 300  155500-160000   00    7452.00  967.7   5868.00     0.44    -9999
MIRNY      240511 300  160000-160500   00    7511.00  967.7   5916.00     1.26    -9999
MIRNY      240511 300  160500-161000   00    7513.00  967.9   5922.00     1.36    -9999
MIRNY      240511 300  161000-161500   00    7426.00  967.7   5849.00     0.11    -9999
MIRNY      240511 300  161500-162000   00    7506.00  967.5   5904.00     1.05    -9999
MIRNY      240511 300  162000-162500   00    7528.00  967.3   5912.00     1.19    -9999
MIRNY      240511 300  162500-163000   00    7484.00  967.2   5873.00     0.52    -9999
MIRNY      240511 300  163000-163500   00    7429.00  967.1   5825.00    -0.30    -9999
MIRNY      240511 300  163500-164000   00    7497.00  967.2   5882.00     0.68    -9999
MIRNY      240511 300  164000-164500   00    7468.00  967.1   5852.00     0.16    -9999
MIRNY      240511 300  164500-165000   00    7451.00  967.0   5838.00    -0.08    -9999
MIRNY      240511 300  165000-165500   00    7586.00  967.1   5949.00     1.82    -9999
MIRNY      240511 300  165500-170000   00    7547.00  967.0   5910.00     1.16    -9999
MIRNY      240511 3600 170000-180000   00    7558.00  966.4   5903.00     1.04    -9999
MIRNY      240511 3600 180000-190000   00    7553.00  965.6   5855.00     0.22    -9999
MIRNY      240511 3600 190000-200000   00    7541.00  965.9   5871.00     0.49    -9999
MIRNY      240511 3600 200000-210000   00    7563.00  965.8   5871.00     0.49    -9999
MIRNY      240511 3600 210000-220000   00    7564.00  965.7   5891.00     0.83    -9999
MIRNY      240511 3600 220000-230000   00    7604.00  965.4   5899.00     0.97    -9999
MIRNY      240511 3600 230000-240000   00    7604.00  965.5   5892.00     0.85    -9999
MIRNY      240512 3600 000000-010000   00    7630.00  965.4   5906.00     1.09    -9999
MIRNY      240512 3600 010000-020000   00    7604.00  965.1   5886.00     0.75    -9999
MIRNY      240512 3600 020000-030000   00    7703.00  964.7   5932.00     1.53    -9999
MIRNY      240512 3600 030000-040000   00    7697.00  964.4   5914.00     1.23    -9999
MIRNY      240512 3600 040000-050000   00    7778.00  964.1   5990.00     2.53    -9999
MIRNY      240512 3600 050000-060000   00    7788.00  964.0   5977.00     2.30    -9999
MIRNY      240512 3600 060000-070000   00    7765.00  964.8   6002.00     2.73    -9999
MIRNY      240512 3600 070000-080000   00    7773.00  965.3   6011.00     2.89    -9999
MIRNY      240512 3600 080000-090000   00    7744.00  966.1   6026.00     3.14    -9999
MIRNY      240512 3600 090000-100000   00    7669.00  967.7   6040.00     3.38    -9999
MIRNY      240512 3600 100000-110000   00    7524.00  968.5   5976.00     2.29    -9999
MIRNY      240512 3600 110000-120000   00    7497.00  969.5   5981.00     2.37    -9999
MIRNY      240512 3600 120000-130000   00    7463.00  970.1   5981.00     2.37    -9999
MIRNY      240512 3600 130000-140000   00    7414.00  970.5   5971.00     2.20    -9999
MIRNY      240512 3600 140000-150000   00    7412.00  971.3   6006.00     2.80    -9999
MIRNY      240512 3600 150000-160000   00    7419.00  971.9   6027.00     3.16    -9999
MIRNY      240512 3600 160000-170000   00    7389.00  972.7   6050.00     3.55    -9999
MIRNY      240512 3600 170000-180000   00    7256.00  973.5   5966.00     2.12    -9999
MIRNY      240512 3600 180000-190000   00    7251.00  973.8   5958.00     1.98    -9999
MIRNY      240512 3600 190000-200000   00    7273.00  974.1   6021.00     3.06    -9999
MIRNY      240512 3600 200000-210000   00    7284.00  974.7   6050.00     3.55    -9999
MIRNY      240512 3600 210000-220000   00    7248.00  975.1   6029.00     3.19    -9999
MIRNY      240512 3600 220000-230000   00    7245.00  975.4   6051.00     3.57    -9999
MIRNY      240512 3600 230000-240000   00    7317.00  975.7   6114.00     4.65    -9999
*
COMMENT NM DATA DOWNLOADED FROM IZMIRAN DB ON 04.06.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074MRNY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
