IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    800     MB     COEFFICIENT   -0.713    % / MB
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE  4,715.65      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK2   240511 300  044000-044500   00    -999.00  802.5   4853.85     2.93    -9999
IRKUTSK2   240511 300  044500-045000   00    -999.00  802.5   4872.48     3.33    -9999
IRKUTSK2   240511 300  045000-045500   00    -999.00  802.6   4906.88     4.06    -9999
IRKUTSK2   240511 300  045500-050000   00    -999.00  802.6   4886.45     3.62    -9999
IRKUTSK2   240511 300  050000-050500   00    -999.00  802.6   4915.93     4.25    -9999
IRKUTSK2   240511 300  050500-051000   00    -999.00  802.5   4878.69     3.46    -9999
IRKUTSK2   240511 300  051000-051500   00    -999.00  802.5   4865.24     3.17    -9999
IRKUTSK2   240511 300  051500-052000   00    -999.00  802.5   4857.22     3.00    -9999
IRKUTSK2   240511 300  052000-052500   00    -999.00  802.5   4833.42     2.50    -9999
IRKUTSK2   240511 300  052500-053000   00    -999.00  802.4   4873.25     3.34    -9999
IRKUTSK2   240511 300  053000-053500   00    -999.00  802.5   4879.46     3.47    -9999
IRKUTSK2   240511 300  053500-054000   00    -999.00  802.5   4929.38     4.53    -9999
IRKUTSK2   240511 300  054000-054500   00    -999.00  802.6   4967.41     5.34    -9999
IRKUTSK2   240511 300  054500-055000   00    -999.00  802.5   4944.39     4.85    -9999
IRKUTSK2   240511 300  055000-055500   00    -999.00  802.6   4924.47     4.43    -9999
IRKUTSK2   240511 300  055500-060000   00    -999.00  802.5   4835.75     2.55    -9999
IRKUTSK2   240511 300  060000-060500   00    -999.00  802.5   4835.23     2.54    -9999
IRKUTSK2   240511 300  060500-061000   00    -999.00  802.5   4773.15     1.22    -9999
IRKUTSK2   240511 300  061000-061500   00    -999.00  802.5   4741.08     0.54    -9999
IRKUTSK2   240511 300  061500-062000   00    -999.00  802.5   4709.78    -0.12    -9999
IRKUTSK2   240511 300  062000-062500   00    -999.00  802.5   4784.53     1.46    -9999
IRKUTSK2   240511 300  062500-063000   00    -999.00  802.4   4761.77     0.98    -9999
IRKUTSK2   240511 300  063000-063500   00    -999.00  802.5   4787.38     1.52    -9999
IRKUTSK2   240511 300  063500-064000   00    -999.00  802.5   4724.26     0.18    -9999
IRKUTSK2   240511 300  064000-064500   00    -999.00  802.5   4787.64     1.53    -9999
IRKUTSK2   240511 300  064500-065000   00    -999.00  802.5   4745.47     0.63    -9999
IRKUTSK2   240511 300  065000-065500   00    -999.00  802.5   4737.45     0.46    -9999
IRKUTSK2   240511 300  065500-070000   00    -999.00  802.4   4776.25     1.29    -9999
IRKUTSK2   240511 300  070000-070500   00    -999.00  802.4   4772.63     1.21    -9999
IRKUTSK2   240511 300  070500-071000   00    -999.00  802.5   4762.03     0.98    -9999
IRKUTSK2   240511 300  071000-071500   00    -999.00  802.4   4811.43     2.03    -9999
IRKUTSK2   240511 300  071500-072000   00    -999.00  802.4   4735.64     0.42    -9999
IRKUTSK2   240511 300  072000-072500   00    -999.00  802.3   4794.36     1.67    -9999
IRKUTSK2   240511 300  072500-073000   00    -999.00  802.3   4755.04     0.84    -9999
IRKUTSK2   240511 300  073000-073500   00    -999.00  802.3   4810.92     2.02    -9999
IRKUTSK2   240511 300  073500-074000   00    -999.00  802.2   4875.84     3.40    -9999
IRKUTSK2   240511 300  074000-074500   00    -999.00  802.2   4868.60     3.24    -9999
