APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1010    MB     COEFFICIENT   -0.73     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    155.51      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 241122 3600 090000-100000   00     219.15  952.0    155.16    -0.23    -9999
APATITY 241122 3600 100000-110000   00     220.54  951.2    155.16    -0.23    -9999
APATITY 241122 3600 110000-120000   00     218.05  952.2    154.52    -0.64    -9999
APATITY 241122 3600 120000-130000   00     214.89  954.2    154.52    -0.64    -9999
APATITY 241122 3600 130000-140000   00     211.99  956.3    154.81    -0.45    -9999
APATITY 241122 3600 140000-150000   00     210.81  957.8    155.60     0.05    -9999
APATITY 241122 3600 150000-160000   00     209.48  959.1    156.06     0.35    -9999
APATITY 241122 3600 160000-170000   00     208.48  960.1    156.37     0.55    -9999
APATITY 241122 3600 170000-180000   00     207.60  960.6    156.29     0.50    -9999
APATITY 241122 3600 180000-190000   00     206.81  960.9    156.09     0.37    -9999
APATITY 241122 3600 190000-200000   00     205.43  961.5    155.64     0.08    -9999
APATITY 241122 3600 200000-210000   00     205.38  961.9    156.10     0.38    -9999
APATITY 241122 3600 210000-220000   00     204.17  962.6    155.97     0.30    -9999
APATITY 241122 3600 220000-230000   00     204.15  963.1    156.56     0.67    -9999
APATITY 241122 3600 230000-240000   00     202.70  963.6    155.97     0.30    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076APTY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
