LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    733.3   MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    409.33      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   241121 300  221000-221500   00     466.64  713.1    404.18    -1.26    -0.13
LOMNICKY   241121 300  221500-222000   00     467.77  712.7    403.81    -1.35    -0.20
LOMNICKY   241121 300  222000-222500   00     468.66  712.4    403.78    -1.36    -0.19
LOMNICKY   241121 300  222500-223000   00     470.23  712.2    404.48    -1.19    -0.01
LOMNICKY   241121 300  223000-223500   00     473.68  711.9    406.62    -0.66     0.53
LOMNICKY   241121 300  223500-224000   00     468.93  711.9    402.46    -1.68    -0.47
LOMNICKY   241121 300  224000-224500   00     471.74  711.8    404.62    -1.15     0.08
LOMNICKY   241121 300  224500-225000   00     473.06  711.7    405.59    -0.91     0.33
LOMNICKY   241121 300  225000-225500   00     471.31  711.6    403.81    -1.35    -0.09
LOMNICKY   241121 300  225500-230000   00     471.93  711.5    404.04    -1.29    -0.02
LOMNICKY   241121 300  230000-230500   00     471.95  711.4    403.62    -1.40    -0.10
LOMNICKY   241121 300  230500-231000   00     474.22  711.3    405.26    -1.00     0.32
LOMNICKY   241121 300  231000-231500   00     471.48  711.3    402.96    -1.56    -0.23
LOMNICKY   241121 300  231500-232000   00     474.81  711.0    405.10    -1.03     0.31
LOMNICKY   241121 300  232000-232500   00     474.89  710.7    404.15    -1.27     0.09
LOMNICKY   241121 300  232500-233000   00     470.68  710.6    400.39    -2.19    -0.81
LOMNICKY   241121 300  233000-233500   00     473.38  710.5    402.43    -1.69    -0.29
LOMNICKY   241121 300  233500-234000   00     476.17  710.3    404.20    -1.25     0.16
LOMNICKY   241121 300  234000-234500   00     474.35  710.3    402.62    -1.64    -0.21
LOMNICKY   241121 300  234500-235000   00     471.95  710.3    400.53    -2.15    -0.71
LOMNICKY   241121 300  235000-235500   00     473.68  710.3    402.10    -1.77    -0.31
LOMNICKY   241121 300  235500-240000   00     473.35  710.1    401.19    -1.99    -0.51
LOMNICKY   241122 300  000000-000500   00     475.96  709.7    402.26    -1.73    -0.24
LOMNICKY   241122 300  000500-001000   00     474.49  709.9    401.63    -1.88    -0.37
LOMNICKY   241122 300  001000-001500   00     473.93  709.8    400.86    -2.07    -0.54
LOMNICKY   241122 300  001500-002000   00     475.87  709.7    402.22    -1.74    -0.20
LOMNICKY   241122 300  002000-002500   00     474.32  709.7    400.79    -2.09    -0.53
LOMNICKY   241122 300  002500-003000   00     477.71  709.9    404.36    -1.22     0.36
LOMNICKY   241122 300  003000-003500   00     475.85  709.6    401.91    -1.81    -0.22
