SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.74     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    252.85      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 241121 300  233000-233500   00     254.47  679.2    253.20     0.14     0.14
SOUTH-POLE 241121 300  233500-234000   00     257.34  679.2    256.14     1.30     1.30
SOUTH-POLE 241121 300  234000-234500   00     255.33  679.2    254.13     0.51     0.51
SOUTH-POLE 241121 300  234500-235000   00     257.80  679.2    256.63     1.49     1.49
SOUTH-POLE 241121 300  235000-235500   00     256.51  679.2    255.37     1.00     1.00
SOUTH-POLE 241121 300  235500-240000   00     254.61  679.2    253.51     0.26     0.26
SOUTH-POLE 241122 300  000000-000500   00     256.02  679.3    254.94     0.82     0.82
SOUTH-POLE 241122 300  000500-001000   00     254.64  679.3    253.62     0.30     0.30
SOUTH-POLE 241122 300  001000-001500   00     255.10  679.3    254.11     0.50     0.50
SOUTH-POLE 241122 300  001500-002000   00     256.45  679.3    255.50     1.05     1.05
SOUTH-POLE 241122 300  002000-002500   00     255.14  679.3    254.16     0.52     0.52
SOUTH-POLE 241122 300  002500-003000   00     254.50  679.3    253.50     0.25     0.25
SOUTH-POLE 241122 300  003000-003500   00     252.95  679.3    251.98    -0.35    -0.35
SOUTH-POLE 241122 300  003500-004000   00     254.88  679.3    253.89     0.41     0.41
SOUTH-POLE 241122 300  004000-004500   00     252.00  679.3    251.08    -0.70    -0.70
SOUTH-POLE 241122 300  004500-005000   00     252.59  679.3    251.69    -0.46    -0.46
SOUTH-POLE 241122 300  005000-005500   00     254.53  679.4    253.67     0.32     0.32
SOUTH-POLE 241122 300  005500-010000   00     253.75  679.4    252.91     0.02     0.02
