THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1005    MB     COEFFICIENT   -0.742    % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    109.95      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      241121 300  204500-205000   00      98.10 1021.5    111.09     1.04     1.04
THULE      241121 300  205000-205500   00      98.45 1021.5    111.51     1.42     1.42
THULE      241121 300  205500-210000   00      98.07 1021.5    111.03     0.98     0.98
THULE      241121 300  210000-210500   00      97.18 1021.4    109.98     0.02     0.02
THULE      241121 300  210500-211000   00      98.06 1021.5    111.00     0.95     0.95
THULE      241121 300  211000-211500   00      97.70 1021.6    110.69     0.67     0.67
THULE      241121 300  211500-212000   00      96.49 1021.7    109.39    -0.51    -0.51
THULE      241121 300  212000-212500   00      97.41 1021.6    110.42     0.42     0.42
THULE      241121 300  212500-213000   00      96.58 1021.7    109.51    -0.40    -0.40
THULE      241121 300  213000-213500   00      96.22 1021.7    109.13    -0.75    -0.75
THULE      241121 300  213500-214000   00      97.50 1021.7    110.53     0.52     0.52
THULE      241121 300  214000-214500   00      97.18 1021.6    110.08     0.11     0.11
THULE      241121 300  214500-215000   00      96.93 1021.6    109.86    -0.09    -0.09
THULE      241121 300  215000-215500   00      96.78 1021.7    109.74    -0.20    -0.20
THULE      241121 300  215500-220000   00      96.72 1021.6    109.56    -0.35    -0.35
THULE      241121 300  220000-220500   00      98.33 1021.5    111.34     1.26     1.26
THULE      241121 300  220500-221000   00      96.15 1021.4    108.80    -1.05    -1.05
THULE      241121 300  221000-221500   00      97.17 1021.3    109.85    -0.09    -0.09
THULE      241121 300  221500-222000   00      96.71 1021.3    109.37    -0.53    -0.53
THULE      241121 300  222000-222500   00      97.26 1021.3    109.97     0.02     0.02
THULE      241121 300  222500-223000   00      98.20 1021.2    110.96     0.92     0.92
THULE      241121 300  223000-223500   00      97.84 1021.2    110.53     0.53     0.53
THULE      241121 300  223500-224000   00      97.92 1021.1    110.55     0.54     0.54
THULE      241121 300  224000-224500   00      97.70 1021.0    110.21     0.23     0.23
THULE      241121 300  224500-225000   00      97.20 1020.9    109.57    -0.35    -0.35
THULE      241121 300  225000-225500   00      98.14 1020.9    110.59     0.58     0.58
THULE      241121 300  225500-230000   00      97.74 1020.7    110.04     0.08     0.08
THULE      241121 300  230000-230500   00      97.85 1020.8    110.18     0.21     0.21
THULE      241121 300  230500-231000   00      97.71 1020.7    110.01     0.06     0.06
THULE      241121 300  231000-231500   00      98.29 1020.7    110.64     0.63     0.63
THULE      241121 300  231500-232000   00      97.58 1020.6    109.79    -0.15    -0.15
THULE      241121 300  232000-232500   00      98.56 1020.6    110.84     0.80     0.80
THULE      241121 300  232500-233000   00      98.12 1020.5    110.31     0.33     0.33
THULE      241121 300  233000-233500   00      97.49 1020.5    109.53    -0.38    -0.38
THULE      241121 300  233500-234000   00      98.78 1020.5    111.00     0.95     0.95
THULE      241121 300  234000-234500   00      99.41 1020.4    111.66     1.56     1.56
